date,price
2017-03-29,0.08
2017-03-30,0.069
2017-03-31,0.0704
2017-04-01,0.0595
2017-04-02,0.06884
2017-04-03,0.0798
2017-04-04,0.0798
2017-04-05,0.09
2017-04-06,0.09
2017-04-07,0.09
2017-04-08,0.125
2017-04-09,0.09
2017-04-10,0.09
2017-04-11,0.09
2017-04-12,0.09
2017-04-13,0.09
2017-04-14,0.09
2017-04-15,0.09
2017-04-16,0.11
2017-04-17,0.075
2017-04-18,0.075
2017-04-19,0.075
2017-04-20,0.075
2017-04-21,0.075
2017-04-22,0.075
2017-04-23,0.1
2017-04-24,0.1
2017-04-25,0.05
2017-04-26,0.05
2017-04-27,0.08
2017-04-28,0.1
2017-04-29,0.1
2017-04-30,0.1
2017-05-01,0.1
2017-05-02,0.06
2017-05-03,0.1
2017-05-04,0.06
2017-05-05,0.08
2017-05-06,0.1
2017-05-07,0.1
2017-05-08,0.1
2017-05-09,0.1
2017-05-10,0.1
2017-05-11,0.1
2017-05-12,0.1
2017-05-13,0.1
2017-05-14,0.1
2017-05-15,0.1
2017-05-16,0.1
2017-05-17,0.1
2017-05-18,0.1
2017-05-19,0.1
2017-05-20,0.1
2017-05-21,0.1
2017-05-22,0.1
2017-05-23,0.08
2017-05-24,0.08
2017-05-25,0.08
2017-05-26,0.08
2017-05-27,0.08
2017-05-28,0.07692308
2017-05-29,0.07692308
2017-05-30,0.07692308
2017-05-31,0.07692308
2017-06-01,0.07692308
2017-06-02,0.0769
2017-06-03,0.0769
2017-06-04,0.0769
2017-06-05,0.07692308
2017-06-06,0.0764625
2017-06-07,0.0764625
2017-06-08,0.0764625
2017-06-09,0.0764625
2017-06-10,0.0764625
2017-06-11,0.0764625
2017-06-12,0.0764625
2017-06-13,0.07692308
2017-06-14,0.06666667
2017-06-15,0.07692308
2017-06-16,0.07096154
2017-06-17,0.07096154
2017-06-18,0.064575
2017-06-19,0.06458333
2017-06-20,0.05875
2017-06-21,0.06060303
2017-06-22,0.06060303
2017-06-23,0.0625
2017-06-24,0.0625
2017-06-25,0.05
2017-06-26,0.0625
2017-06-27,0.06375
2017-06-28,0.06666667
2017-06-29,0.06666667
2017-06-30,0.06666667
2017-07-01,0.06666667
2017-07-02,0.065
2017-07-03,0.06833333
2017-07-04,0.06493506
2017-07-05,0.06493506
2017-07-06,0.0668
2017-07-07,0.0668
2017-07-08,0.0668
2017-07-09,0.0668
2017-07-10,0.0668
2017-07-11,0.0668
2017-07-12,0.075
2017-07-13,0.075
2017-07-14,0.075
2017-07-15,0.075
2017-07-16,0.075
2017-07-17,0.075
2017-07-18,0.075
2017-07-19,0.075
2017-07-20,0.075
2017-07-21,0.07125
2017-07-22,0.065
2017-07-23,0.075
2017-07-24,0.075
2017-07-25,0.075
2017-07-26,0.08
2017-07-27,0.08
2017-07-28,0.08
2017-07-29,0.08
2017-07-30,0.08
2017-07-31,0.08
2017-08-01,0.08
2017-08-02,0.08
2017-08-03,0.065
2017-08-04,0.065
2017-08-05,0.065
2017-08-06,0.075
2017-08-07,0.075
2017-08-08,0.075
2017-08-09,0.075
2017-08-10,0.075
2017-08-11,0.075
2017-08-12,0.065
2017-08-13,0.065
2017-08-14,0.065
2017-08-15,0.06
2017-08-16,0.06
2017-08-17,0.06
2017-08-18,0.06
2017-08-19,0.06
2017-08-20,0.06
2017-08-21,0.06
2017-08-22,0.06
2017-08-23,0.06
2017-08-24,0.06
2017-08-25,0.06
2017-08-26,0.07
2017-08-27,0.07
2017-08-28,0.07
2017-08-29,0.07
2017-08-30,0.07
2017-08-31,0.07
2017-09-01,0.07
2017-09-02,0.07
2017-09-03,0.07
2017-09-04,0.1
2017-09-05,0.07
2017-09-06,0.07
2017-09-07,0.07692308
2017-09-08,0.07692308
2017-09-09,0.07692308
2017-09-10,0.07692308
2017-09-11,0.075
2017-09-12,0.075
2017-09-13,0.075
2017-09-14,0.075
2017-09-15,0.075
2017-09-16,0.075
2017-09-17,0.075
2017-09-18,0.07
2017-09-19,0.07
2017-09-20,0.0725
2017-09-21,0.0725
2017-09-22,0.0725
2017-09-23,0.0625
2017-09-24,0.0675
2017-09-25,0.0675
2017-09-26,0.0675
2017-09-27,0.0675
2017-09-28,0.0675
2017-09-29,0.04785
2017-09-30,0.04785556
2017-10-01,0.04785556
2017-10-02,0.04785556
2017-10-03,0.04785556
2017-10-04,0.05
2017-10-05,0.0525
2017-10-06,0.06
2017-10-07,0.06
2017-10-08,0.06
2017-10-09,0.04545455
2017-10-10,0.05
2017-10-11,0.05
2017-10-12,0.046
2017-10-13,0.044
2017-10-14,0.044
2017-10-15,0.044
2017-10-16,0.05
2017-10-17,0.05
2017-10-18,0.042
2017-10-19,0.05
2017-10-20,0.04466667
2017-10-21,0.04466667
2017-10-22,0.05
2017-10-23,0.042
2017-10-24,0.05
2017-10-25,0.05
2017-10-26,0.05
2017-10-27,0.05
2017-10-28,0.05
2017-10-29,0.05
2017-10-30,0.05
2017-10-31,0.05
2017-11-01,0.05
2017-11-02,0.05
2017-11-03,0.05
2017-11-04,0.036
2017-11-05,0.04125
2017-11-06,0.05
2017-11-07,0.0425
2017-11-08,0.0425
2017-11-09,0.045
2017-11-10,0.04375
2017-11-11,0.04375
2017-11-12,0.04375
2017-11-13,0.04625
2017-11-14,0.04625
2017-11-15,0.04625
2017-11-16,0.0425
2017-11-17,0.0425
2017-11-18,0.0425
2017-11-19,0.0425
2017-11-20,0.0425
2017-11-21,0.0375
2017-11-22,0.0375
2017-11-23,0.0375
2017-11-24,0.0375
2017-11-25,0.0375
2017-11-26,0.0375
2017-11-27,0.0385
2017-11-28,0.035
2017-11-29,0.035
2017-11-30,0.03433333
2017-12-01,0.0345
2017-12-02,0.0345
2017-12-03,0.0345
2017-12-04,0.04225
2017-12-05,0.03575
2017-12-06,0.033375
2017-12-07,0.05
2017-12-08,0.035
2017-12-09,0.035
2017-12-10,0.035
2017-12-11,0.035
2017-12-12,0.0345
2017-12-13,0.0345
2017-12-14,0.0345
2017-12-15,0.034
2017-12-16,0.03
2017-12-17,0.034
2017-12-18,0.03325
2017-12-19,0.034
2017-12-20,0.034
2017-12-21,0.034
2017-12-22,0.0325
2017-12-23,0.03125
2017-12-24,0.0255
2017-12-25,0.034
2017-12-26,0.034
2017-12-27,0.032
2017-12-28,0.032
2017-12-29,0.03166667
2017-12-30,0.0325
2017-12-31,0.0255
2018-01-01,0.036
2018-01-02,0.036
2018-01-03,0.03308333
2018-01-04,0.034
2018-01-05,0.034
2018-01-06,0.034
2018-01-07,0.03775
