date,price
2017-03-30,0.015
2017-03-31,0.013
2017-04-01,0.013
2017-04-02,0.0135
2017-04-03,0.01209
2017-04-04,0.01209
2017-04-05,0.01228
2017-04-06,0.01188
2017-04-07,0.01188
2017-04-08,0.01188
2017-04-09,0.008
2017-04-10,0.008
2017-04-11,0.008
2017-04-12,0.008
2017-04-13,0.00790667
2017-04-14,0.00667
2017-04-15,0.00657619
2017-04-16,0.00603333
2017-04-17,0.00603333
2017-04-18,0.00603333
2017-04-19,0.006
2017-04-20,0.0058
2017-04-21,0.0058
2017-04-22,0.0058
2017-04-23,0.007
2017-04-24,0.00396667
2017-04-25,0.00396667
2017-04-26,0.00396667
2017-04-27,0.00466667
2017-04-28,0.00466667
2017-04-29,0.00466667
2017-04-30,0.00466667
2017-05-01,0.00525
2017-05-02,0.00525
2017-05-03,0.00525
2017-05-04,0.00484422
2017-05-05,0.00285
2017-05-06,0.004
2017-05-07,0.004
2017-05-08,0.004
2017-05-09,0.004
2017-05-10,0.004
2017-05-11,0.004
2017-05-12,0.00666667
2017-05-13,0.0063
2017-05-14,0.0063
2017-05-15,0.0063
2017-05-16,0.0063
2017-05-17,0.00333333
2017-05-18,0.0045
2017-05-19,0.0045
2017-05-20,0.0045
2017-05-21,0.00442222
2017-05-22,0.00442222
2017-05-23,0.00442222
2017-05-24,0.00325
2017-05-25,0.00325
2017-05-26,0.00325
2017-05-27,0.00325
2017-05-28,0.00325
2017-05-29,0.003
2017-05-30,0.00266667
2017-05-31,0.00266667
2017-06-01,0.00266667
2017-06-02,0.00266667
2017-06-03,0.00266667
2017-06-04,0.00283333
2017-06-05,0.00283333
2017-06-06,0.0045
2017-06-07,0.005
2017-06-08,0.005
2017-06-09,0.005
2017-06-10,0.00365909
2017-06-11,0.00333333
2017-06-12,0.00333333
2017-06-13,0.0036
2017-06-14,0.004
2017-06-15,0.0036
2017-06-16,0.0039
2017-06-17,0.0036
2017-06-18,0.0036
2017-06-19,0.0036
2017-06-20,0.0036
2017-06-21,0.002803
2017-06-22,0.00316667
2017-06-23,0.003
2017-06-24,0.002925
2017-06-25,0.003
2017-06-26,0.002857
2017-06-27,0.002857
2017-06-28,0.00584098
2017-06-29,0.00225
2017-06-30,0.0014
2017-07-01,0.00257143
2017-07-02,0.00304
2017-07-03,0.00304
2017-07-04,0.00304
2017-07-05,0.00304
2017-07-06,0.00316667
2017-07-07,0.00316667
2017-07-08,0.00316667
2017-07-09,0.00316667
2017-07-10,0.00316667
2017-07-11,0.00316667
2017-07-12,0.00316667
2017-07-13,0.00316667
2017-07-14,0.00316667
2017-07-15,0.00316667
2017-07-16,0.00316667
2017-07-17,0.00316667
2017-07-18,0.58
2017-07-19,0.07013333
2017-07-20,0.04499379
2017-07-21,0.02361991
2017-07-22,0.00995219
2017-07-23,0.00883364
2017-07-24,0.00834862
