date,price
2017-03-29,0.635
2017-03-30,0.76
2017-03-31,0.76
2017-04-01,0.76
2017-04-02,0.77
2017-04-03,0.75
2017-04-04,0.75
2017-04-05,0.65
2017-04-06,0.69
2017-04-07,0.68
2017-04-08,0.68
2017-04-09,0.83333333
2017-04-10,0.67
2017-04-11,0.635
2017-04-12,0.55
2017-04-13,0.55
2017-04-14,0.64
2017-04-15,0.64
2017-04-16,0.66333333
2017-04-17,0.645
2017-04-18,0.66333333
2017-04-19,0.73583333
2017-04-20,0.68
2017-04-21,0.67
2017-04-22,0.67
2017-04-23,0.66
2017-04-24,0.75833333
2017-04-25,0.655
2017-04-26,0.67
2017-04-27,0.66666667
2017-04-28,0.65
2017-04-29,0.68
2017-04-30,0.67
2017-05-01,0.67
2017-05-02,0.67
2017-05-03,0.67
2017-05-04,0.65
2017-05-05,0.65
2017-05-06,0.67
2017-05-07,0.7046
2017-05-08,0.7046
2017-05-09,0.60333333
2017-05-10,0.72083333
2017-05-11,0.72083333
2017-05-12,0.61
2017-05-13,0.645
2017-05-14,0.54
2017-05-15,0.64
2017-05-16,0.64
2017-05-17,0.665
2017-05-18,0.66
2017-05-19,0.66
2017-05-20,0.66
2017-05-21,0.66
2017-05-22,0.63333333
2017-05-23,0.63333333
2017-05-24,0.63333333
2017-05-25,0.63333333
2017-05-26,0.83333333
2017-05-27,0.62666667
2017-05-28,0.57598726
2017-05-29,0.61
2017-05-30,0.69583333
2017-05-31,0.625
2017-06-01,0.622
2017-06-02,0.6525
2017-06-03,0.6525
2017-06-04,0.5875
2017-06-05,0.62
2017-06-06,0.604
2017-06-07,0.6039759
2017-06-08,0.6039759
2017-06-09,0.6039759
2017-06-10,0.6039759
2017-06-11,0.605
2017-06-12,0.64
2017-06-13,0.73
2017-06-14,0.61
2017-06-15,0.61
2017-06-16,0.61
2017-06-17,0.68777778
2017-06-18,0.62
2017-06-19,0.62
2017-06-20,0.595
2017-06-21,0.64
2017-06-22,0.64
2017-06-23,0.63
2017-06-24,0.61
2017-06-25,0.61
2017-06-26,0.624
2017-06-27,0.63
2017-06-28,0.6725
2017-06-29,0.63
2017-06-30,0.5625
2017-07-01,0.715
2017-07-02,0.62833333
2017-07-03,0.62833333
2017-07-04,0.625
2017-07-05,0.62
2017-07-06,0.62
2017-07-07,0.615
2017-07-08,0.62
2017-07-09,0.7
2017-07-10,0.63
2017-07-11,0.625
2017-07-12,0.61
2017-07-13,0.53
2017-07-14,0.62
2017-07-15,0.62333333
2017-07-16,0.59666667
2017-07-17,0.75666667
2017-07-18,0.75666667
2017-07-19,1.0
2017-07-20,0.62
2017-07-21,0.58
2017-07-22,0.295
2017-07-23,0.43428571
2017-07-24,0.34
2017-07-25,0.34
2017-07-26,0.32
2017-07-27,0.34
2017-07-28,0.34
2017-07-29,0.33333333
2017-07-30,0.40166667
2017-07-31,0.36916667
2017-08-01,0.34
2017-08-02,0.3025
2017-08-03,0.34
2017-08-04,0.4972
2017-08-05,0.35
2017-08-06,0.35
2017-08-07,0.3436
2017-08-08,0.35
2017-08-09,0.34266667
2017-08-10,0.406
2017-08-11,0.31
2017-08-12,0.348
2017-08-13,0.33
2017-08-14,0.36
2017-08-15,0.33
2017-08-16,0.34
2017-08-17,0.377
2017-08-18,0.33
2017-08-19,0.345
2017-08-20,0.36
