date,price
2017-05-21,0.1
2017-05-22,0.1
2017-05-23,0.1
2017-05-24,0.1
2017-05-25,0.1
2017-05-26,0.1
2017-05-27,0.1
2017-05-28,0.1
2017-05-29,0.1
2017-05-30,0.1
2017-05-31,0.1
2017-06-01,0.1
2017-06-02,0.1
2017-06-03,0.1
2017-06-04,0.1
2017-06-05,0.1
2017-06-06,0.1
2017-06-07,0.1
2017-06-08,0.1
2017-06-09,0.1
2017-06-10,0.1
2017-06-11,0.1
2017-06-12,0.1
2017-06-13,0.1
2017-06-14,0.1
2017-06-15,0.1
2017-06-16,0.1
2017-06-17,0.1
2017-06-18,0.1
2017-06-19,0.1
2017-06-20,0.1
2017-06-21,0.1
2017-06-22,0.1
2017-06-23,0.1
2017-06-24,0.1
2017-06-25,0.1
2017-06-26,0.1
2017-06-27,0.1
2017-06-28,0.1
2017-06-29,0.1
2017-06-30,0.1
2017-07-01,0.1
2017-07-02,0.1
2017-07-03,0.1
2017-07-04,0.1
2017-07-05,0.1
2017-07-06,0.1
2017-07-07,0.1
2017-07-08,0.1
2017-07-09,0.1
2017-07-10,0.1
2017-07-11,0.1
2017-07-12,0.1
2017-07-13,0.1
2017-07-14,0.1
2017-07-15,0.1
2017-07-16,0.1
2017-07-17,0.1
2017-07-18,0.1
2017-07-19,0.1
2017-07-20,0.1
2017-07-21,0.1
2017-07-22,0.1
2017-07-23,0.1
2017-07-24,0.1
2017-07-25,0.1
2017-07-26,0.1
2017-07-27,0.1
2017-07-28,0.1
2017-07-29,0.1
2017-07-30,0.1
2017-07-31,0.1
2017-08-01,0.1
2017-08-02,0.1
2017-08-03,0.1
2017-08-04,0.1
2017-08-05,0.1
2017-08-06,0.1
2017-08-07,0.1
2017-08-08,0.1
2017-08-09,0.1
2017-08-10,0.1
2017-08-11,0.1
2017-08-12,0.1
2017-08-13,0.1
2017-08-14,0.1
2017-08-15,0.1
2017-08-16,0.1
2017-08-17,0.1
2017-08-18,0.1
2017-08-19,0.1
2017-08-20,0.0343
2017-08-21,0.03485
2017-08-22,0.03232958
2017-08-23,0.03173444
2017-08-24,0.03114654
2017-08-25,0.02961571
2017-08-26,0.03397814
2017-08-27,0.03320389
2017-08-28,0.03557029
2017-08-29,0.03111188
2017-08-30,0.03000033
2017-08-31,0.02909129
2017-09-01,0.02960695
2017-09-02,0.03070265
2017-09-03,0.03157856
2017-09-04,0.0310777
2017-09-05,0.03142583
2017-09-06,0.03118
2017-09-07,0.03149294
2017-09-08,0.03477811
2017-09-09,0.02817249
2017-09-10,0.03208943
2017-09-11,0.02994667
2017-09-12,0.03020556
2017-09-13,0.03397016
2017-09-14,0.03245302
2017-09-15,0.03245226
2017-09-16,0.03244777
2017-09-17,0.03303
2017-09-18,0.03157789
2017-09-19,0.03101875
2017-09-20,0.03161411
2017-09-21,0.03133361
2017-09-22,0.03156841
2017-09-23,0.03114557
2017-09-24,0.03161522
2017-09-25,0.03109978
2017-09-26,0.03163861
2017-09-27,0.03239969
2017-09-28,0.03158095
2017-09-29,0.03308924
2017-09-30,0.0319996
2017-10-01,0.03247198
2017-10-02,0.03125246
2017-10-03,0.02974406
2017-10-04,0.03147152
2017-10-05,0.03018778
2017-10-06,0.03171609
2017-10-07,0.03127778
2017-10-08,0.02998556
2017-10-09,0.0345125
2017-10-10,0.03255476
2017-10-11,0.02921636
2017-10-12,0.028222
2017-10-13,0.02984154
2017-10-14,0.02929774
2017-10-15,0.03029455
2017-10-16,0.028618
2017-10-17,0.02942857
2017-10-18,0.02837647
2017-10-19,0.02991818
2017-10-20,0.02820797
2017-10-21,0.03121111
2017-10-22,0.02778259
2017-10-23,0.02573487
2017-10-24,0.0261058
2017-10-25,0.02834762
2017-10-26,0.02652326
2017-10-27,0.02602939
2017-10-28,0.02549708
2017-10-29,0.02536722
2017-10-30,0.02531818
2017-10-31,0.02586727
2017-11-01,0.02966417
2017-11-02,0.02364613
2017-11-03,0.0255596
2017-11-04,0.02409032
2017-11-05,0.02338393
2017-11-06,0.02379904
2017-11-07,0.02285714
2017-11-08,0.02413333
2017-11-09,0.02243244
2017-11-10,0.02136127
2017-11-11,0.0231385
2017-11-12,0.024
2017-11-13,0.02039373
2017-11-14,0.02299667
2017-11-15,0.02259521
2017-11-16,0.02206947
2017-11-17,0.0232903
2017-11-18,0.02385623
2017-11-19,0.02417625
2017-11-20,0.02196508
2017-11-21,0.02367655
2017-11-22,0.02159
2017-11-23,0.02045
2017-11-24,0.02198889
2017-11-25,0.02185
2017-11-26,0.02102631
2017-11-27,0.02198909
2017-11-28,0.02285625
2017-11-29,0.02578
2017-11-30,0.02100635
2017-12-01,0.02160268
2017-12-02,0.02199167
2017-12-03,0.022541
2017-12-04,0.022125
