date,price
2020-03-20,0.33
2020-03-21,0.33
2020-03-22,0.33
2020-03-23,0.33
2020-03-24,0.33
2020-03-25,0.33
2020-03-26,0.33
2020-03-27,0.33
2020-03-28,0.33
2020-03-29,0.33
2020-03-30,0.33
2020-03-31,0.33
2020-04-01,0.33
2020-04-02,0.33
2020-04-03,0.33
2020-04-04,0.33
2020-04-05,0.3
2020-04-06,0.3
2020-04-07,0.3
2020-04-08,0.32856667
2020-04-09,0.32856667
2020-04-10,0.28
2020-04-11,0.24
2020-04-12,0.24
2020-04-13,0.24
2020-04-14,0.28
2020-04-15,0.28
2020-04-16,0.22
2020-04-17,0.25333333
2020-04-18,0.22
2020-04-19,0.19333333
2020-04-20,0.2
2020-04-21,0.28
2020-04-22,0.294
2020-04-23,0.294
2020-04-24,0.28
2020-04-25,0.245
2020-04-26,0.19666667
2020-04-27,0.18
2020-04-28,0.175
2020-04-29,0.18
2020-04-30,0.18
2020-05-01,0.156
2020-05-02,0.18
2020-05-03,0.168
2020-05-04,0.16857143
2020-05-05,0.16001768
2020-05-06,0.18
2020-05-07,0.18
2020-05-08,0.18
2020-05-09,0.17333333
2020-05-10,0.1625
2020-05-11,0.17
2020-05-12,0.139
2020-05-13,0.113
2020-05-14,0.114
2020-05-15,0.1116
2020-05-16,0.116225
2020-05-17,0.10625417
2020-05-18,0.11182222
2020-05-19,0.10246667
2020-05-20,0.093
2020-05-21,0.12583333
2020-05-22,0.13
2020-05-23,0.12666667
2020-05-24,0.12822222
2020-05-25,0.13625
2020-05-26,0.1372
2020-05-27,0.12025
2020-05-28,0.129
2020-05-29,0.12016667
2020-05-30,0.123
2020-05-31,0.12
2020-06-01,0.125
2020-06-02,0.125
2020-06-03,0.1058
2020-06-04,0.102
2020-06-05,0.1163
2020-06-06,0.10395714
2020-06-07,0.102145
2020-06-08,0.0975
2020-06-09,0.095
2020-06-10,0.09698571
2020-06-11,0.075
2020-06-12,0.095625
2020-06-13,0.09245
2020-06-14,0.096175
2020-06-15,0.09245
2020-06-16,0.09024
2020-06-17,0.08836
2020-06-18,0.0975
2020-06-19,0.09
2020-06-20,0.09
2020-06-21,0.1
2020-06-22,0.09
2020-06-23,0.09
2020-06-24,0.09133333
2020-06-25,0.096
2020-06-26,0.096
2020-06-27,0.096
2020-06-28,0.09025
2020-06-29,0.095
2020-06-30,0.095
2020-07-01,0.08466667
2020-07-02,0.079
2020-07-03,0.09
2020-07-04,0.09
2020-07-05,0.07
2020-07-06,0.08
2020-07-07,0.08
2020-07-08,0.09
2020-07-09,0.07875
2020-07-10,0.076
2020-07-11,0.0745
2020-07-12,0.07365
2020-07-13,0.06895
2020-07-14,0.0696275
2020-07-15,0.0710775
2020-07-16,0.06935083
2020-07-17,0.0664026
2020-07-18,0.07
2020-07-19,0.0622075
2020-07-20,0.0622075
2020-07-21,0.065
2020-07-22,0.05462778
2020-07-23,0.05173444
2020-07-24,0.05650227
2020-07-25,0.05441667
2020-07-26,0.0515
2020-07-27,0.053906
2020-07-28,0.048875
2020-07-29,0.05
2020-07-30,0.05112514
2020-07-31,0.05179
2020-08-01,0.0567
2020-08-02,0.04333333
2020-08-03,0.04333333
2020-08-04,0.04333333
2020-08-05,0.05358077
2020-08-06,0.05
2020-08-07,0.050625
2020-08-08,0.050625
2020-08-09,0.05046875
2020-08-10,0.035
2020-08-11,0.035
2020-08-12,0.050592
2020-08-13,0.03907667
2020-08-14,0.05
2020-08-15,0.05049
2020-08-16,0.04941986
2020-08-17,0.049625
2020-08-18,0.049625
2020-08-19,0.049625
2020-08-20,0.04495
2020-08-21,0.04
2020-08-22,0.04
2020-08-23,0.0355
2020-08-24,0.0355
2020-08-25,0.0355
2020-08-26,0.04
2020-08-27,0.03955
2020-08-28,0.03955
2020-08-29,0.03945
2020-08-30,0.03945
2020-08-31,0.03945
2020-09-01,0.03945
2020-09-02,0.03945
2020-09-03,0.03945
2020-09-04,0.03945
2020-09-05,0.03945
2020-09-06,0.03645
2020-09-07,0.03645
2020-09-08,0.03645
2020-09-09,0.03645
2020-09-10,0.035725
2020-09-11,0.035725
2020-09-12,0.03645
2020-09-13,0.03645
2020-09-14,0.03645
2020-09-15,0.03645
2020-09-16,0.03645
2020-09-17,0.03645
2020-09-18,0.037075
2020-09-19,0.037075
2020-09-20,0.03475
2020-09-21,0.03525333
2020-09-22,0.035475
2020-09-23,0.0344
2020-09-24,0.025
2020-09-25,0.025
2020-09-26,0.025
2020-09-27,0.025
2020-09-28,0.025
2020-09-29,0.03475
2020-09-30,0.03475
2020-10-01,0.03358333
2020-10-02,0.03358333
2020-10-03,0.03075
2020-10-04,0.025
2020-10-05,0.025
2020-10-06,0.0325
2020-10-07,0.0325
2020-10-08,0.0325
2020-10-09,0.0325
2020-10-10,0.0325
2020-10-11,0.0325
2020-10-12,0.03096667
2020-10-13,0.03096667
2020-10-14,0.027455
2020-10-15,0.027455
2020-10-16,0.027455
2020-10-17,0.027455
2020-10-18,0.02272727
2020-10-19,0.02272727
2020-10-20,0.0325
2020-10-21,0.0325
2020-10-22,0.0323375
2020-10-23,0.0298
2020-10-24,0.032175
2020-10-25,0.032175
2020-10-26,0.07833333
2020-10-27,0.11609
2020-10-28,0.11625
2020-10-29,0.08683333
2020-10-30,0.2
2020-10-31,0.0758175
2020-11-01,0.09074167
2020-11-02,0.05437143
2020-11-03,0.06665
2020-11-04,0.02985
2020-11-05,0.120325
2020-11-06,0.09247667
2020-11-07,0.06041429
2020-11-08,0.02984286
2020-11-09,0.061512
2020-11-10,0.056625
2020-11-11,0.02921875
2020-11-12,0.04071536
2020-11-13,0.036885
2020-11-14,0.04972625
2020-11-15,0.05657639
2020-11-16,0.02896
2020-11-17,0.06048031
2020-11-18,0.04895
2020-11-19,0.054625
2020-11-20,0.0703625
2020-11-21,0.0703125
2020-11-22,0.07304
2020-11-23,0.084
2020-11-24,0.07572786
2020-11-25,0.0548
2020-11-26,0.05956429
2020-11-27,0.07448333
2020-11-28,0.0455
2020-11-29,0.0624
2020-11-30,0.0625
2020-12-01,0.05244
2020-12-02,0.07135333
2020-12-03,0.0389375
2020-12-04,0.059675
2020-12-05,0.0638
2020-12-06,0.04807143
2020-12-07,0.06935
2020-12-08,0.04314286
2020-12-09,0.0603
2020-12-10,0.0695
2020-12-11,0.069
2020-12-12,0.04866667
2020-12-13,0.03
2020-12-14,0.055
2020-12-15,0.0525
2020-12-16,0.0535
2020-12-17,0.0575
2020-12-18,0.0528
2020-12-19,0.047825
2020-12-20,0.047325
2020-12-21,0.0465
2020-12-22,0.044875
2020-12-23,0.03938889
2020-12-24,0.04752
2020-12-25,0.0683125
2020-12-26,0.05084531
2020-12-27,0.04203333
2020-12-28,0.04914286
2020-12-29,0.04475
2020-12-30,0.048324
2020-12-31,0.04378
2021-01-01,0.04
2021-01-02,0.04551667
2021-01-03,0.03685133
2021-01-04,0.04163333
2021-01-05,0.0396604
2021-01-06,0.043975
2021-01-07,0.03676929
2021-01-08,0.03551333
2021-01-09,0.03453556
2021-01-10,0.03418333
2021-01-11,0.03610417
2021-01-12,0.03550267
2021-01-13,0.03481465
2021-01-14,0.03066883
2021-01-15,0.03593098
2021-01-16,0.03329444
2021-01-17,0.03153333
2021-01-18,0.0318375
2021-01-19,0.03278571
2021-01-20,0.0324125
2021-01-21,0.02859722
2021-01-22,0.03079928
2021-01-23,0.0306085
2021-01-24,0.02973633
2021-01-25,0.03248
2021-01-26,0.03451667
2021-01-27,0.03537912
2021-01-28,0.03787
2021-01-29,0.04595006
2021-01-30,0.04946477
2021-01-31,0.047
2021-02-01,0.04646667
2021-02-02,0.03491667
2021-02-03,0.03643625
2021-02-04,0.03895333
2021-02-05,0.04232955
2021-02-06,0.0315
2021-02-07,0.025
2021-02-08,0.035875
2021-02-09,0.03900667
2021-02-10,0.0575
2021-02-11,0.0445
2021-02-12,0.040005
2021-02-13,0.04465
2021-02-14,0.0399
2021-02-15,0.0349
2021-02-16,0.03401566
2021-02-17,0.037485
2021-02-18,0.0434
2021-02-19,0.0451
2021-02-20,0.04292222
2021-02-21,0.029975
2021-02-22,0.04058
2021-02-23,0.03405521
2021-02-24,0.03805
2021-02-25,0.03761961
2021-02-26,0.04342238
2021-02-27,0.03128333
2021-02-28,0.03766667
2021-03-01,0.03325
2021-03-02,0.03707143
2021-03-03,0.03724167
2021-03-04,0.0434
2021-03-05,0.025
2021-03-06,0.05211667
2021-03-07,0.0668
2021-03-08,0.025
