date,price
2021-08-19,0.4
2021-08-20,0.4
2021-08-21,0.4
2021-08-22,0.4
2021-08-23,0.35
2021-08-24,0.35
2021-08-25,0.35
2021-08-26,0.268
2021-08-27,0.3
2021-08-28,0.3
2021-08-29,0.3
2021-08-30,0.3
2021-08-31,0.31
2021-09-01,0.32
2021-09-02,0.32
2021-09-03,0.32
2021-09-04,0.32
2021-09-05,0.32
2021-09-06,0.32
2021-09-07,0.32
2021-09-08,0.32
2021-09-09,0.32
2021-09-10,0.32
2021-09-11,0.32
2021-09-12,0.32
2021-09-13,0.3
2021-09-14,0.3
2021-09-15,0.3
2021-09-16,0.3
2021-09-17,0.3
2021-09-18,0.3
2021-09-19,0.275
2021-09-20,0.275
2021-09-21,0.275
2021-09-22,0.275
2021-09-23,0.275
2021-09-24,0.275
2021-09-25,0.275
2021-09-26,0.275
2021-09-27,0.275
2021-09-28,0.275
2021-09-29,0.275
2021-09-30,0.275
2021-10-01,0.275
2021-10-02,0.275
2021-10-03,0.275
2021-10-04,0.275
2021-10-05,0.275
2021-10-06,0.275
2021-10-07,0.275
2021-10-08,0.275
2021-10-09,0.275
2021-10-10,0.275
2021-10-11,0.275
2021-10-12,0.275
2021-10-13,0.275
2021-10-14,0.275
2021-10-15,0.275
2021-10-16,0.275
2021-10-17,0.275
2021-10-18,0.275
2021-10-19,0.275
2021-10-20,0.125
2021-10-21,0.125
2021-10-22,0.125
2021-10-23,0.125
2021-10-24,0.125
2021-10-25,0.125
2021-10-26,0.125
2021-10-27,0.125
2021-10-28,0.125
2021-10-29,0.125
2021-10-30,0.125
2021-10-31,0.125
2021-11-01,0.125
2021-11-02,0.125
2021-11-03,0.125
2021-11-04,0.125
2021-11-05,0.125
2021-11-06,0.125
2021-11-07,0.125
2021-11-08,0.125
2021-11-09,0.125
2021-11-10,0.125
2021-11-11,0.125
2021-11-12,0.125
2021-11-13,0.125
2021-11-14,0.125
2021-11-15,0.125
2021-11-16,0.125
2021-11-17,0.125
2021-11-18,0.125
2021-11-19,0.125
2021-11-20,0.125
2021-11-21,0.125
2021-11-22,0.125
2021-11-23,0.125
2021-11-24,0.125
2021-11-25,0.125
