date,price
2017-04-01,0.81244444
2017-04-02,0.81245455
2017-04-03,0.81245455
2017-04-04,0.81245455
2017-04-05,0.81245455
2017-04-06,0.81245455
2017-04-07,1.2145
2017-04-08,1.2145
2017-04-09,1.2145
2017-04-10,1.2145
2017-04-11,1.2145
2017-04-12,1.2145
2017-04-13,1.2145
2017-04-14,1.2145
2017-04-15,0.84277778
2017-04-16,0.84277778
2017-04-17,0.9
2017-04-18,0.9
2017-04-19,0.9
2017-04-20,0.9
2017-04-21,0.9
2017-04-22,0.9
2017-04-23,0.85666667
2017-04-24,0.85666667
2017-04-25,0.9
2017-04-26,0.9
2017-04-27,0.9
2017-04-28,0.76261538
2017-04-29,0.833
2017-04-30,0.91358333
2017-05-01,0.95
2017-05-02,0.92154545
2017-05-03,0.9
2017-05-04,0.8
2017-05-05,0.8
2017-05-06,0.87125
2017-05-07,0.849
2017-05-08,0.849
2017-05-09,0.849
2017-05-10,0.849
2017-05-11,0.849
2017-05-12,0.8217
2017-05-13,0.89333333
2017-05-14,0.8935
2017-05-15,0.8526
2017-05-16,0.8526
2017-05-17,0.855
2017-05-18,0.9025
2017-05-19,0.88
2017-05-20,0.88
2017-05-21,0.8654
2017-05-22,0.8654
2017-05-23,0.8614
2017-05-24,0.8614
2017-05-25,0.95
2017-05-26,0.85783333
2017-05-27,0.84966667
2017-05-28,0.99322222
2017-05-29,0.64489643
2017-05-30,0.8
2017-05-31,0.8
2017-06-01,0.882
2017-06-02,0.90554545
2017-06-03,0.9
2017-06-04,0.9
2017-06-05,0.9
2017-06-06,0.9
2017-06-07,0.8905
2017-06-08,0.899
2017-06-09,0.899
2017-06-10,0.899
2017-06-11,0.899
2017-06-12,0.8511
2017-06-13,1.00503333
2017-06-14,1.09389286
2017-06-15,1.0735
2017-06-16,1.0735
2017-06-17,1.0735
2017-06-18,1.0735
2017-06-19,1.0735
2017-06-20,1.0735
2017-06-21,1.0735
2017-06-22,1.0735
2017-06-23,1.0735
2017-06-24,0.86533333
2017-06-25,0.86533333
2017-06-26,0.86533333
2017-06-27,0.86533333
2017-06-28,0.86533333
2017-06-29,0.86533333
2017-06-30,0.927
2017-07-01,0.927
2017-07-02,0.927
2017-07-03,0.927
2017-07-04,0.925
2017-07-05,0.8415
2017-07-06,0.9
2017-07-07,0.9
2017-07-08,0.9
2017-07-09,0.9
2017-07-10,0.891
2017-07-11,0.85
2017-07-12,0.85
2017-07-13,0.85
2017-07-14,0.799
2017-07-15,0.799
2017-07-16,0.799
2017-07-17,0.799
2017-07-18,0.799
2017-07-19,0.799
2017-07-20,0.799
2017-07-21,0.799
2017-07-22,0.799
2017-07-23,0.799
2017-07-24,0.84814977
2017-07-25,0.84814977
2017-07-26,0.8805
2017-07-27,0.7634
2017-07-28,0.7634
2017-07-29,0.7634
2017-07-30,0.7634
2017-07-31,0.77
2017-08-01,0.77
2017-08-02,0.77
2017-08-03,0.784
2017-08-04,0.784
2017-08-05,0.83295775
2017-08-06,0.84842857
2017-08-07,0.72416667
2017-08-08,0.72416667
2017-08-09,0.71833333
2017-08-10,0.78333333
2017-08-11,0.78333333
2017-08-12,0.85
2017-08-13,0.85
2017-08-14,0.799
2017-08-15,0.799
2017-08-16,0.799
2017-08-17,0.799
2017-08-18,0.799
2017-08-19,0.799
2017-08-20,0.799
2017-08-21,0.50897959
2017-08-22,0.69
2017-08-23,0.69
2017-08-24,0.6
2017-08-25,0.6
2017-08-26,0.6
2017-08-27,0.6
2017-08-28,0.6
2017-08-29,0.73429762
2017-08-30,0.68
2017-08-31,0.66775
2017-09-01,0.6735
2017-09-02,0.6735
2017-09-03,0.6735
2017-09-04,0.6735
2017-09-05,0.636
2017-09-06,0.636
2017-09-07,0.649
2017-09-08,0.649
2017-09-09,0.6965
2017-09-10,0.6965
2017-09-11,0.6965
2017-09-12,0.6965
2017-09-13,0.718
2017-09-14,0.7
2017-09-15,0.7
2017-09-16,1.012
2017-09-17,1.012
2017-09-18,0.64775
2017-09-19,0.64775
2017-09-20,0.64775
2017-09-21,0.64775
2017-09-22,0.7234
2017-09-23,0.8269
2017-09-24,0.8269
2017-09-25,0.662
2017-09-26,0.662
2017-09-27,0.64
2017-09-28,0.64
2017-09-29,0.64871429
2017-09-30,0.64871429
2017-10-01,0.64871429
2017-10-02,0.64871429
2017-10-03,0.82613333
2017-10-04,0.82613333
2017-10-05,0.82613333
2017-10-06,0.82613333
2017-10-07,0.82613333
2017-10-08,0.73241667
2017-10-09,0.7
2017-10-10,0.7
2017-10-11,0.7
2017-10-12,0.7
2017-10-13,0.79
2017-10-14,0.79
2017-10-15,0.79
2017-10-16,0.7
2017-10-17,0.7
2017-10-18,0.7
2017-10-19,0.7
2017-10-20,0.6645
2017-10-21,0.6645
2017-10-22,0.6645
2017-10-23,0.6645
2017-10-24,0.6645
2017-10-25,0.63314286
2017-10-26,0.63314286
2017-10-27,0.63314286
2017-10-28,0.6567619
2017-10-29,0.6
2017-10-30,0.6
2017-10-31,0.6
2017-11-01,0.6
2017-11-02,0.58
2017-11-03,0.66696296
2017-11-04,0.66696296
2017-11-05,0.6645
2017-11-06,0.6645
2017-11-07,0.6645
2017-11-08,0.636
2017-11-09,0.625
2017-11-10,0.75
2017-11-11,0.75
2017-11-12,0.75
2017-11-13,0.75
2017-11-14,0.75
2017-11-15,0.75
2017-11-16,0.75
2017-11-17,0.75
2017-11-18,0.75
2017-11-19,0.65775
2017-11-20,0.65775
2017-11-21,0.696
2017-11-22,0.642
2017-11-23,0.642
2017-11-24,0.642
2017-11-25,0.642
2017-11-26,0.642
2017-11-27,0.63657143
2017-11-28,0.63333333
2017-11-29,0.6045
2017-11-30,0.63333333
2017-12-01,0.644
2017-12-02,0.624
2017-12-03,0.63766667
2017-12-04,0.62917647
2017-12-05,0.63818519
2017-12-06,0.644
2017-12-07,0.6435
2017-12-08,0.6435
2017-12-09,0.62911111
2017-12-10,0.75242453
2017-12-11,0.625
2017-12-12,0.6885
2017-12-13,0.661
2017-12-14,0.698
2017-12-15,0.698
2017-12-16,0.641
2017-12-17,0.6695
2017-12-18,0.6695
2017-12-19,0.6695
2017-12-20,0.698
2017-12-21,0.698
2017-12-22,0.7
2017-12-23,0.6575
2017-12-24,0.5
2017-12-25,0.5
2017-12-26,0.6
2017-12-27,0.6
2017-12-28,0.648
2017-12-29,0.8288
2017-12-30,0.64166667
2017-12-31,0.64166667
2018-01-01,0.64816667
2018-01-02,0.646
2018-01-03,0.646
2018-01-04,0.646
2018-01-05,0.72105983
2018-01-06,0.72105983
2018-01-07,0.72105983
2018-01-08,0.55
2018-01-09,0.6
2018-01-10,0.65
2018-01-11,0.6
2018-01-12,0.6
2018-01-13,0.67991667
2018-01-14,0.60000002
2018-01-15,0.74133333
2018-01-16,0.74133333
2018-01-17,0.6
2018-01-18,0.6
2018-01-19,0.6
2018-01-20,0.77997059
2018-01-21,0.6
2018-01-22,0.6
2018-01-23,0.90301961
2018-01-24,0.90301961
2018-01-25,0.90301961
2018-01-26,0.62672222
2018-01-27,0.6
2018-01-28,0.625
2018-01-29,0.6308
2018-01-30,0.625
2018-01-31,0.625
2018-02-01,0.66356667
2018-02-02,1.09633333
2018-02-03,1.09633333
2018-02-04,1.09633333
2018-02-05,1.09633333
2018-02-06,0.6
2018-02-07,0.6
2018-02-08,0.6
2018-02-09,0.6
2018-02-10,0.6
2018-02-11,0.59
2018-02-12,0.59
2018-02-13,0.6
2018-02-14,0.6566
2018-02-15,0.6566
2018-02-16,0.625
2018-02-17,0.605
2018-02-18,0.612
2018-02-19,0.6
2018-02-20,0.635
2018-02-21,0.6566
2018-02-22,0.6566
2018-02-23,0.636
2018-02-24,0.636
2018-02-25,0.66666667
2018-02-26,0.62
2018-02-27,0.61655
2018-02-28,0.92688889
2018-03-01,0.6
2018-03-02,0.58
2018-03-03,0.64
2018-03-04,0.83
2018-03-05,0.65
2018-03-06,0.66666667
2018-03-07,0.66666667
2018-03-08,0.65
2018-03-09,0.725
2018-03-10,0.7
2018-03-11,0.7
2018-03-12,0.697
2018-03-13,1.06393333
2018-03-14,0.81665002
2018-03-15,0.82
2018-03-16,0.65
2018-03-17,0.65
2018-03-18,0.741
2018-03-19,0.6485
2018-03-20,0.6485
2018-03-21,0.604925
2018-03-22,0.58
2018-03-23,0.58
2018-03-24,0.6
2018-03-25,0.6
2018-03-26,0.74
2018-03-27,0.62
2018-03-28,0.63207381
2018-03-29,0.63207381
2018-03-30,0.675
2018-03-31,0.643
2018-04-01,0.6415
2018-04-02,0.798
2018-04-03,0.8
2018-04-04,0.66
2018-04-05,0.66
2018-04-06,0.64
2018-04-07,0.64
2018-04-08,0.68
2018-04-09,0.6746
2018-04-10,0.7
2018-04-11,0.65
