date,price
2021-09-27,4.86428571
2021-09-28,3.90714286
2021-09-29,2.36428571
2021-09-30,2.28888889
2021-10-01,2.01566667
2021-10-02,2.325
2021-10-03,2.04444444
2021-10-04,1.99
2021-10-05,2.22142857
2021-10-06,1.55
2021-10-07,1.13333333
2021-10-08,1.13571429
2021-10-09,1.125
2021-10-10,1.1625
2021-10-11,1.92
2021-10-12,1.92
2021-10-13,1.7
2021-10-14,1.1625
2021-10-15,1.175
2021-10-16,1.54
2021-10-17,1.2
2021-10-18,1.1
2021-10-19,1.14
2021-10-20,0.8
2021-10-21,3.05
2021-10-22,3.05
2021-10-23,2.825
2021-10-24,1.025
2021-10-25,1.925
2021-10-26,0.8
2021-10-27,1.1
2021-10-28,4.3
2021-10-29,4.3
2021-10-30,3.53333333
2021-10-31,3.53333333
2021-11-01,1.2575
2021-11-02,1.2575
2021-11-03,1.2575
2021-11-04,2.8
2021-11-05,2.545
2021-11-06,1.1
2021-11-07,0.7
2021-11-08,3.48222222
2021-11-09,0.8
2021-11-10,0.799
2021-11-11,1.1
2021-11-12,1.1
2021-11-13,0.598
2021-11-14,1.1
2021-11-15,1.1
2021-11-16,1.1
2021-11-17,1.1
2021-11-18,0.5
2021-11-19,0.5
2021-11-20,3.96
2021-11-21,3.96
2021-11-22,3.96
2021-11-23,1.0
2021-11-24,0.5
2021-11-25,0.5
