date,price
2017-03-30,5.3
2017-03-31,1.475
2017-04-01,1.55
2017-04-02,1.55
2017-04-03,1.2
2017-04-04,1.194
2017-04-05,1.2
2017-04-06,1.24375
2017-04-07,1.24375
2017-04-08,1.24375
2017-04-09,1.24375
2017-04-10,1.25
2017-04-11,1.25
2017-04-12,1.25
2017-04-13,1.25
2017-04-14,1.25
2017-04-15,1.25
2017-04-16,1.25
2017-04-17,1.25
2017-04-18,1.2
2017-04-19,1.194
2017-04-20,1.194
2017-04-21,1.2
2017-04-22,1.225
2017-04-23,1.225
2017-04-24,1.225
2017-04-25,1.25
2017-04-26,1.25
2017-04-27,1.25
2017-04-28,1.25
2017-04-29,1.2375
2017-04-30,1.29166667
2017-05-01,1.29166667
2017-05-02,1.29166667
2017-05-03,1.29166667
2017-05-04,1.29166667
2017-05-05,1.29166667
2017-05-06,1.35
2017-05-07,1.35
2017-05-08,1.38333333
2017-05-09,1.6
2017-05-10,1.595
2017-05-11,1.56
2017-05-12,1.51428571
2017-05-13,1.54
2017-05-14,1.68
2017-05-15,1.53
2017-05-16,1.58
2017-05-17,1.63333333
2017-05-18,1.73
2017-05-19,1.52
2017-05-20,1.675625
2017-05-21,1.675625
2017-05-22,1.62333333
2017-05-23,1.4
2017-05-24,1.425
2017-05-25,1.425
2017-05-26,1.74
2017-05-27,1.5
2017-05-28,1.65
2017-05-29,1.75
2017-05-30,1.6
2017-05-31,1.75
2017-06-01,1.7
2017-06-02,1.7185
2017-06-03,1.757
2017-06-04,1.75
2017-06-05,1.75
2017-06-06,1.75
2017-06-07,1.7
2017-06-08,1.7
2017-06-09,1.53333333
2017-06-10,1.7125
2017-06-11,1.775
2017-06-12,1.5935
2017-06-13,1.7
2017-06-14,1.7
2017-06-15,1.8
2017-06-16,2.0
2017-06-17,1.725
2017-06-18,1.85
2017-06-19,1.71666667
2017-06-20,1.98
2017-06-21,1.635
2017-06-22,1.635
2017-06-23,1.635
2017-06-24,1.645
2017-06-25,1.475
2017-06-26,1.475
2017-06-27,1.475
2017-06-28,1.475
2017-06-29,1.73333333
2017-06-30,1.7
2017-07-01,1.63333333
2017-07-02,1.65
2017-07-03,1.65
2017-07-04,1.65
2017-07-05,1.57115556
2017-07-06,1.68
2017-07-07,0.5
2017-07-08,1.5
2017-07-09,1.7
2017-07-10,1.6
2017-07-11,1.45
2017-07-12,1.575
2017-07-13,1.53333333
2017-07-14,1.4
2017-07-15,1.4
2017-07-16,1.4
2017-07-17,1.5
2017-07-18,1.36666667
2017-07-19,1.4
2017-07-20,1.5
2017-07-21,1.48
2017-07-22,1.475
2017-07-23,1.475
2017-07-24,1.5
2017-07-25,1.5
2017-07-26,1.66666667
2017-07-27,1.5
2017-07-28,1.66666667
2017-07-29,1.5
2017-07-30,1.7
2017-07-31,1.7
2017-08-01,1.7
2017-08-02,1.6
2017-08-03,1.5625
2017-08-04,1.3625
2017-08-05,1.625
2017-08-06,1.45
2017-08-07,1.5
2017-08-08,1.3375
2017-08-09,1.45
2017-08-10,1.25
2017-08-11,1.49285714
2017-08-12,1.54
2017-08-13,1.6
2017-08-14,1.6
2017-08-15,1.56666667
2017-08-16,1.64
2017-08-17,1.56666667
2017-08-18,1.575
2017-08-19,1.6
2017-08-20,1.4
2017-08-21,1.4
2017-08-22,1.58
2017-08-23,1.6125
2017-08-24,1.5
2017-08-25,1.5
2017-08-26,1.5
2017-08-27,1.48
2017-08-28,1.40405
2017-08-29,1.398
2017-08-30,1.4595
2017-08-31,1.40307143
2017-09-01,1.44
2017-09-02,1.44
2017-09-03,1.44
2017-09-04,1.40266667
2017-09-05,1.405
2017-09-06,1.309
2017-09-07,1.46166667
2017-09-08,1.308
2017-09-09,1.3575
2017-09-10,1.246
2017-09-11,1.364
