date,price
2020-09-12,0.01973333
2020-09-13,0.0196
2020-09-14,0.025
2020-09-15,0.0245
2020-09-16,0.0245
2020-09-17,0.02366933
2020-09-18,0.02366933
2020-09-19,0.02092
2020-09-20,0.017372
2020-09-21,0.02057
2020-09-22,0.02254
2020-09-23,0.02254
2020-09-24,0.01881111
2020-09-25,0.017455
2020-09-26,0.014845
2020-09-27,0.014845
2020-09-28,0.0203
2020-09-29,0.0170875
2020-09-30,0.01425
2020-10-01,0.01274405
2020-10-02,0.0095
2020-10-03,0.01269
2020-10-04,0.0094
2020-10-05,0.01596
2020-10-06,0.005025
2020-10-07,0.003
2020-10-08,0.0037
2020-10-09,0.00633333
2020-10-10,0.00633333
2020-10-11,0.00828333
2020-10-12,0.009175
2020-10-13,0.00574
2020-10-14,0.007
2020-10-15,0.006725
2020-10-16,0.00663333
2020-10-17,0.009
2020-10-18,0.0174
2020-10-19,2.46666667
2020-10-20,3.625
2020-10-21,3.875
2020-10-22,2.7875
2020-10-23,2.66
2020-10-24,3.85
2020-10-25,2.85
2020-10-26,3.28504
2020-10-27,3.1375
2020-10-28,2.85
2020-10-29,2.97026667
2020-10-30,2.35
2020-10-31,2.74
2020-11-01,2.86666667
2020-11-02,2.69375
2020-11-03,2.448
2020-11-04,2.1104
2020-11-05,2.53333333
2020-11-06,2.33333333
2020-11-07,2.0625
2020-11-08,2.7255
2020-11-09,3.02666667
2020-11-10,2.40483333
2020-11-11,2.24
2020-11-12,2.24
2020-11-13,2.35
2020-11-14,2.292
2020-11-15,2.25
2020-11-16,1.59
2020-11-17,1.5
2020-11-18,1.0875
2020-11-19,1.0
2020-11-20,1.45
2020-11-21,1.0
2020-11-22,1.65625
2020-11-23,1.265
2020-11-24,0.95
2020-11-25,0.9375
2020-11-26,0.96
2020-11-27,1.5
2020-11-28,1.415
2020-11-29,1.0
2020-11-30,0.9425
2020-12-01,0.88
2020-12-02,0.85666667
2020-12-03,1.0
2020-12-04,0.95126667
2020-12-05,0.9975
2020-12-06,0.87444444
2020-12-07,0.80769231
2020-12-08,1.865
2020-12-09,1.45662963
2020-12-10,2.45
2020-12-11,1.40880952
2020-12-12,2.02572672
2020-12-13,0.87986667
2020-12-14,0.93183333
2020-12-15,0.904
2020-12-16,0.825
2020-12-17,0.84666667
2020-12-18,1.0
2020-12-19,1.488
2020-12-20,0.86
2020-12-21,0.9
2020-12-22,0.96
2020-12-23,0.78428571
2020-12-24,0.86666667
2020-12-25,0.82
2020-12-26,0.76666667
2020-12-27,0.82
2020-12-28,0.76
2020-12-29,0.77428571
2020-12-30,0.756
2020-12-31,0.90833333
2021-01-01,0.95
2021-01-02,0.96
2021-01-03,0.98166667
2021-01-04,1.02125
2021-01-05,0.92
2021-01-06,0.9
2021-01-07,0.78333333
2021-01-08,0.80714286
2021-01-09,0.80833333
2021-01-10,0.84
2021-01-11,0.8375
2021-01-12,0.775
2021-01-13,0.7525
2021-01-14,0.9
2021-01-15,0.73125
2021-01-16,0.76857143
2021-01-17,0.77
2021-01-18,0.661
2021-01-19,0.925
2021-01-20,0.906
2021-01-21,1.3705
2021-01-22,1.15220833
2021-01-23,1.15220833
2021-01-24,1.197075
2021-01-25,1.12651153
2021-01-26,1.1835
2021-01-27,1.0793
2021-01-28,1.11775
2021-01-29,1.13361875
2021-01-30,0.91
2021-01-31,1.0622
2021-02-01,0.86501773
2021-02-02,0.93
2021-02-03,0.93888889
2021-02-04,0.925
2021-02-05,0.93333333
2021-02-06,0.94285714
2021-02-07,0.91571429
2021-02-08,0.88
2021-02-09,0.93333333
2021-02-10,0.938
2021-02-11,0.938
2021-02-12,0.922
2021-02-13,0.92714286
2021-02-14,0.96
2021-02-15,0.95
2021-02-16,0.95
2021-02-17,0.94333333
2021-02-18,1.0375
2021-02-19,1.01766667
2021-02-20,1.00285714
2021-02-21,0.91
2021-02-22,0.92
2021-02-23,0.9475
2021-02-24,0.98233333
2021-02-25,0.90333333
2021-02-26,0.87
2021-02-27,0.94583333
2021-02-28,0.938
2021-03-01,0.92666667
2021-03-02,0.92666667
2021-03-03,0.89666667
2021-03-04,0.88
2021-03-05,0.875
2021-03-06,0.89285714
2021-03-07,0.91285714
2021-03-08,1.0228
2021-03-09,1.27833333
2021-03-10,1.504
2021-03-11,1.504
2021-03-12,1.75252929
2021-03-13,1.6938246
2021-03-14,2.00114286
2021-03-15,1.54266667
2021-03-16,1.69226891
2021-03-17,1.89555
2021-03-18,1.86123355
2021-03-19,1.9885
2021-03-20,1.9707172
2021-03-21,1.77627823
2021-03-22,1.53
2021-03-23,1.83154167
2021-03-24,1.93751515
2021-03-25,1.97866667
2021-03-26,2.0648
2021-03-27,1.96126596
2021-03-28,1.98816667
2021-03-29,2.01751852
2021-03-30,1.89
2021-03-31,1.746
2021-04-01,1.80758333
2021-04-02,1.72
2021-04-03,1.66
2021-04-04,1.98
2021-04-05,1.836
2021-04-06,1.71626667
2021-04-07,1.7829877
2021-04-08,1.64333333
2021-04-09,1.7192
2021-04-10,1.7538
2021-04-11,1.796
2021-04-12,1.739
2021-04-13,1.66066667
2021-04-14,1.65551515
2021-04-15,1.68524762
2021-04-16,1.766
2021-04-17,1.75684722
2021-04-18,1.75684722
2021-04-19,1.64133333
2021-04-20,1.6179
2021-04-21,1.69375
2021-04-22,1.78693333
2021-04-23,1.892
2021-04-24,1.68272727
2021-04-25,1.44
2021-04-26,1.54838095
2021-04-27,1.617
2021-04-28,1.6
2021-04-29,1.60333333
2021-04-30,1.332
2021-05-01,1.21240741
2021-05-02,1.47972727
2021-05-03,1.28
2021-05-04,1.431
2021-05-05,1.2
2021-05-06,1.69181818
2021-05-07,1.75454545
2021-05-08,1.87
2021-05-09,1.69181818
2021-05-10,1.573
2021-05-11,1.66704762
2021-05-12,1.55057143
2021-05-13,1.449
2021-05-14,1.46
2021-05-15,1.22375
2021-05-16,1.3332
2021-05-17,1.40297959
2021-05-18,1.63
2021-05-19,1.63
2021-05-20,1.55833333
2021-05-21,1.53104651
2021-05-22,1.516
2021-05-23,1.34088346
2021-05-24,1.44095238
2021-05-25,1.44095238
2021-05-26,1.296
2021-05-27,1.488
2021-05-28,1.37027381
2021-05-29,1.33171429
2021-05-30,1.37149145
2021-05-31,1.336
2021-06-01,1.31770833
2021-06-02,1.27396667
2021-06-03,1.27396667
2021-06-04,1.1832
2021-06-05,1.28
2021-06-06,1.28
2021-06-07,1.2
2021-06-08,1.235
2021-06-09,1.2675
2021-06-10,1.23333333
2021-06-11,1.248
2021-06-12,1.235
2021-06-13,1.195
2021-06-14,1.2675
2021-06-15,1.25666667
2021-06-16,1.2675
2021-06-17,1.28375
2021-06-18,1.20125
2021-06-19,1.27833333
2021-06-20,1.235
2021-06-21,1.3
2021-06-22,1.3
2021-06-23,1.235
2021-06-24,1.2675
2021-06-25,1.235
2021-06-26,1.02133333
2021-06-27,0.99766667
2021-06-28,1.02269841
2021-06-29,0.98112
2021-06-30,1.03
2021-07-01,0.97866667
2021-07-02,0.96825
2021-07-03,1.00428571
2021-07-04,0.96833333
2021-07-05,0.96833333
2021-07-06,0.96833333
2021-07-07,0.84975
2021-07-08,0.824
2021-07-09,0.7622
2021-07-10,0.78270455
2021-07-11,0.87675
2021-07-12,0.9
2021-07-13,0.7759
2021-07-14,0.85
2021-07-15,0.725
2021-07-16,0.775
2021-07-17,0.67333333
2021-07-18,0.875
2021-07-19,0.71
2021-07-20,0.76
2021-07-21,0.78
2021-07-22,0.755
2021-07-23,0.755
2021-07-24,0.8025
2021-07-25,0.742
2021-07-26,0.738
2021-07-27,0.70666667
2021-07-28,0.66333333
2021-07-29,0.525
2021-07-30,0.49
2021-07-31,0.615
2021-08-01,0.615
2021-08-02,0.515
2021-08-03,0.42
2021-08-04,0.53
2021-08-05,0.29
2021-08-06,0.73
2021-08-07,0.5275
2021-08-08,0.54
2021-08-09,0.6
2021-08-10,0.6
2021-08-11,0.44
2021-08-12,0.4425
2021-08-13,0.46666667
2021-08-14,0.75
2021-08-15,0.66
2021-08-16,0.66
2021-08-17,0.8
2021-08-18,0.575
2021-08-19,0.575
2021-08-20,0.475
2021-08-21,0.5
2021-08-22,0.35
2021-08-23,0.41666667
2021-08-24,0.435
2021-08-25,0.3
2021-08-26,0.31
2021-08-27,0.365
2021-08-28,0.365
2021-08-29,0.5525
2021-08-30,0.76
2021-08-31,0.415
2021-09-01,0.415
2021-09-02,0.415
2021-09-03,0.405
2021-09-04,0.45
2021-09-05,0.35
2021-09-06,0.5025
2021-09-07,0.39
2021-09-08,0.67
2021-09-09,0.31
2021-09-10,0.42666667
2021-09-11,0.36
2021-09-12,0.39
2021-09-13,0.38666667
2021-09-14,0.29
2021-09-15,0.36
2021-09-16,0.36
2021-09-17,0.29
2021-09-18,0.385
2021-09-19,0.3275
2021-09-20,0.415
2021-09-21,0.305
2021-09-22,0.26
2021-09-23,0.2975
2021-09-24,0.29333333
2021-09-25,0.25
2021-09-26,0.26333333
2021-09-27,0.26333333
2021-09-28,0.25
2021-09-29,0.25
2021-09-30,0.25
2021-10-01,0.34
2021-10-02,0.3175
2021-10-03,0.26
2021-10-04,0.27
2021-10-05,0.235
2021-10-06,0.24666667
2021-10-07,0.24666667
2021-10-08,0.295
2021-10-09,0.25
2021-10-10,0.32
2021-10-11,0.26
2021-10-12,0.29
2021-10-13,0.61
2021-10-14,0.75666667
2021-10-15,0.255
2021-10-16,0.25
2021-10-17,0.26333333
2021-10-18,0.26
2021-10-19,0.625
2021-10-20,0.78428571
2021-10-21,0.74
2021-10-22,0.32333333
2021-10-23,0.29
2021-10-24,0.274
2021-10-25,0.274
2021-10-26,0.23
2021-10-27,0.26
2021-10-28,0.24
2021-10-29,0.45
2021-10-30,0.265
2021-10-31,0.29
2021-11-01,0.285
2021-11-02,0.285
2021-11-03,0.258
2021-11-04,0.34
2021-11-05,0.26
2021-11-06,0.29
2021-11-07,0.29
2021-11-08,0.29
2021-11-09,0.28
2021-11-10,0.285
2021-11-11,0.285
2021-11-12,0.28
2021-11-13,0.29
2021-11-14,0.265
2021-11-15,0.24
2021-11-16,0.24
2021-11-17,0.29
