date,price
2017-03-30,2.793e-05
2017-03-31,2.52e-05
2017-04-01,2.6e-05
2017-04-02,2.136e-05
2017-04-03,2.343e-05
2017-04-04,2.266e-05
2017-04-05,2.2e-05
2017-04-06,0.00042
2017-04-07,2.3e-05
2017-04-08,2.5e-05
2017-04-09,2.161e-05
2017-04-10,1.95e-05
2017-04-11,0.00042
2017-04-12,2.5e-05
2017-04-13,2.5e-05
2017-04-14,0.00017008
2017-04-15,4.535e-05
2017-04-16,4.535e-05
2017-04-17,1.703e-05
2017-04-18,1.703e-05
2017-04-19,1.85e-05
2017-04-20,1.65e-05
2017-04-21,1.515e-05
2017-04-22,1.683e-05
2017-04-23,0.0001035
2017-04-24,1.65e-05
2017-04-25,1.75e-05
2017-04-26,1.7e-05
2017-04-27,1.7e-05
2017-04-28,0.00019
2017-04-29,1.825e-05
2017-04-30,1.68e-05
2017-05-01,1.73e-05
2017-05-02,1.73e-05
2017-05-03,1.85e-05
2017-05-04,1.783e-05
2017-05-05,1.65e-05
2017-05-06,1.757e-05
2017-05-07,1.767e-05
2017-05-08,1.65e-05
2017-05-09,1.65e-05
2017-05-10,1.5e-05
2017-05-11,9.957e-05
2017-05-12,1.65e-05
2017-05-13,0.00028061
2017-05-14,1.767e-05
2017-05-15,1.85e-05
2017-05-16,1.65e-05
2017-05-17,1.65e-05
2017-05-18,1.663e-05
2017-05-19,1.675e-05
2017-05-20,1.683e-05
2017-05-21,1.4e-05
2017-05-22,1.418e-05
2017-05-23,1.6e-05
2017-05-24,1.492e-05
2017-05-25,1.625e-05
2017-05-26,1.563e-05
2017-05-27,1.64e-05
2017-05-28,1.64e-05
2017-05-29,1.552e-05
2017-05-30,1.26e-05
2017-05-31,1.6e-05
2017-06-01,1.26e-05
2017-06-02,1.26e-05
2017-06-03,1.368e-05
2017-06-04,1.624e-05
2017-06-05,2.175e-05
2017-06-06,1.85e-05
2017-06-07,1.85e-05
2017-06-08,1.355e-05
2017-06-09,1.355e-05
2017-06-10,1.475e-05
2017-06-11,1.5e-05
2017-06-12,1.653e-05
2017-06-13,1.653e-05
2017-06-14,1.6e-05
2017-06-15,5.422e-05
2017-06-16,1.34e-05
2017-06-17,1.579e-05
2017-06-18,1.625e-05
2017-06-19,1.391e-05
2017-06-20,1.361e-05
2017-06-21,1.5e-05
2017-06-22,1.26e-05
2017-06-23,1.325e-05
2017-06-24,1.333e-05
2017-06-25,1.35e-05
2017-06-26,1.375e-05
2017-06-27,1.6e-05
2017-06-28,1.6e-05
2017-06-29,12.50000675
2017-06-30,14.000008
2017-07-01,1.35e-05
2017-07-02,1.4e-05
2017-07-03,11.13927833
2017-07-04,6.29334367
2017-07-05,14.85
2017-07-06,1.33e-05
2017-07-07,1.33e-05
2017-07-08,10.68
2017-07-09,3.29000983
2017-07-10,1.525e-05
2017-07-11,5.3280058
2017-07-12,8.74
2017-07-13,1.3e-05
2017-07-14,2.7750125
2017-07-15,1.3e-05
2017-07-16,3.7000035
2017-07-17,1.56667583
2017-07-18,2.350007
2017-07-19,1.348e-05
2017-07-20,2.325007
2017-07-21,2.6000045
2017-07-22,1.45e-05
2017-07-23,1.16667767
2017-07-24,1.533e-05
2017-07-25,3.25
2017-07-26,1.550007
2017-07-27,2.744
2017-07-28,1.4e-05
2017-07-29,1.43e-05
2017-07-30,4.8
2017-07-31,2.0800054
2017-08-01,1.100007
2017-08-02,2.73333767
2017-08-03,0.990007
2017-08-04,1.5e-05
2017-08-05,2.125
2017-08-06,5.35
2017-08-07,1.500005
2017-08-08,2.24
2017-08-09,2.24
2017-08-10,0.90000983
2017-08-11,1.40000675
2017-08-12,8.1875
2017-08-13,3.1875075
2017-08-14,1.4375065
2017-08-15,1.4375065
2017-08-16,10.0
2017-08-17,1.5e-05
2017-08-18,1.0000085
2017-08-19,2.95000651
2017-08-20,0.843808
2017-08-21,0.59334333
2017-08-22,1.80000004
2017-08-23,1.372e-05
2017-08-24,1.372e-05
2017-08-25,1.84286364
2017-08-26,1.21102999
2017-08-27,2.95827661
2017-08-28,0.9262565
2017-08-29,1.325e-05
2017-08-30,1.1910026
2017-08-31,1.7e-05
2017-09-01,4.1998053
2017-09-02,0.4995075
2017-09-03,0.4995065
2017-09-04,0.999
2017-09-05,0.999
2017-09-06,1.7e-05
2017-09-07,1.417e-05
2017-09-08,0.49950717
2017-09-09,0.71833775
2017-09-10,1.55e-05
2017-09-11,1.3e-05
2017-09-12,0.55183783
2017-09-13,1.35e-05
2017-09-14,0.42450675
2017-09-15,0.21226175
2017-09-16,0.10626226
2017-09-17,0.53769878
2017-09-18,1.7e-05
2017-09-19,0.40327908
2017-09-20,0.4655065
2017-09-21,0.40561544
2017-09-22,0.40558311
2017-09-23,0.40558311
2017-09-24,0.60835556
2017-09-25,0.60845
2017-09-26,1.35e-05
2017-09-27,1.35e-05
2017-09-28,1.6e-05
2017-09-29,0.25001067
2017-09-30,0.30419283
2017-10-01,0.20277533
2017-10-02,0.108636
2017-10-03,0.14486183
2017-10-04,0.14486183
2017-10-05,0.21725725
2017-10-06,0.43453333
2017-10-07,0.4345045
2017-10-08,0.2172585
2017-10-09,0.28971117
2017-10-10,1.317e-05
2017-10-11,0.6
2017-10-12,0.6
2017-10-13,0.48
2017-10-14,0.0780137
2017-10-15,1.65e-05
2017-10-16,0.12827633
2017-10-17,1.6e-05
2017-10-18,0.3874
2017-10-19,0.3874
2017-10-20,0.13200917
2017-10-21,0.396
2017-10-22,0.396
2017-10-23,1.3e-05
2017-10-24,1.3e-05
2017-10-25,0.17001075
2017-10-26,1.375e-05
2017-10-27,1.6e-05
2017-10-28,1.6e-05
2017-10-29,1.7e-05
2017-10-30,1.417e-05
2017-10-31,2e-05
2017-11-01,2e-05
2017-11-02,0.10334317
2017-11-03,0.10334317
2017-11-04,1.35e-05
2017-11-05,1.3e-05
2017-11-06,1.3e-05
2017-11-07,0.63925926
2017-11-08,0.63925926
2017-11-09,0.31960159
2017-11-10,1.3e-05
2017-11-11,0.21534333
2017-11-12,1.325e-05
2017-11-13,1.488e-05
2017-11-14,1.375e-05
2017-11-15,1.417e-05
2017-11-16,0.16151075
2017-11-17,0.21307567
2017-11-18,0.16151075
2017-11-19,0.16151075
2017-11-20,0.15981013
2017-11-21,1.5e-05
2017-11-22,0.318786
2017-11-23,1.4e-05
2017-11-24,0.42000533
2017-11-25,1.3e-05
2017-11-26,0.188343
2017-11-27,1.8e-05
2017-11-28,1.35e-05
2017-11-29,1.513e-05
2017-11-30,0.21000883
2017-12-01,1.39e-05
2017-12-02,1.5e-05
2017-12-03,1.317e-05
2017-12-04,1.383e-05
2017-12-05,1.475e-05
2017-12-06,1.4e-05
2017-12-07,1.4e-05
2017-12-08,1.583e-05
2017-12-09,1.45e-05
2017-12-10,1.55e-05
2017-12-11,1.35e-05
2017-12-12,1.44e-05
2017-12-13,1.4e-05
2017-12-14,0.16317542
2017-12-15,0.21386543
2017-12-16,1.367e-05
2017-12-17,1.4e-05
2017-12-18,0.05545761
2017-12-19,0.1166765
2017-12-20,1.6e-05
2017-12-21,1.333e-05
2017-12-22,1.325e-05
2017-12-23,1.35e-05
2017-12-24,1.325e-05
2017-12-25,1.533e-05
2017-12-26,0.04126228
2017-12-27,1.473e-05
2017-12-28,1.442e-05
2017-12-29,0.08251038
2017-12-30,1.435e-05
2017-12-31,1.367e-05
2018-01-01,1.413e-05
2018-01-02,1.45e-05
2018-01-03,0.18857757
2018-01-04,1.3e-05
2018-01-05,1.4e-05
2018-01-06,1.374e-05
2018-01-07,1.55e-05
2018-01-08,0.08001018
2018-01-09,1.388e-05
2018-01-10,0.0400107
2018-01-11,1.3e-05
2018-01-12,1.325e-05
2018-01-13,1.443e-05
2018-01-14,0.05000988
2018-01-15,0.06667567
2018-01-16,0.03334475
2018-01-17,0.06000927
2018-01-18,0.02501193
2018-01-19,1.363e-05
2018-01-20,1.6e-05
2018-01-21,1.213e-05
2018-01-22,0.100007
2018-01-23,0.02223513
2018-01-24,0.100007
2018-01-25,1.5e-05
2018-01-26,1.436e-05
2018-01-27,0.02223367
2018-01-28,1.49e-05
2018-01-29,1.31e-05
2018-01-30,1.248e-05
2018-01-31,1.3e-05
2018-02-01,1.291e-05
2018-02-02,1.3e-05
2018-02-03,0.02572556
2018-02-04,0.05090232
2018-02-05,0.06001017
2018-02-06,1.3e-05
2018-02-07,1.433e-05
2018-02-08,1.443e-05
2018-02-09,1.368e-05
2018-02-10,1.45e-05
2018-02-11,1.31e-05
2018-02-12,1.334e-05
2018-02-13,1.373e-05
2018-02-14,0.0949565
2018-02-15,1.294e-05
2018-02-16,1.295e-05
2018-02-17,1.105e-05
2018-02-18,1.23e-05
2018-02-19,1.105e-05
2018-02-20,1.55e-05
2018-02-21,1.385e-05
2018-02-22,0.04501044
2018-02-23,1.339e-05
2018-02-24,1.271e-05
2018-02-25,1.333e-05
2018-02-26,1.5e-05
2018-02-27,1.255e-05
2018-02-28,0.06000978
2018-03-01,1.45e-05
2018-03-02,1.133e-05
2018-03-03,1.35e-05
2018-03-04,1.344e-05
2018-03-05,1.235e-05
2018-03-06,1.401e-05
2018-03-07,1.325e-05
2018-03-08,1.35e-05
2018-03-09,1.229e-05
2018-03-10,1.37e-05
2018-03-11,1.08e-05
2018-03-12,1.093e-05
2018-03-13,0.0214393
2018-03-14,0.0214393
2018-03-15,1.15e-05
2018-03-16,1.3e-05
2018-03-17,1.1e-05
2018-03-18,1.099e-05
2018-03-19,8.5e-06
2018-03-20,1.019e-05
2018-03-21,1.1e-05
2018-03-22,0.01667542
2018-03-23,1.075e-05
2018-03-24,0.07580463
2018-03-25,0.0600062
2018-03-26,9.5e-06
2018-03-27,0.1044
2018-03-28,0.05000628
2018-03-29,0.060006
2018-03-30,0.02500827
2018-03-31,0.075005
2018-04-01,0.050006
2018-04-02,0.0900037
2018-04-03,9e-06
2018-04-04,9.5e-06
2018-04-05,0.03750676
2018-04-06,0.0600057
2018-04-07,9.02e-06
2018-04-08,9.1e-06
2018-04-09,0.032482
2018-04-10,0.07995386
2018-04-11,0.0866027
2018-04-12,0.08043238
2018-04-13,9.5e-06
2018-04-14,0.03750701
2018-04-15,0.07423279
2018-04-16,9.18e-06
2018-04-17,0.02598702
2018-04-18,0.02165768
2018-04-19,0.0649545
2018-04-20,0.1299
2018-04-21,9.01e-06
2018-04-22,9.37e-06
2018-04-23,0.04330603
2018-04-24,9.39e-06
2018-04-25,0.0324814
2018-04-26,1e-05
2018-04-27,9e-06
2018-04-28,9.33e-06
2018-04-29,8.66e-06
2018-04-30,0.043307
2018-05-01,0.043307
2018-05-02,8.55e-06
2018-05-03,9e-06
2018-05-04,9e-06
2018-05-05,9.75e-06
2018-05-06,0.02663983
2018-05-07,8.1e-06
2018-05-08,0.0799
2018-05-09,9e-06
2018-05-10,9e-06
2018-05-11,0.0375075
2018-05-12,1.05e-05
2018-05-13,8.75e-06
2018-05-14,9e-06
2018-05-15,9.25e-06
2018-05-16,9.5e-06
2018-05-17,9e-06
