date,price
2017-03-29,1.18766667
2017-03-30,1.40793969
2017-03-31,1.4618704
2017-04-01,1.33017227
2017-04-02,1.36344267
2017-04-03,1.46462533
2017-04-04,1.29143645
2017-04-05,1.3848107
2017-04-06,1.33138356
2017-04-07,1.43667888
2017-04-08,1.29803728
2017-04-09,1.16530027
2017-04-10,1.36974588
2017-04-11,1.50247516
2017-04-12,1.19968571
2017-04-13,1.24133741
2017-04-14,1.25086097
2017-04-15,1.33700204
2017-04-16,1.13684857
2017-04-17,1.23616992
2017-04-18,1.13811261
2017-04-19,1.46973722
2017-04-20,1.27902737
2017-04-21,1.3304243
2017-04-22,1.23029284
2017-04-23,1.30200831
2017-04-24,1.14500881
2017-04-25,1.36435546
2017-04-26,1.35574385
2017-04-27,1.21456449
2017-04-28,1.24088848
2017-04-29,1.48236427
2017-04-30,1.17250316
2017-05-01,1.16930371
2017-05-02,1.36445674
2017-05-03,1.68117182
2017-05-04,1.39986757
2017-05-05,1.40905545
2017-05-06,1.80935607
2017-05-07,1.350889
2017-05-08,1.4744213
2017-05-09,1.20248622
2017-05-10,1.32342616
2017-05-11,1.18779359
2017-05-12,1.12100548
2017-05-13,1.49788515
2017-05-14,1.29378495
2017-05-15,0.78694291
2017-05-16,0.7412875
2017-05-17,1.31419
2017-05-18,1.34231625
2017-05-19,1.7531502
2017-05-20,1.52857391
2017-05-21,0.95875893
2017-05-22,1.35501976
2017-05-23,1.24117294
2017-05-24,1.48778122
2017-05-25,1.18038266
2017-05-26,1.28963191
2017-05-27,1.33156439
2017-05-28,1.05907395
2017-05-29,1.25903281
2017-05-30,1.67676511
2017-05-31,1.48801599
2017-06-01,1.39351907
2017-06-02,1.36475654
2017-06-03,1.43714007
2017-06-04,1.27819259
2017-06-05,1.22624533
2017-06-06,1.34640981
2017-06-07,0.91529895
2017-06-08,1.2781344
2017-06-09,1.37680718
2017-06-10,1.61976983
2017-06-11,1.43687936
2017-06-12,1.47914825
2017-06-13,1.3907528
2017-06-14,1.69035047
2017-06-15,1.27029915
2017-06-16,2.22309889
2017-06-17,2.16226348
2017-06-18,2.1748508
2017-06-19,2.81708542
2017-06-20,2.99883487
2017-06-21,2.71845182
2017-06-22,2.87579126
2017-06-23,3.09531671
2017-06-24,3.15597219
2017-06-25,3.82360112
2017-06-26,3.73315449
2017-06-27,3.35927395
2017-06-28,3.02528515
2017-06-29,3.02370697
2017-06-30,3.1523641
2017-07-01,2.90498951
2017-07-02,2.89275016
2017-07-03,2.83173099
2017-07-04,3.21034432
2017-07-05,3.14978468
2017-07-06,2.80826515
2017-07-07,2.86238269
2017-07-08,2.89409739
2017-07-09,3.43859522
2017-07-10,2.3999394
2017-07-11,2.8576366
2017-07-12,2.84153456
2017-07-13,2.44666096
2017-07-14,2.61794771
2017-07-15,2.22744148
2017-07-16,2.27959603
2017-07-17,3.05681811
2017-07-18,2.63340884
2017-07-19,2.35938063
2017-07-20,2.99832241
2017-07-21,2.61802453
2017-07-22,2.50732335
2017-07-23,2.70187742
2017-07-24,2.32549859
2017-07-25,2.51459111
2017-07-26,3.30310385
2017-07-27,2.36876804
2017-07-28,2.43824312
2017-07-29,2.45819497
2017-07-30,2.31006513
2017-07-31,2.4601048
2017-08-01,2.47809745
2017-08-02,2.06857752
2017-08-03,1.90838326
2017-08-04,2.39746183
2017-08-05,1.86768625
2017-08-06,2.45457384
2017-08-07,1.39167311
2017-08-08,2.09229976
2017-08-09,2.16639749
2017-08-10,1.79185146
2017-08-11,2.0718017
2017-08-12,1.50231154
2017-08-13,1.80180504
2017-08-14,2.19704189
2017-08-15,1.89899371
2017-08-16,1.79245262
2017-08-17,1.92168226
2017-08-18,1.74940911
2017-08-19,1.12354194
2017-08-20,1.42321357
2017-08-21,1.43199584
2017-08-22,0.99475
2017-08-23,1.41916801
2017-08-24,1.41132051
2017-08-25,1.53412716
2017-08-26,1.62017325
2017-08-27,1.27273203
2017-08-28,1.22886989
2017-08-29,1.1573377
2017-08-30,1.69917667
2017-08-31,2.14008579
2017-09-01,0.99523979
2017-09-02,1.18368176
2017-09-03,1.27168836
2017-09-04,1.23209454
2017-09-05,1.21176424
2017-09-06,0.90643617
2017-09-07,0.97487656
2017-09-08,0.88161071
2017-09-09,0.83370618
2017-09-10,0.82543215
2017-09-11,0.95384437
2017-09-12,0.83658937
2017-09-13,0.87896513
2017-09-14,1.17654425
2017-09-15,1.61188225
2017-09-16,1.21772458
2017-09-17,1.19867975
2017-09-18,0.96807446
2017-09-19,1.10643642
2017-09-20,0.95491212
2017-09-21,1.21626761
2017-09-22,0.98425856
2017-09-23,0.87372541
2017-09-24,0.74352453
2017-09-25,2.12089851
2017-09-26,1.19096563
2017-09-27,1.34816757
2017-09-28,0.80214932
2017-09-29,1.21181608
2017-09-30,1.47177102
2017-10-01,1.36765239
2017-10-02,1.29428325
2017-10-03,1.53524545
2017-10-04,2.01012764
2017-10-05,1.33548971
2017-10-06,1.67485526
2017-10-07,1.6159711
2017-10-08,1.53260448
2017-10-09,1.77647881
2017-10-10,1.69259203
2017-10-11,1.62266769
2017-10-12,2.60712594
2017-10-13,2.29888614
2017-10-14,1.95006642
2017-10-15,2.22222886
2017-10-16,1.82635347
2017-10-17,1.78753288
2017-10-18,1.50580336
2017-10-19,1.40530366
2017-10-20,1.81693972
2017-10-21,1.6078465
2017-10-22,1.24029945
2017-10-23,1.91083411
2017-10-24,1.50219718
2017-10-25,2.9392029
2017-10-26,1.74846657
2017-10-27,1.68486777
2017-10-28,1.82194169
2017-10-29,2.31210933
2017-10-30,2.16985821
2017-10-31,2.07078073
2017-11-01,2.47251209
2017-11-02,2.20549407
2017-11-03,2.23079453
2017-11-04,1.86822767
2017-11-05,3.31302894
2017-11-06,1.72267523
2017-11-07,2.49011304
2017-11-08,1.99104878
2017-11-09,2.98983438
2017-11-10,2.38909132
2017-11-11,1.6972775
2017-11-12,2.14755533
2017-11-13,3.16326578
2017-11-14,3.025655
2017-11-15,2.42817778
2017-11-16,1.9635873
2017-11-17,2.28303472
2017-11-18,2.74211111
2017-11-19,2.37715217
2017-11-20,3.01164137
2017-11-21,2.12135606
2017-11-22,1.92260426
2017-11-23,2.09417616
2017-11-24,1.91728857
2017-11-25,2.07323017
2017-11-26,1.94740757
2017-11-27,2.85826348
2017-11-28,2.24699074
2017-11-29,2.00796615
2017-11-30,2.34613321
2017-12-01,2.52560803
2017-12-02,2.34023445
2017-12-03,2.68771156
2017-12-04,2.03851852
2017-12-05,2.18557717
2017-12-06,2.18755758
2017-12-07,1.97412016
2017-12-08,2.22811479
2017-12-09,1.87352262
2017-12-10,2.16827262
2017-12-11,2.44966667
2017-12-12,1.69766138
2017-12-13,2.08507143
2017-12-14,1.90521329
2017-12-15,1.87266266
2017-12-16,1.89075788
2017-12-17,1.6878506
2017-12-18,1.8850961
2017-12-19,1.79295455
2017-12-20,1.82209179
2017-12-21,1.74441667
2017-12-22,1.67924835
2017-12-23,1.73551473
2017-12-24,1.58555128
2017-12-25,1.57527485
2017-12-26,2.12070521
2017-12-27,2.01939468
2017-12-28,2.21534444
2017-12-29,1.83297073
2017-12-30,1.71455233
2017-12-31,2.38880652
2018-01-01,1.89995747
2018-01-02,2.03781877
2018-01-03,2.00038577
2018-01-04,2.1650842
2018-01-05,2.16239413
2018-01-06,1.99269886
2018-01-07,2.36218765
2018-01-08,2.11343963
2018-01-09,2.38608165
2018-01-10,2.3234053
2018-01-11,2.22988889
2018-01-12,2.40338406
2018-01-13,2.427766
2018-01-14,2.60242759
2018-01-15,2.99836357
2018-01-16,2.3995
2018-01-17,2.47325146
2018-01-18,3.34633333
2018-01-19,2.82702177
2018-01-20,2.38921522
2018-01-21,2.54923812
2018-01-22,2.34848395
2018-01-23,2.78107267
2018-01-24,2.42188697
2018-01-25,2.56972222
2018-01-26,2.18008229
2018-01-27,2.45951749
2018-01-28,2.49999102
2018-01-29,2.29175
2018-01-30,3.11813753
2018-01-31,3.12720142
2018-02-01,3.91313593
2018-02-02,4.3601088
2018-02-03,4.04070399
2018-02-04,4.60850571
2018-02-05,4.4479012
2018-02-06,5.26523576
2018-02-07,4.59124206
2018-02-08,4.984209
2018-02-09,4.73976823
2018-02-10,5.22738889
2018-02-11,4.06055556
2018-02-12,4.42786667
2018-02-13,4.2305
2018-02-14,4.59536921
2018-02-15,4.72207728
2018-02-16,5.64616865
2018-02-17,4.35820526
2018-02-18,5.63331771
2018-02-19,5.39838687
2018-02-20,5.45703431
2018-02-21,5.47597076
2018-02-22,4.60284082
2018-02-23,4.24132026
2018-02-24,4.55397619
2018-02-25,3.88955556
2018-02-26,4.55707887
2018-02-27,3.83136836
2018-02-28,3.27245659
2018-03-01,3.53009009
2018-03-02,3.01204288
2018-03-03,3.1523428
2018-03-04,3.54989922
2018-03-05,3.68501935
2018-03-06,3.91615297
2018-03-07,3.2697351
2018-03-08,3.39865417
2018-03-09,3.05346559
2018-03-10,2.75091768
2018-03-11,2.62393835
2018-03-12,2.35211364
2018-03-13,2.46805873
2018-03-14,2.61972046
2018-03-15,2.69803784
2018-03-16,2.93539528
2018-03-17,2.8340351
2018-03-18,3.13238006
2018-03-19,3.48372256
2018-03-20,3.14204902
2018-03-21,4.56381197
2018-03-22,4.95549167
2018-03-23,4.37093611
2018-03-24,4.77704054
2018-03-25,4.41110938
2018-03-26,4.79960938
2018-03-27,5.881625
2018-03-28,6.03595502
2018-03-29,5.43604464
2018-03-30,5.207062
2018-03-31,6.32310636
2018-04-01,6.05378912
2018-04-02,5.23277778
2018-04-03,5.10715478
2018-04-04,5.07135079
2018-04-05,4.5905
2018-04-06,4.47161381
2018-04-07,3.40953125
2018-04-08,3.61810693
2018-04-09,3.43233833
2018-04-10,3.62161755
2018-04-11,4.07826087
2018-04-12,4.423392
2018-04-13,4.58739645
2018-04-14,4.51417637
2018-04-15,4.00590691
2018-04-16,4.09276093
2018-04-17,3.483228
2018-04-18,3.93616952
2018-04-19,4.13236324
2018-04-20,4.182
2018-04-21,3.72310281
2018-04-22,3.3293189
2018-04-23,3.04550496
2018-04-24,3.6202759
2018-04-25,3.68950855
2018-04-26,4.09146111
2018-04-27,3.33832549
2018-04-28,3.22697778
2018-04-29,2.72692982
2018-04-30,2.28152533
2018-05-01,2.32204033
2018-05-02,2.36695912
2018-05-03,2.52774762
2018-05-04,2.791247
2018-05-05,2.46422785
2018-05-06,2.59956041
2018-05-07,2.25097908
2018-05-08,2.15434655
2018-05-09,2.17440023
2018-05-10,1.85811877
2018-05-11,1.91066522
2018-05-12,1.88338421
2018-05-13,2.23945137
2018-05-14,2.45665483
2018-05-15,3.20083655
2018-05-16,2.53373278
2018-05-17,2.4658638
2018-05-18,2.00981674
2018-05-19,1.84663501
2018-05-20,1.973249
2018-05-21,1.86666667
2018-05-22,2.95230698
2018-05-23,3.48327145
2018-05-24,3.34851624
2018-05-25,3.00840861
2018-05-26,2.88300074
2018-05-27,2.52261345
2018-05-28,2.73881963
2018-05-29,3.04577647
2018-05-30,2.66095214
2018-05-31,2.41028899
2018-06-01,2.23029805
2018-06-02,2.16087984
2018-06-03,2.22176748
2018-06-04,2.73919614
2018-06-05,2.87669183
2018-06-06,2.21009483
2018-06-07,2.14202915
2018-06-08,2.22655361
2018-06-09,2.19109815
2018-06-10,2.04023172
2018-06-11,2.45567222
2018-06-12,2.67756481
2018-06-13,2.19130283
2018-06-14,2.12824872
2018-06-15,1.9409625
2018-06-16,2.02007054
2018-06-17,2.01915651
2018-06-18,2.36250616
2018-06-19,2.33966667
2018-06-20,1.93789474
2018-06-21,2.21878356
2018-06-22,2.0594697
2018-06-23,1.86775776
2018-06-24,2.10116731
2018-06-25,2.08721702
2018-06-26,2.39537821
2018-06-27,1.99695032
2018-06-28,2.15363533
2018-06-29,2.23861282
2018-06-30,2.2165763
2018-07-01,2.15199139
2018-07-02,2.00269643
2018-07-03,2.03659259
2018-07-04,2.22774097
2018-07-05,2.16918795
2018-07-06,2.31832272
2018-07-07,2.00809491
2018-07-08,2.15705517
2018-07-09,2.14502914
2018-07-10,2.16912618
2018-07-11,2.24946141
2018-07-12,2.2593683
2018-07-13,2.11206716
2018-07-14,1.98008492
2018-07-15,1.84163384
2018-07-16,1.68370281
2018-07-17,2.02728395
2018-07-18,2.00072112
2018-07-19,1.75451631
2018-07-20,1.82023889
2018-07-21,2.06877915
2018-07-22,1.8214966
2018-07-23,1.77463621
2018-07-24,1.87050151
2018-07-25,1.81583053
2018-07-26,1.94697742
2018-07-27,1.73919461
2018-07-28,1.81028759
2018-07-29,1.75818161
2018-07-30,1.77794919
2018-07-31,2.09381994
2018-08-01,1.72754804
2018-08-02,1.7154397
2018-08-03,1.66418485
2018-08-04,1.87084518
2018-08-05,1.7888359
2018-08-06,1.65556953
2018-08-07,1.76017374
2018-08-08,1.98096849
2018-08-09,1.75813022
2018-08-10,1.58947155
2018-08-11,1.57281469
2018-08-12,1.51566978
2018-08-13,1.73706644
2018-08-14,1.53028
2018-08-15,1.41687963
2018-08-16,1.55485869
2018-08-17,1.54884529
2018-08-18,1.60906212
2018-08-19,1.40264473
2018-08-20,2.10658092
2018-08-21,1.7463
2018-08-22,1.3529
2018-08-23,1.64065852
2018-08-24,1.79138752
2018-08-25,1.32516487
2018-08-26,1.66987918
2018-08-27,1.64291667
2018-08-28,1.70265775
2018-08-29,1.74658755
2018-08-30,1.56418636
2018-08-31,1.53874392
2018-09-01,1.61818864
2018-09-02,1.65345171
2018-09-03,1.47662387
2018-09-04,1.831966
2018-09-05,1.7488
2018-09-06,1.57145684
2018-09-07,1.60249588
2018-09-08,1.6773073
2018-09-09,1.63720166
2018-09-10,1.98745464
2018-09-11,1.84141895
2018-09-12,1.91769566
2018-09-13,1.84661004
2018-09-14,1.66657098
2018-09-15,1.85274473
2018-09-16,1.85951357
2018-09-17,1.8172
2018-09-18,2.52500135
2018-09-19,3.04579054
2018-09-20,3.02418889
2018-09-21,3.88717073
2018-09-22,3.48939443
2018-09-23,3.90064646
2018-09-24,3.97326336
2018-09-25,4.00424521
2018-09-26,3.89873209
2018-09-27,3.5742648
2018-09-28,3.01937008
2018-09-29,2.90280953
2018-09-30,2.62038169
2018-10-01,3.14620132
2018-10-02,3.34671694
2018-10-03,3.03794943
2018-10-04,2.89584517
2018-10-05,2.37374523
2018-10-06,2.4217403
2018-10-07,2.17563832
2018-10-08,2.22900386
2018-10-09,2.48990407
2018-10-10,2.58415385
2018-10-11,2.30260137
2018-10-12,2.08655926
2018-10-13,2.0563299
2018-10-14,1.98172526
2018-10-15,2.17002632
2018-10-16,2.33608259
2018-10-17,2.20068661
2018-10-18,2.15947492
2018-10-19,2.28238037
2018-10-20,2.01944637
2018-10-21,1.81957022
2018-10-22,1.80379961
2018-10-23,1.81285161
2018-10-24,1.73989189
2018-10-25,1.74202376
2018-10-26,1.75064151
2018-10-27,1.62957678
2018-10-28,1.46629746
2018-10-29,1.55594
2018-10-30,1.60550129
2018-10-31,1.56181659
2018-11-01,1.29540977
2018-11-02,1.40108912
2018-11-03,1.37432758
2018-11-04,1.41344823
2018-11-05,1.37229721
2018-11-06,1.64249226
2018-11-07,1.9573308
2018-11-08,1.93113651
2018-11-09,1.87379514
2018-11-10,2.05232779
2018-11-11,2.09035364
2018-11-12,2.3531941
2018-11-13,2.4590084
2018-11-14,2.1078125
2018-11-15,2.01479824
2018-11-16,1.83939964
2018-11-17,1.90449265
2018-11-18,1.88280679
2018-11-19,2.19182475
2018-11-20,2.06857531
2018-11-21,1.93601789
2018-11-22,1.68407863
2018-11-23,1.79792761
2018-11-24,1.80935714
2018-11-25,1.75745116
2018-11-26,2.01839955
2018-11-27,2.08801182
2018-11-28,1.80471429
2018-11-29,1.8469321
2018-11-30,2.07567586
2018-12-01,1.95543678
2018-12-02,1.67020968
2018-12-03,1.857508
2018-12-04,1.88307479
2018-12-05,1.82721776
2018-12-06,2.01718871
2018-12-07,1.67315909
2018-12-08,1.6781083
2018-12-09,1.5336498
2018-12-10,1.76870202
2018-12-11,1.42571429
2018-12-12,1.7174328
2018-12-13,1.54203232
2018-12-14,1.52816043
2018-12-15,1.51553176
2018-12-16,1.63950669
2018-12-17,1.61478419
2018-12-18,1.72182362
2018-12-19,1.64635584
2018-12-20,1.51336954
2018-12-21,1.62002639
2018-12-22,1.55544894
2018-12-23,1.77397827
2018-12-24,1.59974196
2018-12-25,1.5516609
2018-12-26,1.46515828
2018-12-27,1.82957993
2018-12-28,1.70369493
2018-12-29,1.8429493
2018-12-30,1.88848727
2018-12-31,2.35920574
2019-01-01,1.99801029
2019-01-02,1.83717993
2019-01-03,1.80760794
2019-01-04,1.89364369
2019-01-05,1.99922635
2019-01-06,1.75249623
2019-01-07,1.83333333
2019-01-08,2.39193726
2019-01-09,2.59643102
2019-01-10,2.35394974
2019-01-11,2.40878613
2019-01-12,2.2759619
2019-01-13,2.41907808
2019-01-14,2.45668641
2019-01-15,2.26929524
2019-01-16,2.19550691
2019-01-17,1.87851038
2019-01-18,1.76135892
2019-01-19,1.7705949
2019-01-20,1.79158691
2019-01-21,1.96360837
2019-01-22,2.28147401
2019-01-23,1.8387344
2019-01-24,1.78113473
2019-01-25,1.75165476
2019-01-26,1.87190712
2019-01-27,1.73477505
2019-01-28,1.92543866
2019-01-29,2.03630225
2019-01-30,1.90570107
2019-01-31,2.05455424
2019-02-01,1.93824374
2019-02-02,1.88291998
2019-02-03,2.03092479
2019-02-04,2.27650026
2019-02-05,2.26975
2019-02-06,2.51799755
2019-02-07,2.18627998
2019-02-08,2.33224603
2019-02-09,2.35859319
2019-02-10,2.3449907
2019-02-11,2.10026778
2019-02-12,2.44432092
2019-02-13,2.29459403
2019-02-14,2.29845003
2019-02-15,2.22498138
2019-02-16,2.53037702
2019-02-17,2.28074303
