date,price
2021-09-23,0.16
2021-09-24,0.16
2021-09-25,0.16
2021-09-26,0.14
2021-09-27,0.146
2021-09-28,0.13875
2021-09-29,0.14411429
2021-09-30,0.12562857
2021-10-01,0.10805
2021-10-02,0.09623
2021-10-03,0.09768889
2021-10-04,0.1024963
2021-10-05,0.09351057
2021-10-06,0.09252
2021-10-07,0.10732727
2021-10-08,0.09476364
2021-10-09,0.09322308
2021-10-10,0.08955
2021-10-11,0.09406353
2021-10-12,0.11534
2021-10-13,0.09332727
2021-10-14,0.09919001
2021-10-15,0.10584545
2021-10-16,0.09542
2021-10-17,0.0944375
2021-10-18,0.0921492
2021-10-19,0.0966
2021-10-20,0.09076667
2021-10-21,0.08967273
2021-10-22,0.094
2021-10-23,0.09174
2021-10-24,0.0834375
2021-10-25,0.0837625
2021-10-26,0.08136667
2021-10-27,0.07426667
2021-10-28,0.08773853
2021-10-29,0.09872
2021-10-30,0.0966
2021-10-31,0.107855
2021-11-01,0.0864
2021-11-02,0.09659872
2021-11-03,0.09815
2021-11-04,0.09198571
2021-11-05,0.09433333
2021-11-06,0.09343333
2021-11-07,0.0949
2021-11-08,0.08251111
2021-11-09,0.0914
2021-11-10,0.08788
2021-11-11,0.08179375
2021-11-12,0.08836923
2021-11-13,0.09247778
2021-11-14,0.09087778
2021-11-15,0.08713333
2021-11-16,0.09643519
2021-11-17,0.09623333
2021-11-18,0.0799
2021-11-19,0.087
2021-11-20,0.08173636
2021-11-21,0.07525333
2021-11-22,0.08636667
2021-11-23,0.08561429
