date,price
2012-12-12,1.535
2012-12-13,1.786
2012-12-14,1.942
2012-12-15,2.027
2012-12-16,2.037
2012-12-17,2.065
2012-12-18,2.093
2012-12-19,2.091
2012-12-20,2.059
2012-12-21,1.905
2012-12-22,1.91
2012-12-23,1.925
2012-12-24,1.883
2012-12-25,2.043
2012-12-26,2.168
2012-12-27,2.161
2012-12-28,2.087
2012-12-29,2.135
2012-12-30,2.013
2012-12-31,1.931
2013-01-01,2.016
2013-01-02,2.085
2013-01-03,2.124
2013-01-04,2.106
2013-01-05,2.164
2013-01-06,2.114
2013-01-07,2.125
2013-01-08,2.307
2013-01-09,2.371
2013-01-10,2.355
2013-01-11,2.453
2013-01-12,2.443
2013-01-13,2.449
2013-01-14,2.417
2013-01-15,2.414
2013-01-16,2.408
2013-01-17,2.443
2013-01-18,2.409
2013-01-19,2.433
2013-01-20,2.431
2013-01-21,2.427
2013-01-22,2.416
2013-01-23,2.353
2013-01-24,2.346
2013-01-25,2.297
2013-01-26,2.336
2013-01-27,2.305
2013-01-28,2.268
2013-01-29,2.334
2013-01-30,2.368
2013-01-31,2.375
2013-02-01,2.369
2013-02-02,2.446
2013-02-03,2.465
2013-02-04,2.404
2013-02-05,2.401
2013-02-06,2.379
2013-02-07,2.315
2013-02-08,2.238
2013-02-09,2.279
2013-02-10,2.316
2013-02-11,2.308
2013-02-12,2.325
2013-02-13,2.33
2013-02-14,2.309
2013-02-15,2.32
2013-02-16,2.334
2013-02-17,2.351
2013-02-18,2.328
2013-02-19,2.266
2013-02-20,2.195
2013-02-21,2.197
2013-02-22,2.248
2013-02-23,2.242
2013-02-24,2.245
2013-02-25,2.251
2013-02-26,2.254
2013-02-27,2.237
2013-02-28,2.235
2013-03-01,2.188
2013-03-02,2.228
2013-03-03,2.239
2013-03-04,2.237
2013-03-05,2.218
2013-03-06,2.187
2013-03-07,2.201
2013-03-08,2.15
2013-03-09,2.196
2013-03-10,2.224
2013-03-11,2.209
2013-03-12,2.182
2013-03-13,2.202
2013-03-14,2.203
2013-03-15,2.255
2013-03-16,2.287
2013-03-17,2.21
2013-03-18,2.136
2013-03-19,2.156
2013-03-20,2.187
2013-03-21,2.175
2013-03-22,2.223
2013-03-23,2.259
2013-03-24,2.284
2013-03-25,2.224
2013-03-26,2.198
2013-03-27,2.223
2013-03-28,2.222
2013-03-29,2.135
2013-03-30,2.157
2013-03-31,2.169
2013-04-01,2.188
2013-04-02,2.247
2013-04-03,2.262
2013-04-04,2.27
2013-04-05,2.296
2013-04-06,2.247
2013-04-07,2.308
2013-04-08,2.351
2013-04-09,2.303
2013-04-10,2.266
2013-04-11,2.288
2013-04-12,2.344
2013-04-13,2.401
2013-04-14,2.428
2013-04-15,2.434
2013-04-16,2.445
2013-04-17,2.445
2013-04-18,2.418
2013-04-19,2.4
2013-04-20,2.434
2013-04-21,2.418
2013-04-22,2.423
2013-04-23,2.416
2013-04-24,2.41
2013-04-25,2.388
2013-04-26,2.386
2013-04-27,2.413
2013-04-28,2.403
2013-04-29,2.394
2013-04-30,2.438
2013-05-01,2.464
2013-05-02,2.439
2013-05-03,2.42
2013-05-04,2.45
2013-05-05,2.467
2013-05-06,2.469
2013-05-07,2.44
2013-05-08,2.385
2013-05-09,2.381
2013-05-10,2.383
2013-05-11,2.426
2013-05-12,2.414
2013-05-13,2.402
2013-05-14,2.411
2013-05-15,2.377
2013-05-16,2.323
2013-05-17,2.166
