date,price
2021-08-26,0.088
2021-08-27,0.088
2021-08-28,0.08
2021-08-29,0.08
2021-08-30,0.08
2021-08-31,0.077
2021-09-01,0.071
2021-09-02,0.071
2021-09-03,0.065
2021-09-04,0.065
2021-09-05,0.065
2021-09-06,0.07
2021-09-07,0.07
2021-09-08,0.06
2021-09-09,0.06
2021-09-10,0.06
2021-09-11,0.06
2021-09-12,0.06
2021-09-13,0.08
2021-09-14,0.08
2021-09-15,0.08
2021-09-16,0.08
2021-09-17,0.08
2021-09-18,0.056
2021-09-19,0.056
2021-09-20,0.056
2021-09-21,0.056
2021-09-22,0.056
2021-09-23,0.0864
2021-09-24,0.0864
2021-09-25,0.15
2021-09-26,0.15
2021-09-27,0.15
2021-09-28,0.15
2021-09-29,0.13437143
2021-09-30,0.13437143
2021-10-01,0.15
2021-10-02,0.15
2021-10-03,0.15
2021-10-04,0.15
2021-10-05,0.15
2021-10-06,0.104725
2021-10-07,0.08633333
2021-10-08,0.08633333
2021-10-09,0.08633333
2021-10-10,0.08633333
2021-10-11,0.08633333
2021-10-12,0.08633333
2021-10-13,0.08633333
2021-10-14,0.08633333
2021-10-15,0.08633333
2021-10-16,0.08633333
2021-10-17,0.08633333
2021-10-18,0.08633333
2021-10-19,0.08633333
2021-10-20,0.08633333
2021-10-21,0.08633333
2021-10-22,0.07
2021-10-23,0.07
2021-10-24,0.07
2021-10-25,0.07
2021-10-26,0.07
2021-10-27,0.07
2021-10-28,0.07
2021-10-29,0.07
2021-10-30,0.07
2021-10-31,0.07
2021-11-01,0.07
2021-11-02,0.07
2021-11-03,0.07
2021-11-04,0.07
2021-11-05,0.07
2021-11-06,0.07
2021-11-07,0.07
2021-11-08,0.07
2021-11-09,0.07
2021-11-10,0.07
2021-11-11,0.07
2021-11-12,0.07
2021-11-13,0.07
2021-11-14,0.07
2021-11-15,0.07
2021-11-16,0.07
2021-11-17,0.07
2021-11-18,0.07
2021-11-19,0.07
2021-11-20,0.07
2021-11-21,0.07
2021-11-22,0.07
2021-11-23,0.07
2021-11-24,0.0525
2021-11-25,0.0525
