date,price
2019-09-28,0.12
2019-09-29,0.12
2019-09-30,0.12
2019-10-01,0.12
2019-10-02,0.12
2019-10-03,0.12
2019-10-04,0.12
2019-10-05,0.14
2019-10-06,0.14
2019-10-07,0.14
2019-10-08,0.14
2019-10-09,0.14
2019-10-10,0.14
2019-10-11,0.1386
2019-10-12,0.1386
2019-10-13,0.1386
2019-10-14,0.1386
2019-10-15,0.1386
2019-10-16,0.1386
2019-10-17,0.1386
2019-10-18,0.1386
2019-10-19,0.1386
2019-10-20,0.1386
2019-10-21,0.1386
2019-10-22,0.1386
2019-10-23,0.14
2019-10-24,0.14
2019-10-25,0.14
2019-10-26,0.1386
2019-10-27,0.1386
2019-10-28,0.11
2019-10-29,0.1815
2019-10-30,0.1815
2019-10-31,0.17233333
2019-11-01,0.17233333
2019-11-02,0.17233333
2019-11-03,0.035
2019-11-04,0.11
2019-11-05,0.11
2019-11-06,0.11
2019-11-07,0.14166667
2019-11-08,0.14166667
2019-11-09,0.16317949
2019-11-10,0.16317949
2019-11-11,0.16317949
2019-11-12,0.16317949
2019-11-13,0.10890667
2019-11-14,0.18155556
2019-11-15,0.1452
2019-11-16,0.1452
2019-11-17,0.1452
2019-11-18,0.1452
2019-11-19,0.1452
2019-11-20,0.1452
2019-11-21,0.1452
2019-11-22,0.1452
2019-11-23,0.1452
2019-11-24,0.1452
2019-11-25,0.1452
2019-11-26,0.098
2019-11-27,0.12958333
2019-11-28,0.12958333
2019-11-29,0.098
2019-11-30,0.098
2019-12-01,0.098
2019-12-02,0.095
2019-12-03,0.0965
2019-12-04,0.0965
2019-12-05,0.0965
2019-12-06,0.098
2019-12-07,0.098
2019-12-08,0.098
2019-12-09,0.098
2019-12-10,0.098
2019-12-11,0.098
2019-12-12,0.098
2019-12-13,0.035
2019-12-14,0.035
2019-12-15,0.035
2019-12-16,0.035
2019-12-17,0.035
2019-12-18,0.035
2019-12-19,0.035
2019-12-20,0.035
2019-12-21,0.035
2019-12-22,0.035
2019-12-23,0.035
2019-12-24,0.035
2019-12-25,0.095
2019-12-26,0.099
2019-12-27,0.099
2019-12-28,0.099
2019-12-29,0.099
2019-12-30,0.099
2019-12-31,0.099
2020-01-01,0.099
2020-01-02,0.099
2020-01-03,0.099
2020-01-04,0.099
2020-01-05,0.099
2020-01-06,0.099
2020-01-07,0.099
2020-01-08,0.06
2020-01-09,0.06
2020-01-10,0.0799
2020-01-11,0.0799
2020-01-12,0.0799
2020-01-13,0.0799
2020-01-14,0.085
2020-01-15,0.07125
2020-01-16,0.075
2020-01-17,0.075
2020-01-18,0.075
2020-01-19,0.125
2020-01-20,0.075
2020-01-21,0.1
2020-01-22,0.1
2020-01-23,0.1
2020-01-24,0.075
2020-01-25,0.075
2020-01-26,0.09025
2020-01-27,0.09025
2020-01-28,0.09025
2020-01-29,0.095
2020-01-30,0.10925
2020-01-31,0.10925
2020-02-01,0.10925
2020-02-02,0.10925
2020-02-03,0.10925
2020-02-04,0.10925
2020-02-05,0.095
2020-02-06,0.095
2020-02-07,0.095
2020-02-08,0.11833333
2020-02-09,0.13
2020-02-10,0.13
2020-02-11,0.095
2020-02-12,0.095
2020-02-13,0.095
2020-02-14,0.095
2020-02-15,0.095
2020-02-16,0.095
2020-02-17,0.118
2020-02-18,0.125
2020-02-19,0.125
2020-02-20,0.125
2020-02-21,0.13
2020-02-22,0.13
2020-02-23,0.13
2020-02-24,0.13
2020-02-25,0.13
2020-02-26,0.13
2020-02-27,0.13
2020-02-28,0.13
2020-02-29,0.13
2020-03-01,0.11
2020-03-02,0.11
2020-03-03,0.083
2020-03-04,0.083
2020-03-05,0.083
2020-03-06,0.083
2020-03-07,0.083
2020-03-08,0.083
2020-03-09,0.13
2020-03-10,0.13
2020-03-11,0.13
2020-03-12,0.13
2020-03-13,0.13
2020-03-14,0.13
2020-03-15,0.13
2020-03-16,0.13
2020-03-17,0.13
2020-03-18,0.14
2020-03-19,0.14
2020-03-20,0.14
2020-03-21,0.14
2020-03-22,0.18183333
2020-03-23,0.19
2020-03-24,0.0275
2020-03-25,0.15
2020-03-26,0.265
2020-03-27,0.265
2020-03-28,0.265
2020-03-29,0.1
2020-03-30,0.1
2020-03-31,0.16
2020-04-01,0.205
2020-04-02,0.205
2020-04-03,0.15953
2020-04-04,0.1645
2020-04-05,0.18905
2020-04-06,0.19403333
2020-04-07,0.19403333
2020-04-08,0.199
2020-04-09,0.18906667
2020-04-10,0.18906667
2020-04-11,0.18906667
2020-04-12,0.18906667
2020-04-13,0.18906667
2020-04-14,0.18906667
2020-04-15,0.12408163
2020-04-16,0.11
2020-04-17,0.12
2020-04-18,0.12
2020-04-19,0.132
2020-04-20,0.14
2020-04-21,0.14
2020-04-22,0.13
2020-04-23,0.11
2020-04-24,0.15
2020-04-25,0.12178571
2020-04-26,0.135
2020-04-27,0.0515
2020-04-28,0.13
2020-04-29,0.13
2020-04-30,0.145
2020-05-01,0.125
2020-05-02,0.14813
2020-05-03,0.125825
2020-05-04,0.15
2020-05-05,0.16
2020-05-06,0.10033333
2020-05-07,0.1
2020-05-08,0.125
2020-05-09,0.09666667
2020-05-10,0.14116883
2020-05-11,0.085
2020-05-12,0.12357143
2020-05-13,0.155
2020-05-14,0.0975
2020-05-15,0.08666667
2020-05-16,0.14166667
2020-05-17,0.1
2020-05-18,0.118
2020-05-19,0.125
2020-05-20,0.14145238
2020-05-21,0.13333333
2020-05-22,0.1304
2020-05-23,0.115
2020-05-24,0.1225
2020-05-25,0.13993333
2020-05-26,0.125
2020-05-27,0.09
2020-05-28,0.115525
2020-05-29,0.11995
2020-05-30,0.17
2020-05-31,0.1475
2020-06-01,0.13533333
2020-06-02,0.09375
2020-06-03,0.085
2020-06-04,0.08725
2020-06-05,0.10553333
2020-06-06,0.1674
2020-06-07,0.1674
2020-06-08,0.075
2020-06-09,0.1108
2020-06-10,0.0762
2020-06-11,0.075175
2020-06-12,0.07313
2020-06-13,0.08
2020-06-14,0.1142
2020-06-15,0.09
2020-06-16,0.07894182
2020-06-17,0.1499
2020-06-18,0.08306
2020-06-19,0.079
2020-06-20,0.10296667
2020-06-21,0.15
2020-06-22,0.075
2020-06-23,0.08571429
2020-06-24,0.08571429
2020-06-25,0.0974
2020-06-26,0.08203125
2020-06-27,0.08203125
2020-06-28,0.075
2020-06-29,0.075
2020-06-30,0.075
2020-07-01,0.075
2020-07-02,0.0725
2020-07-03,0.065
2020-07-04,0.065
2020-07-05,0.065
2020-07-06,0.065
2020-07-07,0.056125
2020-07-08,0.085
2020-07-09,0.05625
2020-07-10,0.07296
2020-07-11,0.06745
2020-07-12,0.0799
2020-07-13,0.06766667
2020-07-14,0.06766667
2020-07-15,0.06766667
2020-07-16,0.06766667
2020-07-17,0.06766667
2020-07-18,0.08
2020-07-19,0.08
2020-07-20,0.06925
2020-07-21,0.05995
2020-07-22,0.05881429
2020-07-23,0.0661
2020-07-24,0.0699
2020-07-25,0.07297333
2020-07-26,0.06708571
2020-07-27,0.09038
2020-07-28,0.08485
2020-07-29,0.08485
2020-07-30,0.05
2020-07-31,0.06911667
2020-08-01,0.0799
2020-08-02,0.0835
2020-08-03,0.09666667
2020-08-04,0.0725
2020-08-05,0.05
2020-08-06,0.05
2020-08-07,0.05
2020-08-08,0.091
2020-08-09,0.075
2020-08-10,0.075
2020-08-11,0.08
2020-08-12,0.08
2020-08-13,0.08
2020-08-14,0.08
2020-08-15,0.07
2020-08-16,0.07
