date,price
2020-04-29,3.795
2020-04-30,3.795
2020-05-01,3.697
2020-05-02,3.795
2020-05-03,3.795
2020-05-04,3.796
2020-05-05,3.465
2020-05-06,3.465
2020-05-07,3.465
2020-05-08,2.7
2020-05-09,3.46555556
2020-05-10,3.46555556
2020-05-11,3.465
2020-05-12,3.46533333
2020-05-13,2.7
2020-05-14,2.7
2020-05-15,2.7
2020-05-16,3.465
2020-05-17,3.465
2020-05-18,3.465
2020-05-19,3.465
2020-05-20,3.465
2020-05-21,2.9825
2020-05-22,2.9825
2020-05-23,2.9825
2020-05-24,2.9825
2020-05-25,2.9825
2020-05-26,2.9825
2020-05-27,3.0275
2020-05-28,3.48833333
2020-05-29,4.28
2020-05-30,4.01818182
2020-05-31,4.685
2020-06-01,5.0
2020-06-02,4.91666667
2020-06-03,4.65
2020-06-04,4.26377778
2020-06-05,4.23205882
2020-06-06,3.88
2020-06-07,3.898
2020-06-08,4.09764706
2020-06-09,3.95222222
2020-06-10,3.87846154
2020-06-11,3.75591667
2020-06-12,3.2988
2020-06-13,3.53041667
2020-06-14,3.55627667
2020-06-15,3.31583333
2020-06-16,3.156
2020-06-17,2.93975
2020-06-18,2.99986667
2020-06-19,3.05098077
2020-06-20,2.97589506
2020-06-21,3.019
2020-06-22,2.87395041
2020-06-23,3.12857143
2020-06-24,2.8165
2020-06-25,3.2475
2020-06-26,2.231875
2020-06-27,2.04310938
2020-06-28,2.14188889
2020-06-29,1.84786278
2020-06-30,1.8398575
2020-07-01,1.69884695
2020-07-02,2.09397685
2020-07-03,1.85808333
2020-07-04,1.780025
2020-07-05,1.66659259
2020-07-06,1.67025
2020-07-07,1.66534394
2020-07-08,1.6109537
2020-07-09,1.65558333
2020-07-10,1.43587083
2020-07-11,1.81444444
2020-07-12,1.76740741
2020-07-13,1.894
2020-07-14,1.47991111
2020-07-15,1.31303333
2020-07-16,1.2121
2020-07-17,1.4196
2020-07-18,1.4196
2020-07-19,1.6533
2020-07-20,1.6533
2020-07-21,1.6533
