date,price
2021-06-09,45.0
2021-06-10,45.0
2021-06-11,100.0
2021-06-12,100.0
2021-06-13,53.2
2021-06-14,41.5
2021-06-15,39.70142857
2021-06-16,36.0
2021-06-17,23.823125
2021-06-18,20.525
2021-06-19,19.342
2021-06-20,19.51714286
2021-06-21,17.651875
2021-06-22,15.50366667
2021-06-23,14.62467347
2021-06-24,14.15583333
2021-06-25,14.07538776
2021-06-26,13.98694444
2021-06-27,14.35815344
2021-06-28,14.00505952
2021-06-29,13.22369048
2021-06-30,14.46
2021-07-01,12.62645833
2021-07-02,12.4302
2021-07-03,13.95425
2021-07-04,12.9965
2021-07-05,12.86916667
2021-07-06,12.825
2021-07-07,14.035
2021-07-08,12.0825
2021-07-09,11.77759091
2021-07-10,9.75
2021-07-11,9.75
2021-07-12,10.902
2021-07-13,8.9
2021-07-14,7.5
2021-07-15,10.327
2021-07-16,7.03777778
2021-07-17,5.91
2021-07-18,5.3625
2021-07-19,5.375
2021-07-20,5.375
2021-07-21,4.75
2021-07-22,4.75
2021-07-23,5.4
2021-07-24,4.1725
2021-07-25,4.1725
2021-07-26,4.1725
2021-07-27,4.819
2021-07-28,4.819
2021-07-29,4.922
2021-07-30,4.525
2021-07-31,4.0
2021-08-01,3.45
2021-08-02,3.3
2021-08-03,3.3
2021-08-04,3.3
2021-08-05,3.2
2021-08-06,3.2
2021-08-07,3.1840625
2021-08-08,3.17266667
2021-08-09,3.17266667
2021-08-10,3.15
2021-08-11,3.15
2021-08-12,3.15
2021-08-13,3.05625
2021-08-14,2.95
2021-08-15,2.95
2021-08-16,3.059
2021-08-17,2.95
2021-08-18,2.9
2021-08-19,2.9
2021-08-20,2.8275
2021-08-21,3.13591667
2021-08-22,3.13591667
2021-08-23,3.13591667
2021-08-24,3.05
2021-08-25,3.05
2021-08-26,3.05
2021-08-27,2.9
2021-08-28,3.168
2021-08-29,3.168
2021-08-30,3.168
2021-08-31,3.16833333
2021-09-01,3.0505
2021-09-02,3.136
2021-09-03,3.136
2021-09-04,3.136
2021-09-05,3.136
2021-09-06,2.425
2021-09-07,2.425
2021-09-08,2.425
2021-09-09,2.425
2021-09-10,2.425
2021-09-11,2.425
2021-09-12,2.425
2021-09-13,2.75
2021-09-14,2.75
2021-09-15,2.75
2021-09-16,2.75
2021-09-17,2.75
2021-09-18,2.75
2021-09-19,2.75
2021-09-20,2.75
2021-09-21,2.75
2021-09-22,2.75
2021-09-23,2.75
2021-09-24,2.75
2021-09-25,2.75
2021-09-26,2.75
2021-09-27,2.75
2021-09-28,2.75
2021-09-29,2.75
2021-09-30,2.75
2021-10-01,2.75
2021-10-02,2.75
2021-10-03,2.75
2021-10-04,2.75
2021-10-05,2.75
2021-10-06,2.75
2021-10-07,2.75
2021-10-08,2.75
2021-10-09,2.75
2021-10-10,1.59
2021-10-11,1.59
2021-10-12,1.59
2021-10-13,1.59
2021-10-14,1.59
2021-10-15,1.59
2021-10-16,1.59
2021-10-17,1.59
2021-10-18,1.4
2021-10-19,1.4
2021-10-20,1.4
2021-10-21,1.4
2021-10-22,1.39
2021-10-23,1.39
2021-10-24,1.39
2021-10-25,1.39
2021-10-26,1.39
2021-10-27,1.39
2021-10-28,1.39
2021-10-29,1.39
2021-10-30,1.39
2021-10-31,1.37616667
2021-11-01,1.37616667
2021-11-02,1.37616667
2021-11-03,1.37616667
2021-11-04,1.37616667
2021-11-05,1.37616667
2021-11-06,1.37616667
2021-11-07,1.37616667
2021-11-08,1.37616667
2021-11-09,1.37616667
2021-11-10,11.0
2021-11-11,6.0
2021-11-12,6.0
2021-11-13,6.0
2021-11-14,1.39
2021-11-15,1.39
2021-11-16,11.0
2021-11-17,1.39
2021-11-18,1.39
2021-11-19,1.39
2021-11-20,1.39
2021-11-21,1.39
2021-11-22,1.39
2021-11-23,1.39
2021-11-24,1.39
2021-11-25,1.39
