date,price
2017-07-15,10.0
2017-07-16,10.0
2017-07-17,10.0
2017-07-18,10.0
2017-07-19,10.0
2017-07-20,10.0
2017-07-21,10.0
2017-07-22,10.0
2017-07-23,10.0
2017-07-24,10.0
2017-07-25,10.0
2017-07-26,10.0
2017-07-27,10.0
2017-07-28,10.0
2017-07-29,10.0
2017-07-30,10.0
2017-07-31,10.0
2017-08-01,10.0
2017-08-02,10.0
2017-08-03,10.0
2017-08-04,10.0
2017-08-05,10.0
2017-08-06,10.0
2017-08-07,10.0
2017-08-08,10.0
2017-08-09,10.0
2017-08-10,10.0
2017-08-11,10.0
2017-08-12,10.0
2017-08-13,10.0
2017-08-14,10.0
2017-08-15,10.0
2017-08-16,10.0
2017-08-17,10.0
2017-08-18,10.0
2017-08-19,10.0
2017-08-20,10.0
2017-08-21,10.0
2017-08-22,10.0
2017-08-23,10.0
2017-08-24,10.0
2017-08-25,10.0
2017-08-26,10.0
2017-08-27,10.0
2017-08-28,10.0
2017-08-29,10.0
2017-08-30,10.0
2017-08-31,10.0
2017-09-01,10.0
2017-09-02,10.0
2017-09-03,10.0
2017-09-04,10.0
2017-09-05,10.0
2017-09-06,10.0
2017-09-07,10.0
2017-09-08,10.0
2017-09-09,10.0
2017-09-10,10.0
2017-09-11,10.0
2017-09-12,10.0
2017-09-13,10.0
2017-09-14,10.0
2017-09-15,10.0
2017-09-16,10.0
2017-09-17,10.0
2017-09-18,10.0
2017-09-19,10.0
2017-09-20,10.0
2017-09-21,10.0
2017-09-22,10.0
2017-09-23,10.0
2017-09-24,10.0
2017-09-25,10.0
2017-09-26,10.0
2017-09-27,10.0
2017-09-28,10.0
2017-09-29,10.0
2017-09-30,10.0
2017-10-01,10.0
2017-10-02,10.0
2017-10-03,10.0
2017-10-04,10.0
2017-10-05,10.0
2017-10-06,10.0
2017-10-07,10.0
2017-10-08,10.0
2017-10-09,10.0
2017-10-10,10.0
2017-10-11,10.0
2017-10-12,10.0
2017-10-13,10.0
2017-10-14,10.0
2017-10-15,10.0
2017-10-16,10.0
2017-10-17,10.0
2017-10-18,10.0
2017-10-19,10.0
2017-10-20,10.0
2017-10-21,10.0
2017-10-22,10.0
2017-10-23,10.0
2017-10-24,10.0
2017-10-25,10.0
2017-10-26,10.0
2017-10-27,10.0
2017-10-28,10.0
2017-10-29,10.0
2017-10-30,10.0
2017-10-31,10.0
2017-11-01,10.0
2017-11-02,10.0
2017-11-03,10.0
2017-11-04,10.0
2017-11-05,10.0
2017-11-06,10.0
2017-11-07,10.0
2017-11-08,10.0
2017-11-09,10.0
2017-11-10,10.0
2017-11-11,10.0
2017-11-12,10.0
2017-11-13,10.0
2017-11-14,10.0
2017-11-15,10.0
2017-11-16,10.0
2017-11-17,10.0
2017-11-18,10.0
2017-11-19,10.0
2017-11-20,10.0
2017-11-21,10.0
2017-11-22,10.0
2017-11-23,10.0
2017-11-24,10.0
2017-11-25,10.0
2017-11-26,10.0
2017-11-27,10.0
2017-11-28,10.0
2017-11-29,10.0
2017-11-30,10.0
2017-12-01,10.0
2017-12-02,10.0
2017-12-03,10.0
2017-12-04,10.0
2017-12-05,10.0
2017-12-06,10.0
2017-12-07,10.0
2017-12-08,10.0
2017-12-09,10.0
2017-12-10,10.0
2017-12-11,10.0
2017-12-12,10.0
2017-12-13,10.0
