date,price
2017-03-29,0.23004778
2017-03-30,0.2462681
2017-03-31,0.23387293
2017-04-01,0.24513239
2017-04-02,0.26698735
2017-04-03,0.2375062
2017-04-04,0.24977728
2017-04-05,0.26181383
2017-04-06,0.24424098
2017-04-07,0.2610182
2017-04-08,0.25742538
2017-04-09,0.25337636
2017-04-10,0.24148228
2017-04-11,0.24015279
2017-04-12,0.24326507
2017-04-13,0.24545083
2017-04-14,0.23097741
2017-04-15,0.22708629
2017-04-16,0.21284117
2017-04-17,0.2367231
2017-04-18,0.22167533
2017-04-19,0.23946343
2017-04-20,0.2332484
2017-04-21,0.23355363
2017-04-22,0.24070362
2017-04-23,0.23565459
2017-04-24,0.24523949
2017-04-25,0.23469342
2017-04-26,0.23976287
2017-04-27,0.24317973
2017-04-28,0.24939652
2017-04-29,0.25609093
2017-04-30,0.24971591
2017-05-01,0.25302892
2017-05-02,0.2553196
2017-05-03,0.24927323
2017-05-04,0.2457943
2017-05-05,0.33332204
2017-05-06,0.27020626
2017-05-07,0.24583409
2017-05-08,0.24419915
2017-05-09,0.23572854
2017-05-10,0.25483486
2017-05-11,0.23637482
2017-05-12,0.23600347
2017-05-13,0.25713229
2017-05-14,0.28381665
2017-05-15,0.23406914
2017-05-16,0.23990302
2017-05-17,0.25124241
2017-05-18,0.24381931
2017-05-19,0.24634046
2017-05-20,0.26194693
2017-05-21,0.24476981
2017-05-22,0.24074871
2017-05-23,0.24038448
2017-05-24,0.2272206
2017-05-25,0.23476878
2017-05-26,0.25085837
2017-05-27,0.23605715
2017-05-28,0.2296529
2017-05-29,0.25311683
2017-05-30,0.22706775
2017-05-31,0.23842234
2017-06-01,0.2242954
2017-06-02,0.25655694
2017-06-03,0.23336058
2017-06-04,0.24538768
2017-06-05,0.23475125
2017-06-06,0.23026498
2017-06-07,0.22417081
2017-06-08,0.24061216
2017-06-09,0.2342142
2017-06-10,0.23279468
2017-06-11,0.22983801
2017-06-12,0.19971987
2017-06-13,0.22401597
2017-06-14,0.22379004
2017-06-15,0.23964768
2017-06-16,0.23190262
2017-06-17,0.22115558
2017-06-18,0.21674992
2017-06-19,0.21266864
2017-06-20,0.22001453
2017-06-21,0.22024844
2017-06-22,0.23056576
2017-06-23,0.21409661
2017-06-24,0.21338271
2017-06-25,0.21336432
2017-06-26,0.21080818
2017-06-27,0.20668908
2017-06-28,0.20173035
2017-06-29,0.22378542
2017-06-30,0.22550538
2017-07-01,0.21306188
2017-07-02,0.2358481
2017-07-03,0.20199397
2017-07-04,0.19506948
2017-07-05,0.20584906
2017-07-06,0.18633537
2017-07-07,0.20045779
2017-07-08,0.19571502
2017-07-09,0.20249949
2017-07-10,0.1940994
2017-07-11,0.19004684
2017-07-12,0.17966396
2017-07-13,0.18281922
2017-07-14,0.19919524
2017-07-15,0.19404466
2017-07-16,0.18980421
2017-07-17,0.19598776
2017-07-18,0.21213402
2017-07-19,0.19430122
2017-07-20,0.1905931
2017-07-21,0.19425843
2017-07-22,0.19299953
2017-07-23,0.19404861
2017-07-24,0.19461078
2017-07-25,0.19768013
2017-07-26,0.20222835
2017-07-27,0.20034981
2017-07-28,0.20555156
2017-07-29,0.21046924
2017-07-30,0.20244311
2017-07-31,0.21068235
2017-08-01,0.20893896
2017-08-02,0.22046665
2017-08-03,0.21234413
2017-08-04,0.21787043
2017-08-05,0.22351695
2017-08-06,0.31054851
2017-08-07,0.22862162
2017-08-08,0.24949266
2017-08-09,0.28166871
2017-08-10,0.23389709
2017-08-11,0.21319625
2017-08-12,0.19611538
2017-08-13,0.20993811
2017-08-14,0.21581406
2017-08-15,0.20770863
2017-08-16,0.21285643
2017-08-17,0.20283549
2017-08-18,0.2075686
2017-08-19,0.21535203
2017-08-20,0.20602661
2017-08-21,0.23751225
2017-08-22,0.23076532
2017-08-23,0.22683115
2017-08-24,0.21699939
2017-08-25,0.2174167
2017-08-26,0.20775755
2017-08-27,0.20886957
2017-08-28,0.20452339
2017-08-29,0.19530469
2017-08-30,0.20231255
2017-08-31,0.21222878
2017-09-01,0.21466719
2017-09-02,0.25022994
2017-09-03,0.23914635
2017-09-04,0.2449015
2017-09-05,0.23922199
2017-09-06,0.22231616
2017-09-07,0.2057129
2017-09-08,0.23078494
2017-09-09,0.21721292
