date,price
2017-03-29,0.1545
2017-03-30,0.1545
2017-03-31,0.1545
2017-04-01,0.285
2017-04-02,0.18277143
2017-04-03,0.14975
2017-04-04,0.16
2017-04-05,0.243
2017-04-06,0.18464286
2017-04-07,0.1495
2017-04-08,0.1495
2017-04-09,0.1495
2017-04-10,0.147125
2017-04-11,0.147125
2017-04-12,0.141072
2017-04-13,0.14233333
2017-04-14,0.144875
2017-04-15,0.14645714
2017-04-16,0.1425
2017-04-17,0.14575
2017-04-18,0.145
2017-04-19,0.1295
2017-04-20,0.1245
2017-04-21,0.1245
2017-04-22,0.1235
2017-04-23,0.1227
2017-04-24,0.1245
2017-04-25,0.13708333
2017-04-26,0.1364
2017-04-27,0.1325
2017-04-28,0.13238182
2017-04-29,0.12983333
2017-04-30,0.13315714
2017-05-01,0.1286
2017-05-02,0.200875
2017-05-03,0.1364
2017-05-04,0.12192
2017-05-05,0.135
2017-05-06,0.1299
2017-05-07,0.181
2017-05-08,0.1265
2017-05-09,0.12009167
2017-05-10,0.135
2017-05-11,0.135
2017-05-12,0.135
2017-05-13,0.1078
2017-05-14,0.13291667
2017-05-15,0.1275
2017-05-16,0.1359375
2017-05-17,0.125
2017-05-18,0.17
2017-05-19,0.12456
2017-05-20,0.12544
2017-05-21,0.12341667
2017-05-22,0.13
2017-05-23,0.13
2017-05-24,0.13
2017-05-25,0.12885
2017-05-26,0.13683333
2017-05-27,0.12912667
2017-05-28,0.12875
2017-05-29,0.12977778
2017-05-30,0.125
2017-05-31,0.128
2017-06-01,0.12812821
2017-06-02,0.1288
2017-06-03,0.13
2017-06-04,0.12831111
2017-06-05,0.13
2017-06-06,0.12853571
2017-06-07,0.13231146
2017-06-08,0.130175
2017-06-09,0.13603636
2017-06-10,0.1476987
2017-06-11,0.1384
2017-06-12,0.14332
2017-06-13,0.1365
2017-06-14,0.14729
2017-06-15,0.14520989
2017-06-16,0.14
2017-06-17,0.13995
2017-06-18,0.13878
2017-06-19,0.1391
2017-06-20,0.135
2017-06-21,0.13631429
2017-06-22,0.13625
2017-06-23,0.13673333
2017-06-24,0.14
2017-06-25,0.1346
2017-06-26,0.1396
2017-06-27,0.135
2017-06-28,0.14
2017-06-29,0.13755
2017-06-30,0.1386
2017-07-01,0.13992
2017-07-02,0.13925
2017-07-03,0.139
2017-07-04,0.1396
2017-07-05,0.135
2017-07-06,0.13954
2017-07-07,0.13813061
2017-07-08,0.13971667
2017-07-09,0.13755
2017-07-10,0.205
2017-07-11,0.139425
2017-07-12,0.14
2017-07-13,0.13101667
2017-07-14,0.12990714
2017-07-15,0.1344875
2017-07-16,0.13584167
2017-07-17,0.139
2017-07-18,0.13775
2017-07-19,0.14389286
2017-07-20,0.13733333
2017-07-21,0.13768333
2017-07-22,0.13340417
2017-07-23,0.13430357
2017-07-24,0.135
2017-07-25,0.133
2017-07-26,0.13357143
2017-07-27,0.14
2017-07-28,0.1398
2017-07-29,0.1715
2017-07-30,0.168575
2017-07-31,0.16166667
2017-08-01,0.15333333
2017-08-02,0.15116
2017-08-03,0.15100333
2017-08-04,0.1495
2017-08-05,0.14813333
2017-08-06,0.135
2017-08-07,0.13975
2017-08-08,0.1375
2017-08-09,0.13048621
2017-08-10,0.1425
2017-08-11,0.13966667
