date,price
2021-10-01,12.5125
2021-10-02,12.5125
2021-10-03,12.5125
2021-10-04,5.0
2021-10-05,5.0
2021-10-06,5.0
2021-10-07,5.0
2021-10-08,5.0
2021-10-09,5.0
2021-10-10,5.0
2021-10-11,12.3725
2021-10-12,12.3725
2021-10-13,13.21642857
2021-10-14,13.21642857
2021-10-15,13.21642857
2021-10-16,13.21642857
2021-10-17,13.21642857
2021-10-18,13.21642857
2021-10-19,13.21642857
2021-10-20,5.0
2021-10-21,5.0
2021-10-22,5.0
2021-10-23,5.0
2021-10-24,13.37
2021-10-25,13.37
2021-10-26,13.37
2021-10-27,13.37
2021-10-28,13.37
2021-10-29,13.37
2021-10-30,13.37
2021-10-31,13.37
2021-11-01,13.37
2021-11-02,11.9
2021-11-03,11.9
2021-11-04,11.9
2021-11-05,11.9
2021-11-06,12.74
2021-11-07,6.51
2021-11-08,5.0
2021-11-09,5.0
2021-11-10,5.0
2021-11-11,5.0
2021-11-12,5.0
2021-11-13,5.0
2021-11-14,5.0
2021-11-15,5.0
2021-11-16,5.0
2021-11-17,5.0
2021-11-18,5.0
2021-11-19,5.0
2021-11-20,5.0
2021-11-21,5.0
2021-11-22,5.0
2021-11-23,5.0
2021-11-24,5.0
2021-11-25,5.0
