date,price
2021-07-11,0.3
2021-07-12,0.3
2021-07-13,0.3
2021-07-14,0.13
2021-07-15,0.135
2021-07-16,0.135
2021-07-17,0.1225
2021-07-18,0.11386667
2021-07-19,0.09666667
2021-07-20,0.10971667
2021-07-21,0.115
2021-07-22,0.115
2021-07-23,0.08443333
2021-07-24,0.0654875
2021-07-25,0.0747
2021-07-26,0.0571
2021-07-27,0.06
2021-07-28,0.058
2021-07-29,0.062825
2021-07-30,0.05443333
2021-07-31,0.0589
2021-08-01,0.0513
2021-08-02,0.05385
2021-08-03,0.0495
2021-08-04,0.0495
2021-08-05,0.049
2021-08-06,0.05
2021-08-07,0.042725
2021-08-08,0.0435
2021-08-09,0.036
2021-08-10,0.05
2021-08-11,0.02715
2021-08-12,0.03175
2021-08-13,0.029
2021-08-14,0.02626667
2021-08-15,0.0228
2021-08-16,0.0243
2021-08-17,0.02295
2021-08-18,0.0259
2021-08-19,0.0259
2021-08-20,0.0225
2021-08-21,0.02415
2021-08-22,0.02303275
2021-08-23,0.02303275
2021-08-24,0.02303275
2021-08-25,0.02158
2021-08-26,0.0213419
2021-08-27,0.0197
2021-08-28,0.03815
2021-08-29,0.03815
2021-08-30,0.03815
2021-08-31,0.03815
2021-09-01,0.01861604
2021-09-02,0.01817667
2021-09-03,0.018
2021-09-04,0.01664667
2021-09-05,0.0162
2021-09-06,0.0162
2021-09-07,0.018
2021-09-08,0.018
2021-09-09,0.01732553
2021-09-10,0.01554282
2021-09-11,0.01663333
2021-09-12,0.01639
2021-09-13,0.01639
2021-09-14,0.01732439
2021-09-15,0.01725
2021-09-16,0.01686159
2021-09-17,0.01904065
2021-09-18,0.014485
2021-09-19,0.014485
2021-09-20,0.01732361
2021-09-21,0.01732361
2021-09-22,0.01732361
2021-09-23,0.01732361
2021-09-24,0.01858
2021-09-25,0.01858
2021-09-26,0.0098
2021-09-27,0.0098
2021-09-28,0.01633333
2021-09-29,0.01633333
2021-09-30,0.01718381
2021-10-01,0.01533333
2021-10-02,0.014
2021-10-03,0.01
2021-10-04,0.01275
2021-10-05,0.01275
2021-10-06,0.01275
2021-10-07,0.0098
2021-10-08,0.0098
2021-10-09,0.01435385
2021-10-10,0.01435385
2021-10-11,0.01435385
2021-10-12,0.017
2021-10-13,0.014
2021-10-14,0.017
2021-10-15,0.017
2021-10-16,0.01
2021-10-17,0.01
2021-10-18,0.0175
2021-10-19,0.008
2021-10-20,0.008
2021-10-21,0.008
2021-10-22,0.008
2021-10-23,0.008
2021-10-24,0.008
2021-10-25,0.008
2021-10-26,0.008
2021-10-27,0.008
2021-10-28,0.013
2021-10-29,0.013
2021-10-30,0.013
2021-10-31,0.013
2021-11-01,0.013
2021-11-02,0.013
2021-11-03,0.013
2021-11-04,0.013
2021-11-05,0.012
2021-11-06,0.012
2021-11-07,0.012
2021-11-08,0.012
2021-11-09,0.012
2021-11-10,0.012
2021-11-11,0.012
2021-11-12,0.0175
2021-11-13,0.0175
2021-11-14,0.0175
2021-11-15,0.0175
2021-11-16,0.0175
2021-11-17,0.0175
2021-11-18,0.0175
2021-11-19,0.0175
2021-11-20,0.0175
2021-11-21,0.0175
2021-11-22,0.0175
2021-11-23,0.0175
2021-11-24,0.0175
2021-11-25,0.0175
