date,price
2020-02-10,0.5
2020-02-11,0.3475
2020-02-12,0.29925
2020-02-13,0.29
2020-02-14,0.30857143
2020-02-15,0.2325
2020-02-16,0.24892857
2020-02-17,0.23928571
2020-02-18,0.2284375
2020-02-19,0.23833333
2020-02-20,0.216625
2020-02-21,0.1875
2020-02-22,0.1835
2020-02-23,0.1805
2020-02-24,0.13785714
2020-02-25,0.13000476
2020-02-26,0.11883333
2020-02-27,0.11775
2020-02-28,0.12108333
2020-02-29,0.11506667
2020-03-01,0.10719697
2020-03-02,0.10132323
2020-03-03,0.0915
2020-03-04,0.0844
2020-03-05,0.0825
2020-03-06,0.0825
2020-03-07,0.07733333
2020-03-08,0.073
2020-03-09,0.06685714
2020-03-10,0.065
2020-03-11,0.057
2020-03-12,0.0725
2020-03-13,0.063
2020-03-14,0.044
2020-03-15,0.0486
2020-03-16,0.022
2020-03-17,0.022
2020-03-18,0.03716667
2020-03-19,0.03716667
2020-03-20,0.0235
2020-03-21,0.0215
2020-03-22,0.0215
2020-03-23,0.02
2020-03-24,0.01858333
2020-03-25,0.0157
2020-03-26,0.105
2020-03-27,0.105
2020-03-28,0.105
2020-03-29,0.105
2020-03-30,0.1036
2020-03-31,0.035
2020-04-01,0.029
2020-04-02,0.029
2020-04-03,0.029
2020-04-04,0.034875
2020-04-05,0.0325
2020-04-06,0.0325
2020-04-07,0.0325
2020-04-08,0.03566667
2020-04-09,0.03666667
2020-04-10,0.03375
2020-04-11,0.03375
2020-04-12,0.105
2020-04-13,0.105
2020-04-14,0.105
2020-04-15,0.105
2020-04-16,0.105
2020-04-17,0.105
2020-04-18,0.105
2020-04-19,0.035
2020-04-20,0.035
2020-04-21,0.035
2020-04-22,0.035
2020-04-23,0.035
2020-04-24,0.035
2020-04-25,0.0395
2020-04-26,0.0395
2020-04-27,0.03125
2020-04-28,0.03125
2020-04-29,0.03125
2020-04-30,0.02916667
2020-05-01,0.025
2020-05-02,0.025
2020-05-03,0.025
2020-05-04,0.025
2020-05-05,0.025
2020-05-06,0.025
2020-05-07,0.025
2020-05-08,0.025
2020-05-09,0.02
2020-05-10,0.02125
2020-05-11,0.02125
2020-05-12,0.02125
2020-05-13,0.05
2020-05-14,0.0355
2020-05-15,0.02575
2020-05-16,0.03216667
2020-05-17,0.03216667
2020-05-18,0.03216667
2020-05-19,0.031625
2020-05-20,0.031625
2020-05-21,0.025
2020-05-22,0.025
2020-05-23,0.049
2020-05-24,0.049
2020-05-25,0.049
2020-05-26,0.049
2020-05-27,0.05
2020-05-28,0.025
2020-05-29,0.025
2020-05-30,0.0588
2020-05-31,0.0588
2020-06-01,0.0225
2020-06-02,0.025
2020-06-03,0.02715
2020-06-04,0.02715
2020-06-05,0.02715
2020-06-06,0.02715
2020-06-07,0.02715
2020-06-08,0.0225
2020-06-09,0.0225
2020-06-10,0.0225
2020-06-11,0.03
2020-06-12,0.0378
2020-06-13,0.0378
2020-06-14,0.0378
2020-06-15,0.0378
2020-06-16,0.035
2020-06-17,0.035
2020-06-18,0.035
2020-06-19,0.035
2020-06-20,0.035
2020-06-21,0.035
2020-06-22,0.035
2020-06-23,0.035
2020-06-24,0.035
2020-06-25,0.035
2020-06-26,0.035
2020-06-27,0.0686
2020-06-28,0.0686
2020-06-29,0.0686
2020-06-30,0.03
2020-07-01,0.03
2020-07-02,0.03
2020-07-03,0.03
2020-07-04,0.03
2020-07-05,0.0686
2020-07-06,0.0686
2020-07-07,0.0406
2020-07-08,0.0406
2020-07-09,0.005
2020-07-10,0.005
2020-07-11,0.0371
2020-07-12,0.0371
2020-07-13,0.0371
2020-07-14,0.035
2020-07-15,0.035
2020-07-16,0.0406
2020-07-17,0.0406
2020-07-18,0.0406
2020-07-19,0.0406
2020-07-20,0.032
2020-07-21,0.03083333
2020-07-22,0.0303125
2020-07-23,0.03041667
2020-07-24,0.0334375
2020-07-25,0.035
2020-07-26,0.03230769
2020-07-27,0.03
2020-07-28,0.0344
2020-07-29,0.031
2020-07-30,0.035
2020-07-31,0.03166667
2020-08-01,0.03695
2020-08-02,0.03166667
2020-08-03,0.03
2020-08-04,0.03
2020-08-05,0.0472
2020-08-06,0.03
2020-08-07,0.03
2020-08-08,0.03
2020-08-09,0.04093333
2020-08-10,0.03239248
2020-08-11,0.03360294
2020-08-12,0.035
2020-08-13,0.03397059
2020-08-14,0.03397059
2020-08-15,0.03065789
2020-08-16,0.035
2020-08-17,0.03
2020-08-18,0.0325
2020-08-19,0.035
2020-08-20,0.03
2020-08-21,0.05
2020-08-22,0.03
2020-08-23,0.03
2020-08-24,0.03
2020-08-25,0.03
2020-08-26,0.03
2020-08-27,0.03
2020-08-28,0.03166667
2020-08-29,0.03
2020-08-30,0.03
2020-08-31,0.0425
2020-09-01,0.03
2020-09-02,0.03
2020-09-03,0.03625
2020-09-04,0.0325
2020-09-05,0.035
2020-09-06,0.06
2020-09-07,0.06
2020-09-08,0.03333333
2020-09-09,0.03333333
2020-09-10,0.03
2020-09-11,0.03
2020-09-12,0.03
2020-09-13,0.03
2020-09-14,0.03
2020-09-15,0.0325
