date,price
2017-06-18,0.32
2017-06-19,0.32
2017-06-20,0.32
2017-06-21,0.32
2017-06-22,0.32
2017-06-23,0.32
2017-06-24,0.32
2017-06-25,0.32
2017-06-26,0.32
2017-06-27,0.32
2017-06-28,0.32
2017-06-29,0.32
2017-06-30,0.215
2017-07-01,0.38
2017-07-02,0.38
2017-07-03,0.38
2017-07-04,0.38
2017-07-05,0.38
2017-07-06,0.38
2017-07-07,0.38
2017-07-08,0.38
2017-07-09,0.38
2017-07-10,0.38
2017-07-11,0.38
2017-07-12,0.38
2017-07-13,0.38
2017-07-14,0.38
2017-07-15,0.38
2017-07-16,0.38
2017-07-17,0.38
2017-07-18,0.38
2017-07-19,0.38
2017-07-20,0.38
2017-07-21,0.38
2017-07-22,0.38
2017-07-23,0.38
2017-07-24,0.38
2017-07-25,0.38
2017-07-26,0.38
2017-07-27,0.38
2017-07-28,0.38
2017-07-29,0.38
2017-07-30,0.38
2017-07-31,0.38
2017-08-01,0.38
2017-08-02,0.38
2017-08-03,0.38
2017-08-04,0.38
2017-08-05,0.38
2017-08-06,0.38
2017-08-07,0.38
2017-08-08,0.38
2017-08-09,0.38
2017-08-10,0.38
2017-08-11,0.38
2017-08-12,0.38
2017-08-13,0.38
2017-08-14,0.38
2017-08-15,0.38
2017-08-16,0.38
2017-08-17,0.38
2017-08-18,0.38
2017-08-19,0.38
2017-08-20,0.38
2017-08-21,0.38
2017-08-22,0.38
2017-08-23,0.38
2017-08-24,0.38
2017-08-25,0.38
2017-08-26,0.38
2017-08-27,0.38
2017-08-28,0.38
2017-08-29,0.38
2017-08-30,0.38
2017-08-31,0.38
2017-09-01,0.38
2017-09-02,0.38
2017-09-03,0.38
2017-09-04,0.38
2017-09-05,0.38
2017-09-06,0.38
2017-09-07,0.38
2017-09-08,0.38
2017-09-09,0.38
2017-09-10,0.38
2017-09-11,0.38
2017-09-12,0.38
2017-09-13,0.38
2017-09-14,0.38
2017-09-15,0.38
2017-09-16,0.38
2017-09-17,0.38
2017-09-18,0.38
2017-09-19,0.38
2017-09-20,0.38
2017-09-21,0.38
2017-09-22,0.38
2017-09-23,0.38
2017-09-24,0.38
2017-09-25,0.38
2017-09-26,0.38
2017-09-27,0.38
2017-09-28,0.38
2017-09-29,0.38
2017-09-30,0.38
2017-10-01,0.38
2017-10-02,0.38
2017-10-03,0.38
2017-10-04,0.38
2017-10-05,0.38
2017-10-06,0.38
2017-10-07,0.38
2017-10-08,0.38
2017-10-09,0.38
2017-10-10,0.38
2017-10-11,0.38
2017-10-12,0.38
2017-10-13,0.38
2017-10-14,0.38
2017-10-15,0.38
2017-10-16,0.38
2017-10-17,0.38
2017-10-18,0.38
2017-10-19,0.38
2017-10-20,0.38
2017-10-21,0.38
2017-10-22,0.38
2017-10-23,0.38
2017-10-24,0.38
2017-10-25,0.38
2017-10-26,0.38
2017-10-27,0.38
2017-10-28,0.38
2017-10-29,0.38
2017-10-30,0.38
2017-10-31,0.38
2017-11-01,0.38
2017-11-02,0.38
2017-11-03,0.38
2017-11-04,0.38
2017-11-05,0.38
2017-11-06,0.38
2017-11-07,0.38
2017-11-08,0.38
