date,price
2021-05-19,0.087782
2021-05-20,0.06355628
2021-05-21,0.06309986
2021-05-22,0.0635011
2021-05-23,0.06459958
2021-05-24,0.05992066
2021-05-25,0.05397261
2021-05-26,0.05708404
2021-05-27,0.06521265
2021-05-28,0.06864126
2021-05-29,0.0712204
2021-05-30,0.07442922
2021-05-31,0.07288149
2021-06-01,0.07443567
2021-06-02,0.07248885
2021-06-03,0.06814784
2021-06-04,0.06402355
2021-06-05,0.06669287
2021-06-06,0.06993893
2021-06-07,0.06863628
2021-06-08,0.06734008
2021-06-09,0.06829555
2021-06-10,0.06716028
2021-06-11,0.06460428
2021-06-12,0.06223654
2021-06-13,0.05923877
2021-06-14,0.05453844
2021-06-15,0.05235673
2021-06-16,0.05151005
2021-06-17,0.04925744
2021-06-18,0.04742924
2021-06-19,0.04394839
2021-06-20,0.04096853
2021-06-21,0.0398395
2021-06-22,0.03944707
2021-06-23,0.03848834
2021-06-24,0.03893821
2021-06-25,0.03992183
2021-06-26,0.03967342
2021-06-27,0.03893989
2021-06-28,0.03656554
2021-06-29,0.03534886
2021-06-30,0.03573365
2021-07-01,0.03482635
2021-07-02,0.03448303
2021-07-03,0.03502948
2021-07-04,0.03406749
2021-07-05,0.03117932
2021-07-06,0.03041198
2021-07-07,0.02929693
2021-07-08,0.02826235
2021-07-09,0.02785788
2021-07-10,0.02660361
2021-07-11,0.02645743
2021-07-12,0.02552145
2021-07-13,0.02556006
2021-07-14,0.02473241
2021-07-15,0.02452578
2021-07-16,0.02479096
2021-07-17,0.02401234
2021-07-18,0.02318667
2021-07-19,0.02253216
2021-07-20,0.02288201
2021-07-21,0.02207181
2021-07-22,0.02215696
2021-07-23,0.02220456
2021-07-24,0.02183528
2021-07-25,0.02093523
2021-07-26,0.01984166
2021-07-27,0.01908094
2021-07-28,0.01855868
2021-07-29,0.01801401
2021-07-30,0.01742616
2021-07-31,0.01737679
2021-08-01,0.01704354
2021-08-02,0.0169041
2021-08-03,0.016727
2021-08-04,0.01711465
2021-08-05,0.01690329
2021-08-06,0.01682371
2021-08-07,0.01707096
2021-08-08,0.01677506
2021-08-09,0.01590702
2021-08-10,0.01490391
2021-08-11,0.01541397
2021-08-12,0.01492338
2021-08-13,0.01559905
2021-08-14,0.01571516
2021-08-15,0.01532855
2021-08-16,0.01494578
2021-08-17,0.01476515
2021-08-18,0.01438887
2021-08-19,0.01439244
2021-08-20,0.01462827
2021-08-21,0.01467365
2021-08-22,0.01440957
2021-08-23,0.01429079
2021-08-24,0.01386219
2021-08-25,0.01365078
2021-08-26,0.01316186
2021-08-27,0.01281489
2021-08-28,0.01301223
2021-08-29,0.01309288
2021-08-30,0.01305838
2021-08-31,0.01380294
2021-09-01,0.01530265
2021-09-02,0.01618176
2021-09-03,0.01580061
2021-09-04,0.01524722
2021-09-05,0.014742
2021-09-06,0.0146425
2021-09-07,0.01441321
2021-09-08,0.01424652
2021-09-09,0.01417217
2021-09-10,0.0141446
2021-09-11,0.01391226
2021-09-12,0.01322597
2021-09-13,0.01336651
2021-09-14,0.01379348
2021-09-15,0.01460277
2021-09-16,0.01460496
2021-09-17,0.01427018
2021-09-18,0.01378819
2021-09-19,0.0133862
2021-09-20,0.01294816
2021-09-21,0.01245446
2021-09-22,0.01248205
2021-09-23,0.01227954
2021-09-24,0.01209108
2021-09-25,0.01193225
2021-09-26,0.01153398
2021-09-27,0.01098757
2021-09-28,0.01042069
2021-09-29,0.01079087
2021-09-30,0.01038764
2021-10-01,0.01016921
2021-10-02,0.01007215
2021-10-03,0.01032817
2021-10-04,0.01040543
2021-10-05,0.01022137
2021-10-06,0.00974648
2021-10-07,0.0096018
2021-10-08,0.00990251
2021-10-09,0.00974031
2021-10-10,0.00999969
2021-10-11,0.01014415
2021-10-12,0.00992527
2021-10-13,0.00999684
2021-10-14,0.01020685
2021-10-15,0.01051223
2021-10-16,0.01052064
2021-10-17,0.0104927
2021-10-18,0.0103552
2021-10-19,0.01036894
2021-10-20,0.01043008
2021-10-21,0.0101803
2021-10-22,0.01055569
2021-10-23,0.01044395
2021-10-24,0.01034115
2021-10-25,0.01054162
2021-10-26,0.01086896
2021-10-27,0.01078425
2021-10-28,0.01087307
2021-10-29,0.01082327
2021-10-30,0.01139232
2021-10-31,0.01182424
2021-11-01,0.01173613
2021-11-02,0.01195735
2021-11-03,0.01189815
2021-11-04,0.01189833
2021-11-05,0.01212258
2021-11-06,0.01189452
2021-11-07,0.0121823
2021-11-08,0.01207045
2021-11-09,0.01221751
2021-11-10,0.01173219
2021-11-11,0.01220323
2021-11-12,0.01228164
2021-11-13,0.01186286
2021-11-14,0.01231208
2021-11-15,0.01214922
2021-11-16,0.0118925
2021-11-17,0.01166377
2021-11-18,0.01167174
2021-11-19,0.01150368
2021-11-20,0.01143193
2021-11-21,0.01156836
2021-11-22,0.01132191
2021-11-23,0.01139392
2021-11-24,0.01089524
2021-11-25,0.01073991
