date,price
2019-08-27,15.22
2019-08-28,14.19458333
2019-08-29,13.45754444
2019-08-30,13.29634309
2019-08-31,11.34571069
2019-09-01,9.53661353
2019-09-02,6.21890324
2019-09-03,4.88907839
2019-09-04,3.32511794
2019-09-05,2.75483524
2019-09-06,2.3127866
2019-09-07,2.49885746
2019-09-08,2.2580929
2019-09-09,1.92623721
2019-09-10,2.03112824
2019-09-11,2.03673464
2019-09-12,1.90961617
2019-09-13,1.87269941
2019-09-14,1.58064609
2019-09-15,1.28042053
2019-09-16,1.23344614
2019-09-17,0.99326441
2019-09-18,1.08416098
2019-09-19,1.02844232
2019-09-20,0.98237003
2019-09-21,0.90892846
2019-09-22,0.78586819
2019-09-23,0.73510535
2019-09-24,0.8633654
2019-09-25,0.80804607
2019-09-26,0.68291687
2019-09-27,0.64777437
2019-09-28,0.67784866
2019-09-29,0.6186308
2019-09-30,0.64243615
2019-10-01,0.64339108
2019-10-02,0.63000995
2019-10-03,0.57206777
2019-10-04,0.53602366
2019-10-05,1.35174024
2019-10-06,0.51728746
2019-10-07,0.45744391
2019-10-08,0.44206983
2019-10-09,0.39705104
2019-10-10,0.35836982
2019-10-11,0.35193572
2019-10-12,0.34375832
2019-10-13,0.35770544
2019-10-14,0.35608562
2019-10-15,0.36713792
2019-10-16,0.33705614
2019-10-17,0.3209719
2019-10-18,0.32607749
2019-10-19,0.33296173
2019-10-20,0.3326055
2019-10-21,0.31093158
2019-10-22,0.32234194
2019-10-23,0.30568527
2019-10-24,0.30601861
2019-10-25,0.28344224
2019-10-26,0.28677706
2019-10-27,0.2832852
2019-10-28,0.26406792
2019-10-29,0.25503914
2019-10-30,0.25969188
2019-10-31,0.26440798
2019-11-01,0.24464166
2019-11-02,0.25072588
2019-11-03,0.23274759
2019-11-04,0.21725337
2019-11-05,0.21148875
2019-11-06,0.19969869
2019-11-07,0.18597639
2019-11-08,0.18974241
2019-11-09,0.19565917
2019-11-10,0.19543101
2019-11-11,0.19678764
2019-11-12,0.1893593
2019-11-13,0.18665606
2019-11-14,0.18604331
2019-11-15,0.19385282
2019-11-16,0.19622808
2019-11-17,0.19446142
2019-11-18,0.19417091
2019-11-19,0.19177349
2019-11-20,0.18595072
2019-11-21,0.18355681
2019-11-22,0.18456262
2019-11-23,0.17539233
2019-11-24,0.17918203
2019-11-25,0.16973817
2019-11-26,0.16851585
2019-11-27,0.1675508
2019-11-28,0.16321848
2019-11-29,0.15943203
2019-11-30,0.15151299
2019-12-01,0.14082868
2019-12-02,0.13003551
2019-12-03,0.1351197
2019-12-04,0.13605848
2019-12-05,0.12424933
2019-12-06,0.11673866
2019-12-07,0.11522011
2019-12-08,0.11623098
2019-12-09,0.11473658
2019-12-10,0.11661603
2019-12-11,0.11698256
2019-12-12,0.12372367
2019-12-13,0.12471206
2019-12-14,0.12915955
2019-12-15,0.13164824
2019-12-16,0.13477061
2019-12-17,0.13286306
2019-12-18,0.13048093
2019-12-19,0.1283739
2019-12-20,0.12236005
2019-12-21,0.12546488
2019-12-22,0.12311257
2019-12-23,0.12279162
2019-12-24,0.11628053
2019-12-25,0.1093549
2019-12-26,0.10870324
2019-12-27,0.10634506
2019-12-28,0.10602838
2019-12-29,0.10672823
2019-12-30,0.09935203
2019-12-31,0.10730548
2020-01-01,0.10780304
2020-01-02,0.10489965
2020-01-03,0.10703789
2020-01-04,0.10731329
2020-01-05,0.09732221
2020-01-06,0.0902583
2020-01-07,0.0885386
2020-01-08,0.08698295
2020-01-09,0.08080346
2020-01-10,0.08069426
2020-01-11,0.08140225
2020-01-12,0.08317044
2020-01-13,0.08194524
2020-01-14,0.07977903
2020-01-15,0.08212432
2020-01-16,0.079903
2020-01-17,0.07861917
2020-01-18,0.08050853
2020-01-19,0.08541059
2020-01-20,0.08880528
2020-01-21,0.09100292
2020-01-22,0.09431908
2020-01-23,0.0975363
2020-01-24,0.10142634
2020-01-25,0.10278448
2020-01-26,0.10379744
2020-01-27,0.10183168
2020-01-28,0.09889005
2020-01-29,0.09360134
2020-01-30,0.08588805
2020-01-31,0.08124408
2020-02-01,0.08651484
2020-02-02,0.07947294
2020-02-03,0.07969527
2020-02-04,0.07099352
2020-02-05,0.06869878
2020-02-06,0.06815006
2020-02-07,0.0688431
2020-02-08,0.072646
2020-02-09,0.07346832
2020-02-10,0.07401324
2020-02-11,0.075336
2020-02-12,0.07938314
2020-02-13,0.0791696
2020-02-14,0.07685936
2020-02-15,0.07907018
2020-02-16,0.0793422
2020-02-17,0.07776461
2020-02-18,0.07669118
2020-02-19,0.07550553
2020-02-20,0.07273742
2020-02-21,0.06982413
2020-02-22,0.07005978
2020-02-23,0.07393902
2020-02-24,0.07153018
2020-02-25,0.07057694
2020-02-26,0.06607169
2020-02-27,0.06478899
2020-02-28,0.06757472
2020-02-29,0.06784182
2020-03-01,0.06663377
2020-03-02,0.06781332
2020-03-03,0.07109729
2020-03-04,0.06562423
2020-03-05,0.06439239
2020-03-06,0.06383013
2020-03-07,0.06536974
2020-03-08,0.06396302
2020-03-09,0.0617947
2020-03-10,0.05940734
2020-03-11,0.05848537
2020-03-12,0.0558717
2020-03-13,0.05526544
2020-03-14,0.05367441
2020-03-15,0.05306393
2020-03-16,0.05263291
2020-03-17,0.04952007
2020-03-18,0.0468619
2020-03-19,0.0459004
2020-03-20,0.04839407
2020-03-21,0.04901143
2020-03-22,0.04957393
2020-03-23,0.05133941
2020-03-24,0.04865504
2020-03-25,0.04902983
2020-03-26,0.0497256
2020-03-27,0.05169215
2020-03-28,0.05294707
2020-03-29,0.05440943
2020-03-30,0.05416416
2020-03-31,0.05266804
2020-04-01,0.05102127
2020-04-02,0.05158197
2020-04-03,0.05168063
2020-04-04,0.05105074
2020-04-05,0.0515999
2020-04-06,0.05141605
2020-04-07,0.05094219
2020-04-08,0.05180627
2020-04-09,0.05204264
2020-04-10,0.05218759
2020-04-11,0.05217972
2020-04-12,0.05434035
2020-04-13,0.0537272
2020-04-14,0.05305748
2020-04-15,0.05304249
2020-04-16,0.05874364
2020-04-17,0.06707147
2020-04-18,0.07175085
2020-04-19,0.07807904
2020-04-20,0.07749972
2020-04-21,0.07850042
2020-04-22,0.074662
2020-04-23,0.07411805
2020-04-24,0.07198463
2020-04-25,0.06448861
2020-04-26,0.05998719
2020-04-27,0.05815271
2020-04-28,0.05646762
2020-04-29,0.05705094
2020-04-30,0.05602504
2020-05-01,0.05598025
2020-05-02,0.05515355
2020-05-03,0.05515205
2020-05-04,0.05367522
2020-05-05,0.05350449
2020-05-06,0.05244839
2020-05-07,0.05149152
2020-05-08,0.05122025
2020-05-09,0.04971454
2020-05-10,0.05018846
2020-05-11,0.04752467
2020-05-12,0.0472749
2020-05-13,0.0464254
2020-05-14,0.04533808
2020-05-15,0.04530552
2020-05-16,0.04654393
2020-05-17,0.04649329
2020-05-18,0.04565534
2020-05-19,0.04164398
2020-05-20,0.04211775
2020-05-21,0.040742
2020-05-22,0.03976058
2020-05-23,0.03936218
2020-05-24,0.03936955
2020-05-25,0.039669
2020-05-26,0.03788417
2020-05-27,0.03772653
2020-05-28,0.03560864
2020-05-29,0.03681869
2020-05-30,0.03895512
2020-05-31,0.0399872
2020-06-01,0.03897614
2020-06-02,0.03785813
2020-06-03,0.0390056
2020-06-04,0.03954151
2020-06-05,0.03891823
2020-06-06,0.03770668
2020-06-07,0.03839781
2020-06-08,0.03714146
2020-06-09,0.03723292
2020-06-10,0.03695692
2020-06-11,0.03595426
2020-06-12,0.03716618
2020-06-13,0.03550683
2020-06-14,0.03658519
2020-06-15,0.03667802
2020-06-16,0.03642255
2020-06-17,0.03724598
2020-06-18,0.0414662
2020-06-19,0.04539087
2020-06-20,0.04831181
2020-06-21,0.04960305
2020-06-22,0.04628426
2020-06-23,0.04632353
2020-06-24,0.04500446
2020-06-25,0.04506656
2020-06-26,0.04578467
2020-06-27,0.04748008
2020-06-28,0.04645929
2020-06-29,0.04764015
2020-06-30,0.04615217
2020-07-01,0.04687438
2020-07-02,0.04633553
2020-07-03,0.04635112
2020-07-04,0.04676726
2020-07-05,0.0464326
2020-07-06,0.04717751
2020-07-07,0.04603717
2020-07-08,0.04554264
2020-07-09,0.04560905
2020-07-10,0.04641179
2020-07-11,0.04555254
2020-07-12,0.04464071
2020-07-13,0.0448126
2020-07-14,0.04414729
2020-07-15,0.04500231
2020-07-16,0.04430883
2020-07-17,0.04405919
2020-07-18,0.04398448
2020-07-19,0.04543361
2020-07-20,0.04594589
2020-07-21,0.04384398
2020-07-22,0.04280565
2020-07-23,0.04352749
2020-07-24,0.0428246
2020-07-25,0.0430245
2020-07-26,0.04324864
2020-07-27,0.04634952
2020-07-28,0.04883109
2020-07-29,0.04796793
2020-07-30,0.04737885
2020-07-31,0.04469335
2020-08-01,0.04411405
2020-08-02,0.04460881
2020-08-03,0.04533158
2020-08-04,0.04566368
2020-08-05,0.04356231
2020-08-06,0.04445408
2020-08-07,0.04539586
2020-08-08,0.04443607
2020-08-09,0.04458687
2020-08-10,0.04374691
2020-08-11,0.04421041
2020-08-12,0.04449956
2020-08-13,0.04330995
2020-08-14,0.04342054
2020-08-15,0.04240982
2020-08-16,0.04169809
2020-08-17,0.0405401
2020-08-18,0.04048429
2020-08-19,0.03943499
2020-08-20,0.03870307
2020-08-21,0.03827669
2020-08-22,0.03729587
2020-08-23,0.03543125
2020-08-24,0.03539135
2020-08-25,0.03545761
2020-08-26,0.03475948
2020-08-27,0.03354875
2020-08-28,0.03330648
2020-08-29,0.03297008
2020-08-30,0.03252196
2020-08-31,0.03212641
2020-09-01,0.0314922
2020-09-02,0.03119423
2020-09-03,0.03038048
2020-09-04,0.02928664
2020-09-05,0.02888492
2020-09-06,0.0299579
2020-09-07,0.02705663
2020-09-08,0.0272454
2020-09-09,0.02578071
2020-09-10,0.02585659
2020-09-11,0.02527307
2020-09-12,0.02520212
2020-09-13,0.02525
2020-09-14,0.02605739
2020-09-15,0.02494236
2020-09-16,0.02478066
2020-09-17,0.02417122
2020-09-18,0.02498118
2020-09-19,0.02480145
2020-09-20,0.02448393
2020-09-21,0.02447949
2020-09-22,0.02424907
2020-09-23,0.02368808
2020-09-24,0.02316518
2020-09-25,0.02381543
2020-09-26,0.02556586
2020-09-27,0.0261635
2020-09-28,0.02588598
2020-09-29,0.02774347
2020-09-30,0.02736425
2020-10-01,0.02860024
2020-10-02,0.02770038
2020-10-03,0.02718785
2020-10-04,0.02707613
2020-10-05,0.02655409
2020-10-06,0.02634758
2020-10-07,0.02620803
2020-10-08,0.02576876
2020-10-09,0.02603887
2020-10-10,0.0260146
2020-10-11,0.02515396
2020-10-12,0.02532787
2020-10-13,0.02462115
2020-10-14,0.0248425
2020-10-15,0.02403897
2020-10-16,0.02402539
2020-10-17,0.0237119
2020-10-18,0.02299933
2020-10-19,0.0225204
2020-10-20,0.02211008
2020-10-21,0.02269695
2020-10-22,0.02116047
2020-10-23,0.02095524
2020-10-24,0.02087025
2020-10-25,0.02022462
2020-10-26,0.02008141
2020-10-27,0.02022365
2020-10-28,0.01926742
2020-10-29,0.02049013
2020-10-30,0.01914062
2020-10-31,0.01920526
2020-11-01,0.0188578
2020-11-02,0.0188682
2020-11-03,0.01927976
2020-11-04,0.01875874
2020-11-05,0.01907883
2020-11-06,0.01862565
2020-11-07,0.01871996
2020-11-08,0.01870396
2020-11-09,0.01872002
2020-11-10,0.01901231
2020-11-11,0.01899181
2020-11-12,0.01874871
2020-11-13,0.0190877
2020-11-14,0.01854987
2020-11-15,0.01849406
2020-11-16,0.01867134
2020-11-17,0.0179109
2020-11-18,0.01747303
2020-11-19,0.01678375
2020-11-20,0.01603894
2020-11-21,0.01586688
2020-11-22,0.01646395
2020-11-23,0.01623315
2020-11-24,0.01581999
2020-11-25,0.01605045
2020-11-26,0.01540995
2020-11-27,0.01541631
2020-11-28,0.01570481
2020-11-29,0.01572107
2020-11-30,0.01508068
2020-12-01,0.01539103
2020-12-02,0.01749714
2020-12-03,0.02292584
2020-12-04,0.02462539
2020-12-05,0.02674752
2020-12-06,0.02590192
2020-12-07,0.02547005
2020-12-08,0.02504691
2020-12-09,0.02377957
2020-12-10,0.02308724
2020-12-11,0.02218835
2020-12-12,0.02193785
2020-12-13,0.02109637
2020-12-14,0.02063407
2020-12-15,0.02087618
2020-12-16,0.02026492
2020-12-17,0.01954258
2020-12-18,0.01963426
2020-12-19,0.02060464
2020-12-20,0.02063047
2020-12-21,0.02035927
2020-12-22,0.02085062
2020-12-23,0.02098967
2020-12-24,0.02127529
2020-12-25,0.02087915
2020-12-26,0.02166859
2020-12-27,0.02111865
2020-12-28,0.02096229
2020-12-29,0.02078063
2020-12-30,0.02067694
2020-12-31,0.01993902
2021-01-01,0.02092368
2021-01-02,0.02053359
2021-01-03,0.02053408
2021-01-04,0.02204485
2021-01-05,0.02146871
2021-01-06,0.02108056
2021-01-07,0.02065495
2021-01-08,0.02091123
2021-01-09,0.02158304
2021-01-10,0.02143069
2021-01-11,0.02085433
2021-01-12,0.02039688
2021-01-13,0.02010486
2021-01-14,0.01967301
2021-01-15,0.01964948
2021-01-16,0.02022705
2021-01-17,0.02027864
2021-01-18,0.01988318
2021-01-19,0.01953558
2021-01-20,0.01939195
2021-01-21,0.0199398
2021-01-22,0.02039233
2021-01-23,0.02168722
2021-01-24,0.02324288
2021-01-25,0.02313054
2021-01-26,0.02394175
2021-01-27,0.02530448
2021-01-28,0.02608292
2021-01-29,0.02778417
2021-01-30,0.03006426
2021-01-31,0.03240415
2021-02-01,0.02882854
2021-02-02,0.02964819
2021-02-03,0.02950988
2021-02-04,0.02978835
2021-02-05,0.03078771
2021-02-06,0.02873567
2021-02-07,0.02998235
2021-02-08,0.02818517
2021-02-09,0.0270856
2021-02-10,0.02997457
2021-02-11,0.03192503
2021-02-12,0.03183776
2021-02-13,0.0313489
2021-02-14,0.0315957
2021-02-15,0.03177986
2021-02-16,0.03107235
2021-02-17,0.03045426
2021-02-18,0.02934657
2021-02-19,0.03013881
2021-02-20,0.03201606
2021-02-21,0.03392
2021-02-22,0.03378177
2021-02-23,0.0346677
2021-02-24,0.03349171
2021-02-25,0.03266795
2021-02-26,0.03426481
2021-02-27,0.0356709
2021-02-28,0.03524151
2021-03-01,0.03356213
2021-03-02,0.03343616
2021-03-03,0.03335373
2021-03-04,0.0334443
2021-03-05,0.03438364
2021-03-06,0.0362466
2021-03-07,0.03649877
2021-03-08,0.03725572
2021-03-09,0.03615795
2021-03-10,0.03486053
2021-03-11,0.03417466
2021-03-12,0.03508849
2021-03-13,0.03676765
2021-03-14,0.03729382
2021-03-15,0.03402993
2021-03-16,0.03562417
2021-03-17,0.03650754
2021-03-18,0.04014429
2021-03-19,0.04062142
2021-03-20,0.03981742
2021-03-21,0.04069607
2021-03-22,0.0391245
2021-03-23,0.0372146
2021-03-24,0.03771911
2021-03-25,0.03813619
2021-03-26,0.03701243
2021-03-27,0.03720353
2021-03-28,0.03807407
2021-03-29,0.03557189
2021-03-30,0.03477079
2021-03-31,0.03407591
2021-04-01,0.03394681
2021-04-02,0.03439345
2021-04-03,0.03484291
2021-04-04,0.0353334
2021-04-05,0.03424744
2021-04-06,0.03393783
2021-04-07,0.03300205
2021-04-08,0.03295418
2021-04-09,0.03050692
2021-04-10,0.03218859
2021-04-11,0.03125355
2021-04-12,0.03091422
2021-04-13,0.03004092
2021-04-14,0.0308079
2021-04-15,0.02973427
2021-04-16,0.02966665
2021-04-17,0.03088083
2021-04-18,0.03027264
2021-04-19,0.03119158
2021-04-20,0.03136432
2021-04-21,0.03361934
2021-04-22,0.03597522
2021-04-23,0.03662682
2021-04-24,0.03662789
2021-04-25,0.03545733
2021-04-26,0.03424899
2021-04-27,0.03365708
2021-04-28,0.03315836
2021-04-29,0.03356659
2021-04-30,0.0330773
2021-05-01,0.03424482
2021-05-02,0.03500255
2021-05-03,0.03429812
2021-05-04,0.03394866
2021-05-05,0.03499305
2021-05-06,0.03416677
2021-05-07,0.04107749
2021-05-08,0.04380657
2021-05-09,0.04374025
2021-05-10,0.04115274
2021-05-11,0.04085412
2021-05-12,0.04339998
2021-05-13,0.04447443
2021-05-14,0.04690024
2021-05-15,0.04663684
2021-05-16,0.04370597
2021-05-17,0.04403321
2021-05-18,0.04819621
2021-05-19,0.05829431
2021-05-20,0.07390723
2021-05-21,0.07519311
2021-05-22,0.06824811
2021-05-23,0.06832948
2021-05-24,0.06733359
2021-05-25,0.06500284
2021-05-26,0.0625304
2021-05-27,0.06345198
2021-05-28,0.06185485
2021-05-29,0.0657189
2021-05-30,0.06707398
2021-05-31,0.07662651
2021-06-01,0.08323822
2021-06-02,0.08349238
2021-06-03,0.07202325
2021-06-04,0.07251573
2021-06-05,0.07787068
2021-06-06,0.06905737
2021-06-07,0.06671269
2021-06-08,0.06706117
2021-06-09,0.06499635
2021-06-10,0.06396995
2021-06-11,0.06005071
2021-06-12,0.05856432
2021-06-13,0.05835966
2021-06-14,0.05933269
2021-06-15,0.05752659
2021-06-16,0.05545285
2021-06-17,0.05594753
2021-06-18,0.05563876
2021-06-19,0.05582359
2021-06-20,0.04644107
2021-06-21,0.044825
2021-06-22,0.04702089
2021-06-23,0.046488
2021-06-24,0.04462255
2021-06-25,0.04483143
2021-06-26,0.04443251
2021-06-27,0.04450903
2021-06-28,0.04524257
2021-06-29,0.04312208
2021-06-30,0.04625408
2021-07-01,0.04443426
2021-07-02,0.04397592
2021-07-03,0.04316077
2021-07-04,0.04112372
2021-07-05,0.04098912
2021-07-06,0.03839278
2021-07-07,0.037123
2021-07-08,0.03614405
2021-07-09,0.03467681
2021-07-10,0.03604143
2021-07-11,0.03299579
2021-07-12,0.0323628
2021-07-13,0.03504272
2021-07-14,0.0312355
2021-07-15,0.03523833
2021-07-16,0.03210796
2021-07-17,0.03270637
2021-07-18,0.03006125
2021-07-19,0.032226
2021-07-20,0.031136
2021-07-21,0.031136
2021-07-22,0.03152417
2021-07-23,0.03061143
2021-07-24,0.03470921
2021-07-25,0.03051429
2021-07-26,0.03214879
2021-07-27,0.0324
2021-07-28,0.031675
2021-07-29,0.0308
2021-07-30,0.03008333
2021-07-31,0.0291355
2021-08-01,0.029784
2021-08-02,0.02900429
2021-08-03,0.02900429
2021-08-04,0.02846048
2021-08-05,0.02846048
2021-08-06,0.02863056
2021-08-07,0.02863056
2021-08-08,0.02875625
2021-08-09,0.0283
2021-08-10,0.0277125
2021-08-11,0.02715
2021-08-12,0.02671067
2021-08-13,0.02659747
2021-08-14,0.02659747
2021-08-15,0.02665633
2021-08-16,0.02665
2021-08-17,0.026675
2021-08-18,0.02665
2021-08-19,0.02666667
2021-08-20,0.026675
2021-08-21,0.026675
2021-08-22,0.02665111
2021-08-23,0.02665
2021-08-24,0.02666667
2021-08-25,0.02667667
2021-08-26,0.02667667
2021-08-27,0.02629461
2021-08-28,0.026645
2021-08-29,0.02656133
2021-08-30,0.02273
2021-08-31,0.02665
2021-09-01,0.02665
2021-09-02,0.026675
2021-09-03,0.02668333
2021-09-04,0.03097879
2021-09-05,0.03097879
2021-09-06,0.0485091
2021-09-07,0.0485091
2021-09-08,0.038
2021-09-09,0.03
2021-09-10,0.03
2021-09-11,0.03
2021-09-12,0.04555
2021-09-13,0.038
2021-09-14,0.03787949
2021-09-15,0.04164
2021-09-16,0.03531333
2021-09-17,0.04248667
2021-09-18,0.038
2021-09-19,0.038
2021-09-20,0.03936
2021-09-21,0.04091833
2021-09-22,0.05748833
2021-09-23,0.04129667
2021-09-24,0.04273
2021-09-25,0.03075
2021-09-26,0.04020667
2021-09-27,0.03777083
2021-09-28,0.03777083
2021-09-29,0.033
2021-09-30,0.0354
2021-10-01,0.03514
2021-10-02,0.03757222
2021-10-03,0.03863667
2021-10-04,0.03514
2021-10-05,0.04214167
2021-10-06,0.04214167
2021-10-07,0.04214167
2021-10-08,0.0352
2021-10-09,0.03461333
2021-10-10,0.03499444
2021-10-11,0.03499444
2021-10-12,0.03407
2021-10-13,0.0422
2021-10-14,0.0422
2021-10-15,0.03514
2021-10-16,0.03514
2021-10-17,0.033
2021-10-18,0.03514
2021-10-19,0.04171824
2021-10-20,0.04171824
2021-10-21,0.04171824
2021-10-22,0.04214167
2021-10-23,0.04214167
2021-10-24,0.04214
2021-10-25,0.04214
2021-10-26,0.04214
2021-10-27,0.03514
2021-10-28,0.03514
2021-10-29,0.03514
2021-10-30,0.04196
2021-10-31,0.03968519
2021-11-01,0.03968519
2021-11-02,0.0804
2021-11-03,0.033
2021-11-04,0.03496
2021-11-05,0.03496
2021-11-06,0.03496
2021-11-07,0.03496
2021-11-08,0.03928
2021-11-09,0.03928
2021-11-10,0.03338
2021-11-11,0.03338
2021-11-12,0.03338
2021-11-13,0.03338
2021-11-14,0.04583333
2021-11-15,0.04583333
2021-11-16,0.03398
2021-11-17,0.04263
