date,price
2017-03-30,0.12025
2017-03-31,0.1567
2017-04-01,0.1567
2017-04-02,0.1567
2017-04-03,0.129
2017-04-04,0.10993333
2017-04-05,0.10993333
2017-04-06,0.10993333
2017-04-07,0.10993333
2017-04-08,0.13639096
2017-04-09,0.213
2017-04-10,0.18675
2017-04-11,0.1995
2017-04-12,0.1831928
2017-04-13,0.13645
2017-04-14,0.13645
2017-04-15,0.12725
2017-04-16,0.214
2017-04-17,0.18979551
2017-04-18,0.132
2017-04-19,0.15061075
2017-04-20,0.1459483
2017-04-21,0.1459483
2017-04-22,0.1459483
2017-04-23,0.12881429
2017-04-24,0.12881429
2017-04-25,0.11126667
2017-04-26,0.13165
2017-04-27,0.114525
2017-04-28,0.13204444
2017-04-29,0.12005
2017-04-30,0.1269
2017-05-01,0.1263
2017-05-02,0.1263
2017-05-03,0.16466333
2017-05-04,0.13576667
2017-05-05,0.13615518
2017-05-06,0.20340196
2017-05-07,0.20340196
2017-05-08,0.11956091
2017-05-09,0.1796683
2017-05-10,0.1407
2017-05-11,0.12081667
2017-05-12,0.20098333
2017-05-13,0.12746909
2017-05-14,0.13213333
2017-05-15,0.19492853
2017-05-16,0.2089175
2017-05-17,0.2285
2017-05-18,0.18876667
2017-05-19,0.19464167
2017-05-20,0.218
2017-05-21,0.1606
2017-05-22,0.19768664
2017-05-23,0.141
2017-05-24,0.2156
2017-05-25,0.19858
2017-05-26,0.1749869
2017-05-27,0.11906667
2017-05-28,0.333
2017-05-29,0.12294444
2017-05-30,0.208
2017-05-31,0.185
2017-06-01,0.185
2017-06-02,0.185
2017-06-03,0.1181281
2017-06-04,0.219
2017-06-05,0.117
2017-06-06,0.11625192
2017-06-07,0.13984962
2017-06-08,0.13984962
2017-06-09,0.1413
2017-06-10,0.12333739
2017-06-11,0.12333739
2017-06-12,0.11298571
2017-06-13,0.11543333
2017-06-14,0.12419914
2017-06-15,0.1023615
2017-06-16,0.1023615
2017-06-17,0.12428
2017-06-18,0.10223333
2017-06-19,0.117
2017-06-20,0.1375
2017-06-21,0.12431667
2017-06-22,0.12431667
2017-06-23,0.1423
2017-06-24,0.13551778
2017-06-25,0.1298
2017-06-26,0.12431078
2017-06-27,0.10487437
2017-06-28,0.0957
2017-06-29,0.1095
2017-06-30,0.12427
2017-07-01,0.10493056
2017-07-02,0.10493056
2017-07-03,0.10493056
2017-07-04,0.10493056
2017-07-05,0.1036
2017-07-06,0.128755
2017-07-07,0.12875
2017-07-08,0.11124781
2017-07-09,0.1296
2017-07-10,0.1296
2017-07-11,0.1296
2017-07-12,0.1277
2017-07-13,0.13215
2017-07-14,0.119175
2017-07-15,0.13030265
2017-07-16,0.21495
2017-07-17,0.126
2017-07-18,0.126
2017-07-19,0.07846
2017-07-20,0.07846
2017-07-21,0.08
2017-07-22,0.08
2017-07-23,0.10957143
2017-07-24,0.0996
2017-07-25,0.0986
2017-07-26,0.09858621
2017-07-27,0.09858621
2017-07-28,0.0985
2017-07-29,0.09263143
2017-07-30,0.117225
2017-07-31,0.13125
2017-08-01,0.12212277
2017-08-02,0.11034
2017-08-03,0.11034
2017-08-04,0.11205
2017-08-05,0.11205
2017-08-06,0.12025667
2017-08-07,0.11815333
2017-08-08,0.11831667
2017-08-09,0.11831667
2017-08-10,0.321
2017-08-11,0.11267857
2017-08-12,0.11267857
2017-08-13,0.11603333
2017-08-14,0.09448
2017-08-15,0.07895
2017-08-16,0.11426
2017-08-17,0.11426
2017-08-18,0.094355
2017-08-19,0.11540406
2017-08-20,0.09375
2017-08-21,0.12415
2017-08-22,0.09
2017-08-23,0.100815
2017-08-24,0.09014
2017-08-25,0.09655333
2017-08-26,0.09614643
2017-08-27,0.094
2017-08-28,0.1014075
2017-08-29,0.09065
2017-08-30,0.0901
2017-08-31,0.1055
2017-09-01,0.09128
2017-09-02,0.108725
2017-09-03,0.09495
2017-09-04,0.21476667
2017-09-05,0.21476667
2017-09-06,0.1098
2017-09-07,0.11274333
2017-09-08,0.11274333
2017-09-09,0.1153
2017-09-10,0.115575
2017-09-11,0.10693333
2017-09-12,0.111
2017-09-13,0.11058954
2017-09-14,0.11754167
2017-09-15,0.1074
2017-09-16,0.1105
2017-09-17,0.11625
2017-09-18,0.22265
2017-09-19,0.1147
2017-09-20,0.11444879
2017-09-21,0.126
2017-09-22,0.12515972
2017-09-23,0.12192143
2017-09-24,0.1036
2017-09-25,0.1036
2017-09-26,0.1036
2017-09-27,0.11353052
2017-09-28,0.11353052
2017-09-29,0.122825
2017-09-30,0.122825
2017-10-01,0.11034
2017-10-02,0.11034
2017-10-03,0.1134
2017-10-04,0.1134
2017-10-05,0.1134
2017-10-06,0.1482
2017-10-07,0.1482
2017-10-08,0.1482
2017-10-09,0.1482
2017-10-10,0.14515211
2017-10-11,0.14515211
2017-10-12,0.14515211
2017-10-13,0.14053064
2017-10-14,0.14053064
2017-10-15,0.1271
2017-10-16,0.13098592
2017-10-17,0.11845426
2017-10-18,0.12154183
2017-10-19,0.12875
2017-10-20,0.12875
2017-10-21,0.13403333
2017-10-22,0.1045
2017-10-23,0.1045
2017-10-24,0.1045
2017-10-25,0.23145
2017-10-26,0.108475
2017-10-27,0.12041667
2017-10-28,0.12063333
2017-10-29,0.11690086
2017-10-30,0.12020755
2017-10-31,0.12759809
2017-11-01,0.1202
2017-11-02,0.12173333
2017-11-03,0.11359063
2017-11-04,0.07857143
2017-11-05,0.07857143
2017-11-06,0.07857143
2017-11-07,0.07857143
2017-11-08,0.15689524
2017-11-09,0.0925
2017-11-10,0.1399
2017-11-11,0.123405
2017-11-12,0.11219167
2017-11-13,0.1287625
2017-11-14,0.17037857
2017-11-15,0.17037857
2017-11-16,0.1304
2017-11-17,0.12730714
2017-11-18,0.12730714
2017-11-19,0.0816875
2017-11-20,0.13422766
2017-11-21,0.27013333
2017-11-22,0.27013333
