date,price
2017-03-29,0.14023417
2017-03-30,0.15103206
2017-03-31,0.15617996
2017-04-01,0.16728662
2017-04-02,0.18727786
2017-04-03,0.18554041
2017-04-04,0.19254223
2017-04-05,0.18251804
2017-04-06,0.17620274
2017-04-07,0.18455226
2017-04-08,0.17521104
2017-04-09,0.17438563
2017-04-10,0.18880567
2017-04-11,0.18262415
2017-04-12,0.17456154
2017-04-13,0.15995011
2017-04-14,0.16627381
2017-04-15,0.16119722
2017-04-16,0.1767149
2017-04-17,0.16398752
2017-04-18,0.16015602
2017-04-19,0.15758944
2017-04-20,0.16190266
2017-04-21,0.14419464
2017-04-22,0.15704345
2017-04-23,0.1501153
2017-04-24,0.14061611
2017-04-25,0.14580458
2017-04-26,0.15515079
2017-04-27,0.14948378
2017-04-28,0.14769483
2017-04-29,0.15104115
2017-04-30,0.15911941
2017-05-01,0.1539182
2017-05-02,0.1630621
2017-05-03,0.1482321
2017-05-04,0.13877483
2017-05-05,0.14153956
2017-05-06,0.14395235
2017-05-07,0.14358482
2017-05-08,0.14863819
2017-05-09,0.1311387
2017-05-10,0.12643929
2017-05-11,0.13439633
2017-05-12,0.13424359
2017-05-13,0.13611604
2017-05-14,0.14102496
2017-05-15,0.13598997
2017-05-16,0.15657309
2017-05-17,0.15467139
2017-05-18,0.14223357
2017-05-19,0.14959129
2017-05-20,0.14872564
2017-05-21,0.15329929
2017-05-22,0.14842521
2017-05-23,0.14609264
2017-05-24,0.13017205
2017-05-25,0.15583912
2017-05-26,0.12454534
2017-05-27,0.14293223
2017-05-28,0.13745301
2017-05-29,0.12491102
2017-05-30,0.12107638
2017-05-31,0.13668518
2017-06-01,0.13707594
2017-06-02,0.15120038
2017-06-03,0.13656609
2017-06-04,0.12955482
2017-06-05,0.14277993
2017-06-06,0.1312962
2017-06-07,0.12633542
2017-06-08,0.28381843
2017-06-09,0.36092525
2017-06-10,0.13334523
2017-06-11,0.12540256
2017-06-12,0.14645466
2017-06-13,0.16243063
2017-06-14,0.15842263
2017-06-15,0.14257978
2017-06-16,0.1547547
2017-06-17,0.14197314
2017-06-18,0.14796038
2017-06-19,0.13859641
2017-06-20,0.14897553
2017-06-21,0.13845397
2017-06-22,0.23481063
2017-06-23,0.14128839
2017-06-24,0.1379097
2017-06-25,0.13018495
2017-06-26,0.12595034
2017-06-27,0.12798238
2017-06-28,0.1229241
2017-06-29,0.1374652
2017-06-30,0.13137235
2017-07-01,0.1253063
2017-07-02,0.12823844
2017-07-03,0.12041921
2017-07-04,0.26222898
2017-07-05,0.12332712
2017-07-06,0.12483655
2017-07-07,0.12950771
2017-07-08,0.13492263
2017-07-09,0.13044309
2017-07-10,0.13086404
2017-07-11,0.13133306
2017-07-12,0.12127348
2017-07-13,0.12205086
2017-07-14,0.14101155
2017-07-15,0.13904704
2017-07-16,0.12506001
2017-07-17,0.12047398
2017-07-18,0.12908506
2017-07-19,0.11999311
2017-07-20,0.12272048
2017-07-21,0.13480245
2017-07-22,0.12831303
2017-07-23,0.12225393
2017-07-24,0.12581355
2017-07-25,0.13469302
2017-07-26,0.15304713
2017-07-27,0.13040771
2017-07-28,0.12547076
2017-07-29,0.13667664
2017-07-30,0.13217934
2017-07-31,0.1243324
2017-08-01,0.1212415
2017-08-02,0.12232459
2017-08-03,0.12527058
2017-08-04,0.11714683
2017-08-05,0.11735112
