date,price
2017-11-06,1.5
2017-11-07,1.571
2017-11-08,1.7901
2017-11-09,1.9781
2017-11-10,1.99
2017-11-11,1.79
2017-11-12,1.6567
2017-11-13,1.5
2017-11-14,1.6801
2017-11-15,1.5721
2017-11-16,1.5533
2017-11-17,1.5599
2017-11-18,1.5041
2017-11-19,1.6524
2017-11-20,1.6
2017-11-21,1.6257
2017-11-22,1.5728
2017-11-23,1.6
2017-11-24,1.5644
2017-11-25,1.712
2017-11-26,1.85
2017-11-27,1.8388
2017-11-28,1.945
2017-11-29,1.9248
2017-11-30,1.7641
2017-12-01,1.95
2017-12-02,2.0526
2017-12-03,2.0797
2017-12-04,2.2617
2017-12-05,2.5305
2017-12-06,2.6
2017-12-07,2.5393
2017-12-08,2.6489
2017-12-09,2.789
2017-12-10,2.65
2017-12-11,2.4616
2017-12-12,2.687
2017-12-13,2.5547
2017-12-14,2.7194
2017-12-15,3.1518
2017-12-16,4.16
2017-12-17,4.63
2017-12-18,5.999
2017-12-19,5.98
2017-12-20,5.69
2017-12-21,5.1819
2017-12-22,5.1596
2017-12-23,4.2912
2017-12-24,4.4
2017-12-25,5.1899
2017-12-26,6.4631
2017-12-27,9.2861
2017-12-28,10.07
2017-12-29,9.28
2017-12-30,8.6808
2017-12-31,7.5783
2018-01-01,8.5478
2018-01-02,8.45
2018-01-03,8.7151
2018-01-04,9.304
2018-01-05,9.135
2018-01-06,14.8908
2018-01-07,22.6
2018-01-08,18.5375
2018-01-09,18.04
2018-01-10,17.3992
2018-01-11,17.5
2018-01-12,21.1022
2018-01-13,22.1999
2018-01-14,22.0252
2018-01-15,20.4546
2018-01-16,19.4376
2018-01-17,13.0262
2018-01-18,14.1191
2018-01-19,14.0405
2018-01-20,14.9447
2018-01-21,16.1602
2018-01-22,14.1334
2018-01-23,12.9149
2018-01-24,13.1494
2018-01-25,13.7998
2018-01-26,13.1905
2018-01-27,13.169
2018-01-28,13.3991
2018-01-29,13.7739
2018-01-30,12.8295
2018-01-31,11.46
2018-02-01,11.3131
2018-02-02,9.5138
2018-02-03,9.7485
2018-02-04,9.7497
2018-02-05,8.4003
2018-02-06,6.7216
2018-02-07,8.2502
2018-02-08,8.0979
2018-02-09,8.2791
2018-02-10,9.86
2018-02-11,9.2501
2018-02-12,8.6739
2018-02-13,9.339
2018-02-14,9.0001
2018-02-15,10.4063
2018-02-16,10.8784
2018-02-17,11.2054
2018-02-18,11.6827
2018-02-19,10.6631
2018-02-20,11.0699
2018-02-21,9.8888
2018-02-22,9.395
2018-02-23,8.8474
2018-02-24,9.7
2018-02-25,9.1161
2018-02-26,9.3677
2018-02-27,9.9199
2018-02-28,10.56
2018-03-01,10.4641
2018-03-02,10.4715
2018-03-03,10.2347
2018-03-04,10.2399
2018-03-05,10.4139
2018-03-06,10.084
2018-03-07,9.3899
2018-03-08,9.0446
2018-03-09,8.2703
2018-03-10,8.2951
2018-03-11,7.65
2018-03-12,8.2679
2018-03-13,8.0204
2018-03-14,10.1999
2018-03-15,8.915
2018-03-16,9.1074
2018-03-17,9.1043
2018-03-18,8.9256
2018-03-19,8.9664
2018-03-20,9.035
2018-03-21,9.1865
2018-03-22,9.9729
2018-03-23,10.0614
2018-03-24,11.7158
2018-03-25,13.2398
2018-03-26,12.95
2018-03-27,12.01
2018-03-28,11.5404
2018-03-29,11.687
2018-03-30,10.1877
2018-03-31,10.4
2018-04-01,11.0599
2018-04-02,11.0956
2018-04-03,12.5996
2018-04-04,13.2788
2018-04-05,12.2098
2018-04-06,12.4888
2018-04-07,12.26
2018-04-08,12.5
2018-04-09,12.1244
2018-04-10,11.8832
2018-04-11,12.1121
2018-04-12,12.33
2018-04-13,13.0087
2018-04-14,13.52
2018-04-15,13.2865
2018-04-16,13.0985
2018-04-17,12.2342
2018-04-18,11.777
2018-04-19,12.2999
2018-04-20,12.3502
2018-04-21,12.574
2018-04-22,13.3689
2018-04-23,12.8887
2018-04-24,13.6449
2018-04-25,15.0786
2018-04-26,13.3999
2018-04-27,14.6299
2018-04-28,14.2493
2018-04-29,15.1672
2018-04-30,15.0489
2018-05-01,14.3271
2018-05-02,14.1421
2018-05-03,14.4389
2018-05-04,14.6493
2018-05-05,14.3621
2018-05-06,14.444
2018-05-07,13.9993
2018-05-08,13.7191
2018-05-09,13.5
2018-05-10,14.6266
2018-05-11,13.7737
2018-05-12,12.9603
2018-05-13,12.9319
2018-05-14,13.1624
2018-05-15,12.8448
2018-05-16,12.5312
2018-05-17,12.28
2018-05-18,12.3679
2018-05-19,15.0885
2018-05-20,14.335
