date,price
2019-07-05,0.00449
2019-07-06,0.0038741
2019-07-07,0.003504
2019-07-08,0.0035378
2019-07-09,0.003462
2019-07-10,0.0034576
2019-07-11,0.0033358
2019-07-12,0.0032105
2019-07-13,0.0032626
2019-07-14,0.0032474
2019-07-15,0.0029175
2019-07-16,0.0030624
2019-07-17,0.0027995
2019-07-18,0.0028663
2019-07-19,0.0031008
2019-07-20,0.0030131
2019-07-21,0.0030701
2019-07-22,0.0030533
2019-07-23,0.0029567
2019-07-24,0.0028195
2019-07-25,0.0028555
2019-07-26,0.0028656
2019-07-27,0.00289
2019-07-28,0.0027973
2019-07-29,0.0027884
2019-07-30,0.0027663
2019-07-31,0.0027949
2019-08-01,0.0028571
2019-08-02,0.0029004
2019-08-03,0.0028951
2019-08-04,0.0028999
2019-08-05,0.0029196
2019-08-06,0.0030443
2019-08-07,0.0029569
2019-08-08,0.0029972
2019-08-09,0.0029725
2019-08-10,0.0029211
2019-08-11,0.00285
2019-08-12,0.0028893
2019-08-13,0.0028527
2019-08-14,0.0028343
2019-08-15,0.002723
2019-08-16,0.0025813
2019-08-17,0.002648
2019-08-18,0.0026254
2019-08-19,0.0026922
2019-08-20,0.0027787
2019-08-21,0.002712
2019-08-22,0.0026404
2019-08-23,0.0026486
2019-08-24,0.0026644
2019-08-25,0.0026274
2019-08-26,0.0026192
2019-08-27,0.002637
2019-08-28,0.0026014
2019-08-29,0.0024956
2019-08-30,0.0024421
2019-08-31,0.0024517
2019-09-01,0.002452
2019-09-02,0.0024635
2019-09-03,0.002591
2019-09-04,0.0025647
2019-09-05,0.0025221
2019-09-06,0.0024897
2019-09-07,0.0024504
2019-09-08,0.002465
2019-09-09,0.0024453
2019-09-10,0.0024351
2019-09-11,0.0024193
2019-09-12,0.0023912
2019-09-13,0.0023906
2019-09-14,0.0024089
2019-09-15,0.0024233
2019-09-16,0.0024249
2019-09-17,0.0024316
2019-09-18,0.0025972
2019-09-19,0.0027028
2019-09-20,0.0027062
2019-09-21,0.0026497
2019-09-22,0.00257
2019-09-23,0.0025697
2019-09-24,0.0024474
2019-09-25,0.0021893
2019-09-26,0.0021693
2019-09-27,0.0021348
2019-09-28,0.002176
2019-09-29,0.0022033
2019-09-30,0.002203
2019-10-01,0.0023791
2019-10-02,0.0023561
2019-10-03,0.002323
2019-10-04,0.002298
2019-10-05,0.0022882
2019-10-06,0.0022993
2019-10-07,0.0022659
2019-10-08,0.0023298
2019-10-09,0.0023096
2019-10-10,0.002346
2019-10-11,0.002297
2019-10-12,0.002288
2019-10-13,0.002319
2019-10-14,0.0024312
2019-10-15,0.0025482
2019-10-16,0.0024957
2019-10-17,0.0026117
2019-10-18,0.002735
2019-10-19,0.0026944
2019-10-20,0.0027179
2019-10-21,0.0027079
2019-10-22,0.0026884
2019-10-23,0.0025386
2019-10-24,0.0024805
2019-10-25,0.0025183
2019-10-26,0.0026694
2019-10-27,0.0026061
2019-10-28,0.00264
2019-10-29,0.0026379
2019-10-30,0.002625
2019-10-31,0.0025891
2019-11-01,0.0025811
2019-11-02,0.0025994
2019-11-03,0.0025966
2019-11-04,0.0025803
2019-11-05,0.0025751
2019-11-06,0.0025881
2019-11-07,0.0025942
2019-11-08,0.002704
2019-11-09,0.0026442
2019-11-10,0.0027078
2019-11-11,0.0027653
2019-11-12,0.0027042
2019-11-13,0.0027078
2019-11-14,0.0026751
2019-11-15,0.002665
2019-11-16,0.0026504
2019-11-17,0.0026517
2019-11-18,0.0026159
2019-11-19,0.0025351
2019-11-20,0.0025206
2019-11-21,0.0025209
2019-11-22,0.0024059
2019-11-23,0.0023528
2019-11-24,0.0023892
2019-11-25,0.0022368
2019-11-26,0.0022474
2019-11-27,0.0022663
2019-11-28,0.0023153
2019-11-29,0.0022735
2019-11-30,0.0023593
2019-12-01,0.002292
2019-12-02,0.0022708
2019-12-03,0.0022209
2019-12-04,0.0021731
2019-12-05,0.0021717
2019-12-06,0.0021705
2019-12-07,0.0021894
2019-12-08,0.0021834
2019-12-09,0.0021968
2019-12-10,0.0021635
2019-12-11,0.0021402
2019-12-12,0.0021515
2019-12-13,0.0021348
2019-12-14,0.0021274
2019-12-15,0.0021127
2019-12-16,0.0021363
2019-12-17,0.0020835
2019-12-18,0.0019772
2019-12-19,0.0020541
2019-12-20,0.0020241
2019-12-21,0.0020275
2019-12-22,0.00204
2019-12-23,0.0020848
2019-12-24,0.002047
2019-12-25,0.002017
2019-12-26,0.0020331
2019-12-27,0.0020172
2019-12-28,0.0020277
2019-12-29,0.0020458
2019-12-30,0.0020391
2019-12-31,0.002019
2020-01-01,0.0020136
2020-01-02,0.0020245
2020-01-03,0.0019986
2020-01-04,0.0020185
2020-01-05,0.0020589
2020-01-06,0.0020722
2020-01-07,0.0021333
2020-01-08,0.0021687
2020-01-09,0.0020934
2020-01-10,0.0021323
2020-01-11,0.0022007
2020-01-12,0.0021671
2020-01-13,0.0022026
2020-01-14,0.0021656
2020-01-15,0.0023493
2020-01-16,0.002376
2020-01-17,0.0023343
2020-01-18,0.0024855
2020-01-19,0.0025137
2020-01-20,0.0023999
2020-01-21,0.002376
2020-01-22,0.0023583
2020-01-23,0.002343
2020-01-24,0.002255
2020-01-25,0.0022706
2020-01-26,0.0022497
2020-01-27,0.002291
2020-01-28,0.0023594
2020-01-29,0.0024427
2020-01-30,0.0023865
2020-01-31,0.0024164
2020-02-01,0.0023776
2020-02-02,0.0024118
2020-02-03,0.0024397
2020-02-04,0.0024167
2020-02-05,0.0025169
2020-02-06,0.0025823
2020-02-07,0.0026642
2020-02-08,0.0027997
2020-02-09,0.0031745
2020-02-10,0.0032155
2020-02-11,0.0029618
2020-02-12,0.00303
2020-02-13,0.0030599
2020-02-14,0.0030098
