date,price
2020-08-18,2.09
2020-08-19,3.1
2020-08-20,2.9449
2020-08-21,2.8978
2020-08-22,2.8387
2020-08-23,4.4756
2020-08-24,3.9805
2020-08-25,4.5759
2020-08-26,5.5412
2020-08-27,6.0708
2020-08-28,5.6569
2020-08-29,6.1769
2020-08-30,6.1339
2020-08-31,5.8875
2020-09-01,6.2712
2020-09-02,6.24
2020-09-03,6.1375
2020-09-04,5.6743
2020-09-05,5.0987
2020-09-06,4.1456
2020-09-07,4.7849
2020-09-08,4.5967
2020-09-09,4.2657
2020-09-10,4.7003
2020-09-11,4.5781
2020-09-12,4.6433
2020-09-13,5.1379
2020-09-14,5.3198
2020-09-15,5.3597
2020-09-16,5.0535
2020-09-17,5.0739
2020-09-18,5.3313
2020-09-19,5.2595
2020-09-20,4.9205
2020-09-21,4.656
2020-09-22,4.07
2020-09-23,4.1623
2020-09-24,4.0128
2020-09-25,4.3784
2020-09-26,4.4139
2020-09-27,4.3329
2020-09-28,4.2999
2020-09-29,4.45
2020-09-30,4.497
2020-10-01,4.3459
2020-10-02,4.3427
2020-10-03,4.128
2020-10-04,4.0606
2020-10-05,4.1744
2020-10-06,4.1589
2020-10-07,3.7461
2020-10-08,3.8538
2020-10-09,4.1145
2020-10-10,4.2546
2020-10-11,4.2579
2020-10-12,4.2464
2020-10-13,4.3099
2020-10-14,4.2515
2020-10-15,4.1816
2020-10-16,4.099
2020-10-17,3.9132
2020-10-18,3.9652
2020-10-19,4.107
2020-10-20,3.9843
2020-10-21,3.9034
2020-10-22,4.1329
2020-10-23,4.2696
2020-10-24,4.264
2020-10-25,4.35
2020-10-26,4.3315
2020-10-27,4.7064
2020-10-28,4.6723
2020-10-29,4.3569
2020-10-30,4.0605
2020-10-31,4.0843
2020-11-01,4.1833
2020-11-02,4.2211
2020-11-03,4.0272
2020-11-04,4.0377
2020-11-05,4.0988
2020-11-06,4.2248
2020-11-07,4.5837
2020-11-08,4.2311
2020-11-09,4.3733
2020-11-10,4.3476
2020-11-11,4.423
2020-11-12,4.446
2020-11-13,4.4042
2020-11-14,4.5401
2020-11-15,4.4656
2020-11-16,4.3659
2020-11-17,4.4986
2020-11-18,4.8574
2020-11-19,4.6791
2020-11-20,4.7557
2020-11-21,5.2301
2020-11-22,5.7822
2020-11-23,5.516
2020-11-24,5.9063
2020-11-25,5.7305
2020-11-26,5.3
2020-11-27,4.8091
2020-11-28,4.8148
2020-11-29,4.8925
2020-11-30,5.192
2020-12-01,5.378
2020-12-02,5.0824
2020-12-03,5.4583
2020-12-04,5.3982
2020-12-05,5.0
2020-12-06,5.1817
2020-12-07,5.1293
2020-12-08,5.0568
2020-12-09,4.7378
2020-12-10,4.8732
2020-12-11,4.8026
