date,price
2017-08-17,301.13
2017-08-18,302.0
2017-08-19,293.31
2017-08-20,289.41
2017-08-21,299.1
2017-08-22,321.04
2017-08-23,312.25
2017-08-24,315.74
2017-08-25,323.42
2017-08-26,327.24
2017-08-27,332.18
2017-08-28,348.11
2017-08-29,347.0
2017-08-30,374.7
2017-08-31,384.64
2017-09-01,386.44
2017-09-02,388.58
2017-09-03,343.56
2017-09-04,339.29
2017-09-05,286.81
2017-09-06,313.29
2017-09-07,335.01
2017-09-08,334.49
2017-09-09,300.01
2017-09-10,296.72
2017-09-11,293.51
2017-09-12,297.78
2017-09-13,293.93
2017-09-14,275.76
2017-09-15,217.0
2017-09-16,255.99
2017-09-17,249.32
2017-09-18,257.53
2017-09-19,296.0
2017-09-20,284.01
2017-09-21,285.1
2017-09-22,258.0
2017-09-23,259.99
2017-09-24,286.5
2017-09-25,282.0
2017-09-26,294.42
2017-09-27,289.91
2017-09-28,309.81
2017-09-29,302.44
2017-09-30,292.62
2017-10-01,305.13
2017-10-02,303.94
2017-10-03,298.15
2017-10-04,292.47
2017-10-05,290.0
2017-10-06,294.78
2017-10-07,309.9
2017-10-08,311.08
2017-10-09,311.13
2017-10-10,297.35
2017-10-11,300.88
2017-10-12,304.01
2017-10-13,303.52
2017-10-14,337.96
2017-10-15,342.0
2017-10-16,337.5
2017-10-17,335.18
2017-10-18,315.19
2017-10-19,311.52
2017-10-20,308.66
2017-10-21,304.51
2017-10-22,298.99
2017-10-23,293.78
2017-10-24,282.27
2017-10-25,295.43
2017-10-26,294.1
2017-10-27,294.72
2017-10-28,296.14
2017-10-29,291.86
2017-10-30,305.0
2017-10-31,305.95
2017-11-01,304.89
2017-11-02,287.3
2017-11-03,283.12
2017-11-04,304.09
2017-11-05,298.1
2017-11-06,295.19
2017-11-07,297.25
2017-11-08,291.31
2017-11-09,303.6
2017-11-10,318.5
2017-11-11,293.52
2017-11-12,310.87
2017-11-13,304.0
2017-11-14,313.0
2017-11-15,335.6
2017-11-16,330.98
2017-11-17,331.49
2017-11-18,331.2
2017-11-19,346.66
2017-11-20,355.15
