date,price
2021-05-10,1.412e-05
2021-05-11,3.468e-05
2021-05-12,3.04e-05
2021-05-13,1.817e-05
2021-05-14,2.103e-05
2021-05-15,1.841e-05
2021-05-16,1.552e-05
2021-05-17,1.783e-05
2021-05-18,1.65e-05
2021-05-19,1.562e-05
2021-05-20,9.07e-06
2021-05-21,9.64e-06
2021-05-22,8.21e-06
2021-05-23,8.42e-06
2021-05-24,8.08e-06
2021-05-25,1.065e-05
2021-05-26,9.38e-06
2021-05-27,9.49e-06
2021-05-28,8.79e-06
2021-05-29,7.91e-06
2021-05-30,7.9e-06
2021-05-31,7.85e-06
2021-06-01,9.28e-06
2021-06-02,8.83e-06
2021-06-03,9.43e-06
2021-06-04,9.81e-06
2021-06-05,8.8e-06
2021-06-06,8.42e-06
2021-06-07,8.52e-06
2021-06-08,7.74e-06
2021-06-09,7.16e-06
2021-06-10,7.39e-06
2021-06-11,6.84e-06
2021-06-12,6.21e-06
2021-06-13,6.27e-06
2021-06-14,6.84e-06
2021-06-15,7.08e-06
2021-06-16,9.02e-06
2021-06-17,8.32e-06
2021-06-18,7.95e-06
2021-06-19,7.26e-06
2021-06-20,7.63e-06
2021-06-21,7.78e-06
2021-06-22,6.19e-06
2021-06-23,6.33e-06
2021-06-24,6.83e-06
2021-06-25,7.21e-06
2021-06-26,7.06e-06
2021-06-27,7.47e-06
2021-06-28,7.85e-06
2021-06-29,8.08e-06
2021-06-30,8.87e-06
2021-07-01,8.82e-06
2021-07-02,8.33e-06
2021-07-03,8.36e-06
2021-07-04,8.66e-06
2021-07-05,8.72e-06
2021-07-06,8.33e-06
2021-07-07,8.74e-06
2021-07-08,8.54e-06
2021-07-09,8.03e-06
2021-07-10,7.92e-06
2021-07-11,7.67e-06
2021-07-12,7.87e-06
2021-07-13,7.56e-06
2021-07-14,7.12e-06
2021-07-15,7.24e-06
2021-07-16,6.9e-06
2021-07-17,6.63e-06
2021-07-18,6.82e-06
2021-07-19,6.65e-06
2021-07-20,6.19e-06
2021-07-21,5.89e-06
2021-07-22,6.53e-06
2021-07-23,6.47e-06
2021-07-24,6.47e-06
2021-07-25,6.44e-06
2021-07-26,6.37e-06
2021-07-27,6.31e-06
2021-07-28,6.32e-06
2021-07-29,6.19e-06
2021-07-30,6.29e-06
2021-07-31,6.29e-06
2021-08-01,6.25e-06
2021-08-02,6.3e-06
2021-08-03,6.34e-06
2021-08-04,6.18e-06
2021-08-05,6.24e-06
2021-08-06,6.22e-06
2021-08-07,6.31e-06
2021-08-08,7.8e-06
2021-08-09,7.29e-06
2021-08-10,7.62e-06
2021-08-11,7.56e-06
2021-08-12,7.77e-06
2021-08-13,7.64e-06
2021-08-14,8.13e-06
2021-08-15,8.12e-06
2021-08-16,8.55e-06
2021-08-17,9.04e-06
2021-08-18,8.05e-06
2021-08-19,8.02e-06
2021-08-20,8.35e-06
2021-08-21,8.48e-06
2021-08-22,8.13e-06
2021-08-23,8.2e-06
2021-08-24,8.18e-06
2021-08-25,7.48e-06
2021-08-26,7.53e-06
2021-08-27,6.98e-06
2021-08-28,7.47e-06
2021-08-29,7.23e-06
2021-08-30,7.11e-06
2021-08-31,6.67e-06
2021-09-01,6.86e-06
2021-09-02,7.19e-06
2021-09-03,7.09e-06
2021-09-04,7.07e-06
2021-09-05,7.45e-06
2021-09-06,7.53e-06
2021-09-07,7.23e-06
2021-09-08,6.05e-06
2021-09-09,6.68e-06
2021-09-10,7.3e-06
2021-09-11,7e-06
2021-09-12,6.77e-06
2021-09-13,6.89e-06
2021-09-14,6.49e-06
2021-09-15,6.66e-06
2021-09-16,6.77e-06
2021-09-17,8.54e-06
2021-09-18,8.44e-06
2021-09-19,7.84e-06
2021-09-20,8.08e-06
2021-09-21,7.02e-06
2021-09-22,6.88e-06
2021-09-23,7.24e-06
2021-09-24,7.63e-06
2021-09-25,7.38e-06
2021-09-26,7.32e-06
2021-09-27,7.1e-06
2021-09-28,6.97e-06
2021-09-29,6.97e-06
2021-09-30,7.02e-06
2021-10-01,7.21e-06
2021-10-02,7.7e-06
2021-10-03,7.87e-06
2021-10-04,8.55e-06
2021-10-05,1.348e-05
2021-10-06,1.732e-05
2021-10-07,2.787e-05
2021-10-08,2.291e-05
2021-10-09,2.726e-05
2021-10-10,2.669e-05
2021-10-11,2.613e-05
2021-10-12,3.065e-05
2021-10-13,2.903e-05
2021-10-14,2.907e-05
2021-10-15,2.742e-05
2021-10-16,2.525e-05
2021-10-17,2.57e-05
2021-10-18,2.775e-05
2021-10-19,2.864e-05
2021-10-20,2.803e-05
2021-10-21,2.923e-05
2021-10-22,2.747e-05
2021-10-23,2.794e-05
2021-10-24,3.384e-05
2021-10-25,3.605e-05
2021-10-26,4.229e-05
2021-10-27,4.797e-05
2021-10-28,7.906e-05
2021-10-29,6.886e-05
2021-10-30,7.489e-05
2021-10-31,6.531e-05
