date,price
2020-08-11,2.85
2020-08-12,3.2985
2020-08-13,3.75
2020-08-14,3.7207
2020-08-15,3.4181
2020-08-16,3.173
2020-08-17,3.3885
2020-08-18,3.11
2020-08-19,3.334
2020-08-20,2.8962
2020-08-21,3.2038
2020-08-22,2.9213
2020-08-23,3.0224
2020-08-24,3.2658
2020-08-25,3.3406
2020-08-26,3.2576
2020-08-27,3.5557
2020-08-28,3.4503
2020-08-29,4.007
2020-08-30,3.9531
2020-08-31,4.4127
2020-09-01,4.7432
2020-09-02,4.3213
2020-09-03,4.17
2020-09-04,3.5062
2020-09-05,3.5301
2020-09-06,2.6119
2020-09-07,3.0785
2020-09-08,2.9237
2020-09-09,2.468
2020-09-10,3.6107
2020-09-11,3.4707
2020-09-12,3.3967
2020-09-13,3.3386
2020-09-14,3.2656
2020-09-15,3.264
2020-09-16,2.9288
2020-09-17,2.5376
2020-09-18,2.883
2020-09-19,3.1084
2020-09-20,3.0216
2020-09-21,2.8628
2020-09-22,2.7571
2020-09-23,2.9184
2020-09-24,2.855
2020-09-25,3.1409
2020-09-26,3.185
2020-09-27,3.1292
2020-09-28,3.1557
2020-09-29,2.9549
2020-09-30,2.9447
2020-10-01,2.8967
2020-10-02,2.8667
2020-10-03,2.6231
2020-10-04,2.542
2020-10-05,2.5181
2020-10-06,2.6486
2020-10-07,2.1721
2020-10-08,2.3001
2020-10-09,2.3686
2020-10-10,2.5274
2020-10-11,2.3988
2020-10-12,2.4228
2020-10-13,2.5826
2020-10-14,2.4061
2020-10-15,2.3108
2020-10-16,2.2648
2020-10-17,2.1374
2020-10-18,2.2031
2020-10-19,2.2137
2020-10-20,2.0552
2020-10-21,1.8873
2020-10-22,1.8868
2020-10-23,1.9566
2020-10-24,1.9652
2020-10-25,1.9175
2020-10-26,1.7925
2020-10-27,1.6771
2020-10-28,1.7084
2020-10-29,1.5166
2020-10-30,1.4328
2020-10-31,1.4383
2020-11-01,1.5497
2020-11-02,1.6076
2020-11-03,1.4729
2020-11-04,1.4123
2020-11-05,1.3895
2020-11-06,1.403
2020-11-07,1.9069
2020-11-08,2.0264
2020-11-09,2.1515
2020-11-10,2.0383
2020-11-11,2.2665
2020-11-12,2.0
2020-11-13,1.9089
2020-11-14,2.0222
2020-11-15,1.9204
2020-11-16,2.039
2020-11-17,2.2665
2020-11-18,2.1962
2020-11-19,2.1122
2020-11-20,2.0841
2020-11-21,2.0999
2020-11-22,2.3825
2020-11-23,2.161
2020-11-24,2.2786
2020-11-25,2.2795
2020-11-26,2.2653
2020-11-27,1.9117
2020-11-28,1.8644
2020-11-29,1.8858
2020-11-30,1.9184
2020-12-01,1.9641
2020-12-02,1.9702
2020-12-03,2.119
2020-12-04,2.0967
2020-12-05,1.8507
2020-12-06,1.9795
2020-12-07,1.8515
2020-12-08,1.8301
2020-12-09,1.66
2020-12-10,1.6599
2020-12-11,1.5739
2020-12-12,1.4368
2020-12-13,1.4909
2020-12-14,1.5651
2020-12-15,1.594
2020-12-16,1.7577
2020-12-17,1.78
2020-12-18,1.6769
2020-12-19,1.6987
2020-12-20,1.6706
2020-12-21,1.5605
2020-12-22,1.5354
2020-12-23,1.49
2020-12-24,1.1987
2020-12-25,1.3641
2020-12-26,1.4488
2020-12-27,1.324
2020-12-28,1.3041
2020-12-29,1.5187
2020-12-30,1.6734
2020-12-31,1.5337
2021-01-01,1.5088
2021-01-02,1.8421
2021-01-03,1.7998
2021-01-04,2.1789
2021-01-05,2.4911
2021-01-06,2.1636
2021-01-07,1.9404
2021-01-08,2.3655
2021-01-09,3.212
2021-01-10,3.3734
2021-01-11,3.4455
2021-01-12,3.1016
2021-01-13,3.6354
2021-01-14,3.5243
2021-01-15,3.2921
2021-01-16,3.2479
2021-01-17,3.4251
2021-01-18,3.8243
2021-01-19,3.7873
2021-01-20,3.6288
2021-01-21,3.7199
2021-01-22,2.9893
2021-01-23,3.3302
2021-01-24,3.5018
2021-01-25,3.6287
2021-01-26,3.7036
2021-01-27,4.0418
2021-01-28,3.664
2021-01-29,3.8092
2021-01-30,3.8301
2021-01-31,4.228
2021-02-01,4.2568
2021-02-02,4.6148
2021-02-03,5.243
2021-02-04,5.7339
2021-02-05,6.4181
2021-02-06,6.7001
2021-02-07,6.1219
2021-02-08,6.6931
2021-02-09,7.8651
2021-02-10,7.8005
2021-02-11,9.0897
2021-02-12,9.2058
2021-02-13,9.2007
2021-02-14,8.7448
2021-02-15,8.7234
2021-02-16,8.866
2021-02-17,8.3035
2021-02-18,8.2412
2021-02-19,8.988
2021-02-20,11.4845
2021-02-21,9.9849
2021-02-22,11.0738
2021-02-23,14.4176
2021-02-24,15.2389
2021-02-25,17.1745
2021-02-26,13.8565
2021-02-27,13.5864
2021-02-28,13.1853
2021-03-01,13.08
2021-03-02,14.9989
2021-03-03,13.9546
2021-03-04,14.0936
2021-03-05,13.0649
2021-03-06,12.5507
2021-03-07,13.0443
2021-03-08,13.8174
2021-03-09,13.608
2021-03-10,14.85
2021-03-11,14.2011
2021-03-12,16.0519
2021-03-13,14.5532
2021-03-14,15.2902
2021-03-15,14.461
2021-03-16,14.1586
2021-03-17,13.6379
2021-03-18,14.1987
2021-03-19,14.2153
2021-03-20,14.1588
2021-03-21,14.1788
2021-03-22,14.3372
2021-03-23,14.7962
2021-03-24,14.1433
2021-03-25,13.5844
2021-03-26,12.9789
2021-03-27,14.7751
2021-03-28,16.4516
2021-03-29,18.0645
2021-03-30,18.9504
2021-03-31,19.0645
2021-04-01,19.3818
2021-04-02,19.0443
2021-04-03,19.7513
2021-04-04,22.4672
2021-04-05,23.7755
2021-04-06,22.9876
2021-04-07,25.0548
2021-04-08,26.537
2021-04-09,26.9261
2021-04-10,27.6194
2021-04-11,26.7993
2021-04-12,27.8598
2021-04-13,28.5266
2021-04-14,27.4571
2021-04-15,26.4182
2021-04-16,27.7946
2021-04-17,25.2926
2021-04-18,24.8517
2021-04-19,32.3324
2021-04-20,31.5303
2021-04-21,31.6939
2021-04-22,32.5965
2021-04-23,38.8718
2021-04-24,37.3018
2021-04-25,40.8525
2021-04-26,47.395
2021-04-27,43.884
2021-04-28,43.147
2021-04-29,44.831
2021-04-30,42.452
2021-05-01,42.786
2021-05-02,49.646
2021-05-03,46.926
2021-05-04,45.935
2021-05-05,42.636
2021-05-06,44.965
2021-05-07,43.496
2021-05-08,43.154
2021-05-09,45.632
2021-05-10,44.33
2021-05-11,42.868
2021-05-12,44.579
2021-05-13,43.394
2021-05-14,41.051
2021-05-15,42.697
2021-05-16,43.462
2021-05-17,46.85
2021-05-18,46.747
2021-05-19,55.969
2021-05-20,34.987
2021-05-21,44.367
2021-05-22,38.925
2021-05-23,31.222
2021-05-24,24.53
2021-05-25,31.42
2021-05-26,29.985
2021-05-27,35.427
2021-05-28,33.761
2021-05-29,28.993
2021-05-30,27.407
2021-05-31,28.573
2021-06-01,32.759
2021-06-02,30.931
2021-06-03,33.994
2021-06-04,39.599
2021-06-05,37.356
2021-06-06,39.663
2021-06-07,42.2
2021-06-08,38.2
2021-06-09,41.245
2021-06-10,42.032
2021-06-11,41.091
2021-06-12,36.131
2021-06-13,36.492
2021-06-14,38.713
2021-06-15,39.7
2021-06-16,39.513
2021-06-17,39.73
2021-06-18,39.259
2021-06-19,36.802
2021-06-20,35.195
2021-06-21,35.248
2021-06-22,26.597
2021-06-23,26.957
2021-06-24,30.835
2021-06-25,31.144
2021-06-26,28.619
2021-06-27,29.691
2021-06-28,31.883
2021-06-29,33.018
2021-06-30,33.974
2021-07-01,35.51
2021-07-02,33.27
2021-07-03,34.001
2021-07-04,34.497
2021-07-05,34.278
2021-07-06,32.908
2021-07-07,34.221
2021-07-08,36.667
2021-07-09,33.134
2021-07-10,33.315
2021-07-11,31.716
2021-07-12,32.173
2021-07-13,30.77
2021-07-14,29.154
2021-07-15,31.365
2021-07-16,28.562
2021-07-17,26.269
2021-07-18,26.789
2021-07-19,26.679
2021-07-20,24.524
2021-07-21,23.484
2021-07-22,26.706
2021-07-23,27.7
2021-07-24,28.53
2021-07-25,28.626
2021-07-26,28.247
2021-07-27,28.183
2021-07-28,28.119
2021-07-29,27.891
2021-07-30,31.238
2021-07-31,32.354
2021-08-01,36.742
2021-08-02,34.178
2021-08-03,33.177
2021-08-04,34.094
2021-08-05,35.757
2021-08-06,37.354
2021-08-07,39.502
2021-08-08,39.454
2021-08-09,37.653
2021-08-10,38.646
2021-08-11,40.639
2021-08-12,41.619
2021-08-13,41.105
2021-08-14,44.859
2021-08-15,44.124
2021-08-16,53.515
2021-08-17,62.042
2021-08-18,64.135
2021-08-19,72.659
2021-08-20,72.8
2021-08-21,78.684
2021-08-22,73.852
2021-08-23,72.751
2021-08-24,75.647
2021-08-25,70.519
2021-08-26,71.982
2021-08-27,74.92
2021-08-28,87.98
2021-08-29,96.17
2021-08-30,94.23
2021-08-31,110.26
2021-09-01,108.27
2021-09-02,110.71
2021-09-03,128.2
2021-09-04,146.36
2021-09-05,138.88
2021-09-06,141.98
2021-09-07,164.19
2021-09-08,173.49
2021-09-09,191.02
2021-09-10,187.89
2021-09-11,179.6
2021-09-12,179.05
2021-09-13,174.31
2021-09-14,169.54
2021-09-15,158.72
2021-09-16,158.77
2021-09-17,152.3
2021-09-18,147.59
2021-09-19,169.22
2021-09-20,152.78
2021-09-21,132.77
2021-09-22,124.3
2021-09-23,148.02
2021-09-24,149.9
2021-09-25,139.11
2021-09-26,136.05
2021-09-27,135.7
2021-09-28,136.34
2021-09-29,132.22
2021-09-30,135.24
2021-10-01,141.38
2021-10-02,161.62
2021-10-03,169.0
2021-10-04,172.99
2021-10-05,167.13
2021-10-06,164.64
2021-10-07,153.9
2021-10-08,154.26
2021-10-09,158.88
2021-10-10,156.8
2021-10-11,147.56
2021-10-12,144.79
2021-10-13,152.35
2021-10-14,148.05
2021-10-15,150.01
2021-10-16,163.15
2021-10-17,157.54
2021-10-18,160.11
2021-10-19,157.12
2021-10-20,155.77
2021-10-21,176.72
2021-10-22,190.46
2021-10-23,196.29
2021-10-24,197.75
2021-10-25,202.15
2021-10-26,209.73
2021-10-27,199.87
2021-10-28,184.45
2021-10-29,195.37
2021-10-30,200.36
2021-10-31,195.69
