date,price
2018-05-04,0.5
2018-05-05,0.8898
2018-05-06,0.9028
2018-05-07,0.86482
2018-05-08,0.8249
2018-05-09,0.80667
2018-05-10,0.79481
2018-05-11,0.7492
2018-05-12,0.67376
2018-05-13,0.68192
2018-05-14,0.72999
2018-05-15,0.72695
2018-05-16,0.689
2018-05-17,0.70942
2018-05-18,0.65849
2018-05-19,0.67698
2018-05-20,0.67483
2018-05-21,0.6994
2018-05-22,0.67612
2018-05-23,0.63782
2018-05-24,0.59053
2018-05-25,0.62966
2018-05-26,0.60596
2018-05-27,0.60907
2018-05-28,0.60417
2018-05-29,0.54689
2018-05-30,0.5997
2018-05-31,0.60051
2018-06-01,0.6114
2018-06-02,0.62236
2018-06-03,0.64285
2018-06-04,0.6901
2018-06-05,0.65508
2018-06-06,0.67507
2018-06-07,0.6738
2018-06-08,0.6777
2018-06-09,0.67211
2018-06-10,0.65687
2018-06-11,0.58202
2018-06-12,0.59901
2018-06-13,0.5556
2018-06-14,0.52863
2018-06-15,0.55765
2018-06-16,0.53224
2018-06-17,0.53232
2018-06-18,0.52669
2018-06-19,0.53835
2018-06-20,0.54833
2018-06-21,0.53919
2018-06-22,0.5342
2018-06-23,0.48287
2018-06-24,0.48963
2018-06-25,0.47418
2018-06-26,0.48125
2018-06-27,0.45218
2018-06-28,0.47042
2018-06-29,0.4463
2018-06-30,0.45346
2018-07-01,0.46797
2018-07-02,0.46222
2018-07-03,0.48913
2018-07-04,0.48469
2018-07-05,0.49155
2018-07-06,0.47772
2018-07-07,0.47644
2018-07-08,0.4852
2018-07-09,0.47872
2018-07-10,0.4728
2018-07-11,0.44247
2018-07-12,0.449
2018-07-13,0.43706
2018-07-14,0.43761
2018-07-15,0.43864
2018-07-16,0.44695
2018-07-17,0.48173
2018-07-18,0.50651
2018-07-19,0.48869
2018-07-20,0.47703
2018-07-21,0.4444
2018-07-22,0.45467
2018-07-23,0.44859
2018-07-24,0.4452
2018-07-25,0.45741
2018-07-26,0.45983
2018-07-27,0.44878
2018-07-28,0.4555
2018-07-29,0.45643
2018-07-30,0.45315
2018-07-31,0.44616
2018-08-01,0.4353
2018-08-02,0.44673
2018-08-03,0.43021
2018-08-04,0.44097
2018-08-05,0.42984
2018-08-06,0.43437
2018-08-07,0.41328
2018-08-08,0.37863
2018-08-09,0.33197
2018-08-10,0.3441
2018-08-11,0.31897
2018-08-12,0.29708
2018-08-13,0.29575
2018-08-14,0.2743
2018-08-15,0.2728
2018-08-16,0.28
2018-08-17,0.29161
2018-08-18,0.36721
2018-08-19,0.32848
2018-08-20,0.34201
2018-08-21,0.315
2018-08-22,0.33398
2018-08-23,0.31849
2018-08-24,0.3263
2018-08-25,0.32647
2018-08-26,0.32759
2018-08-27,0.32277
2018-08-28,0.339
2018-08-29,0.35067
2018-08-30,0.34494
2018-08-31,0.3347
2018-09-01,0.3353
2018-09-02,0.34698
2018-09-03,0.34237
2018-09-04,0.33491
2018-09-05,0.33116
2018-09-06,0.27899
2018-09-07,0.30182
2018-09-08,0.28686
2018-09-09,0.27665
2018-09-10,0.27699
2018-09-11,0.27
2018-09-12,0.26349
2018-09-13,0.26959
2018-09-14,0.27892
2018-09-15,0.2761
2018-09-16,0.2803
2018-09-17,0.28122
2018-09-18,0.2706
2018-09-19,0.31898
2018-09-20,0.32718
2018-09-21,0.44877
2018-09-22,0.56399
2018-09-23,0.57249
2018-09-24,0.5719
2018-09-25,0.49235
2018-09-26,0.52633
2018-09-27,0.51343
2018-09-28,0.54305
2018-09-29,0.54026
2018-09-30,0.56875
2018-10-01,0.58257
2018-10-02,0.57734
2018-10-03,0.51692
2018-10-04,0.52982
2018-10-05,0.52921
2018-10-06,0.52098
2018-10-07,0.4893
2018-10-08,0.4826
2018-10-09,0.49302
2018-10-10,0.48171
2018-10-11,0.46632
2018-10-12,0.38319
2018-10-13,0.42071
2018-10-14,0.42259
2018-10-15,0.40951
2018-10-16,0.46183
2018-10-17,0.48352
2018-10-18,0.48383
2018-10-19,0.46848
2018-10-20,0.46103
2018-10-21,0.46772
2018-10-22,0.46458
2018-10-23,0.46163
2018-10-24,0.47005
2018-10-25,0.46401
2018-10-26,0.46351
2018-10-27,0.46657
2018-10-28,0.4601
2018-10-29,0.46483
2018-10-30,0.44554
2018-10-31,0.44734
2018-11-01,0.45418
