date,price
2019-04-17,3.06
2019-04-18,2.3745768
2019-04-19,2.26833333
2019-04-20,2.24452765
2019-04-21,2.26253846
2019-04-22,2.167125
2019-04-23,1.9835
2019-04-24,1.78958333
2019-04-25,1.61779731
2019-04-26,1.35314286
2019-04-27,1.39533333
2019-04-28,1.40653333
2019-04-29,1.30457778
2019-04-30,1.44814286
2019-05-01,1.25
2019-05-02,1.375
2019-05-03,1.34849544
2019-05-04,1.39508293
2019-05-05,1.27668651
2019-05-06,1.13333333
2019-05-07,1.07909091
2019-05-08,1.0775
2019-05-09,0.9925
2019-05-10,0.89
2019-05-11,0.90705508
2019-05-12,0.84166667
2019-05-13,1.00995614
2019-05-14,0.82285
2019-05-15,0.85154955
2019-05-16,1.015
2019-05-17,0.86571429
2019-05-18,0.98972222
2019-05-19,1.02916667
2019-05-20,0.82666667
2019-05-21,0.83125
2019-05-22,0.94071429
2019-05-23,0.81375
2019-05-24,0.712
2019-05-25,0.58373529
2019-05-26,0.52689386
2019-05-27,0.54894815
2019-05-28,0.488
2019-05-29,0.4815
2019-05-30,0.45501401
2019-05-31,0.38506667
2019-06-01,0.46397971
2019-06-02,0.435
2019-06-03,0.51733264
2019-06-04,0.545
2019-06-05,0.4056129
2019-06-06,0.39400412
2019-06-07,0.34502663
2019-06-08,0.37149806
2019-06-09,0.43572
2019-06-10,0.65158354
2019-06-11,0.31204545
2019-06-12,0.3715
2019-06-13,0.35827586
2019-06-14,0.31774286
2019-06-15,0.32264706
2019-06-16,0.30882353
2019-06-17,0.33911765
2019-06-18,0.37307059
2019-06-19,0.363
2019-06-20,0.36485185
2019-06-21,0.387375
2019-06-22,0.35055556
2019-06-23,0.3455
2019-06-24,0.3225
2019-06-25,0.29727273
2019-06-26,0.2984127
2019-06-27,0.32260684
2019-06-28,0.30566667
2019-06-29,0.31744286
2019-06-30,0.3168
2019-07-01,0.27388889
2019-07-02,0.30666667
2019-07-03,0.34916667
2019-07-04,0.28818182
2019-07-05,0.255
2019-07-06,0.27954272
2019-07-07,0.25410819
2019-07-08,0.24890313
2019-07-09,0.23112466
2019-07-10,0.19766667
2019-07-11,0.19714286
2019-07-12,0.24181036
2019-07-13,0.27454941
2019-07-14,0.21226974
2019-07-15,0.21666667
2019-07-16,0.19445185
2019-07-17,0.21670211
2019-07-18,0.2395
2019-07-19,0.19951429
2019-07-20,0.23000414
2019-07-21,0.22824494
2019-07-22,0.22378571
2019-07-23,0.16883362
2019-07-24,0.22764286
2019-07-25,0.25399874
2019-07-26,0.24642857
2019-07-27,0.22769735
2019-07-28,0.20197715
2019-07-29,0.16798478
2019-07-30,0.24612169
2019-07-31,0.20031469
2019-08-01,0.2156
2019-08-02,0.18144004
2019-08-03,0.31844741
2019-08-04,0.22162988
2019-08-05,0.168
2019-08-06,0.22348722
2019-08-07,0.21866657
2019-08-08,0.19311111
2019-08-09,0.17084821
2019-08-10,0.19277778
2019-08-11,0.22372992
2019-08-12,0.19250368
2019-08-13,0.23642857
2019-08-14,0.2669
2019-08-15,0.51942857
2019-08-16,0.55699627
2019-08-17,0.55584134
2019-08-18,0.51148148
2019-08-19,0.51
2019-08-20,0.58142222
2019-08-21,0.56055556
2019-08-22,0.4845283
2019-08-23,0.49851832
2019-08-24,0.49328858
2019-08-25,0.475
2019-08-26,0.41312
2019-08-27,0.45712208
2019-08-28,0.5068
2019-08-29,0.4093
2019-08-30,0.47758
2019-08-31,0.44098097
2019-09-01,0.48208342
2019-09-02,0.47405891
2019-09-03,0.4018308
2019-09-04,0.432
2019-09-05,0.411
2019-09-06,0.336
2019-09-07,0.4326212
2019-09-08,0.44236477
2019-09-09,0.40758889
2019-09-10,0.37375
2019-09-11,0.44199603
2019-09-12,0.453875
2019-09-13,0.37583085
2019-09-14,0.38
2019-09-15,0.38493501
2019-09-16,0.32801429
2019-09-17,0.3706
2019-09-18,0.3695
2019-09-19,0.3176
2019-09-20,0.37470688
2019-09-21,0.29293107
2019-09-22,0.33667304
2019-09-23,0.35417222
2019-09-24,0.34968704
2019-09-25,0.31672669
2019-09-26,0.35433333
2019-09-27,0.36
2019-09-28,0.3399043
2019-09-29,0.34494019
2019-09-30,0.31776351
2019-10-01,0.330309
2019-10-02,0.32675
2019-10-03,0.3875
2019-10-04,0.36701149
2019-10-05,0.30698554
2019-10-06,0.34092308
2019-10-07,0.37777778
2019-10-08,0.38366667
2019-10-09,0.38
2019-10-10,0.36219048
2019-10-11,0.4
2019-10-12,0.38
2019-10-13,0.372
2019-10-14,0.36
2019-10-15,0.34
2019-10-16,0.38
2019-10-17,0.38
2019-10-18,0.33400538
2019-10-19,0.38666667
2019-10-20,0.37
2019-10-21,0.37
2019-10-22,0.296
2019-10-23,0.37
2019-10-24,0.37
2019-10-25,0.37
2019-10-26,0.38
2019-10-27,4.08335
2019-10-28,7.88888889
2019-10-29,7.365
2019-10-30,7.4675
2019-10-31,7.68463415
2019-11-01,7.81125
2019-11-02,7.51303697
2019-11-03,6.99840485
2019-11-04,6.14795547
2019-11-05,4.96512346
2019-11-06,4.11792793
2019-11-07,4.09628889
2019-11-08,3.12099739
2019-11-09,2.81338741
2019-11-10,2.87415502
2019-11-11,2.8149535
2019-11-12,2.75552189
2019-11-13,3.23054688
2019-11-14,3.44103846
2019-11-15,3.3596453
2019-11-16,3.28564908
2019-11-17,3.50587309
2019-11-18,3.07523981
2019-11-19,2.77304839
2019-11-20,2.73067857
2019-11-21,2.7904877
2019-11-22,2.79032999
2019-11-23,2.98727679
2019-11-24,3.13895222
2019-11-25,3.16316928
2019-11-26,3.01461339
2019-11-27,2.79415278
2019-11-28,2.63459107
2019-11-29,2.48053914
2019-11-30,2.4562978
2019-12-01,2.38643099
2019-12-02,2.22584772
2019-12-03,2.08700014
2019-12-04,1.86589114
2019-12-05,1.83293312
2019-12-06,1.61049472
2019-12-07,1.49924922
2019-12-08,1.44151885
2019-12-09,1.44442376
2019-12-10,1.30817832
2019-12-11,2.31689562
2019-12-12,1.27469501
2019-12-13,1.11964421
2019-12-14,1.03064677
2019-12-15,1.00665823
2019-12-16,0.92535098
2019-12-17,0.8865405
2019-12-18,0.87425327
2019-12-19,0.82792569
2019-12-20,0.85959259
2019-12-21,0.86722204
2019-12-22,0.85667395
2019-12-23,0.85983025
2019-12-24,1.46454824
2019-12-25,1.32210196
2019-12-26,1.28553561
2019-12-27,1.23445958
2019-12-28,1.88727086
2019-12-29,2.26648472
2019-12-30,2.32978773
2019-12-31,2.40647048
2020-01-01,2.4077867
2020-01-02,3.97401007
2020-01-03,2.08048961
2020-01-04,2.00030559
2020-01-05,1.8769459
2020-01-06,1.81348806
2020-01-07,1.26368194
2020-01-08,1.06213689
2020-01-09,1.07861405
2020-01-10,1.16063376
2020-01-11,1.09250734
2020-01-12,1.05204485
2020-01-13,0.99254338
2020-01-14,1.14980788
2020-01-15,1.20804653
2020-01-16,1.20597633
2020-01-17,1.21377334
2020-01-18,1.17125839
2020-01-19,1.08547978
2020-01-20,1.1323321
2020-01-21,1.10701996
2020-01-22,1.2112312
2020-01-23,1.42515299
2020-01-24,1.88743648
2020-01-25,1.72699025
2020-01-26,1.57395278
2020-01-27,2.36484173
2020-01-28,1.5735209
2020-01-29,1.54009993
2020-01-30,1.54108381
2020-01-31,1.91738416
2020-02-01,1.93739413
2020-02-02,1.63985333
2020-02-03,1.70513176
2020-02-04,2.11900523
2020-02-05,1.63976677
2020-02-06,1.60860305
2020-02-07,1.56034134
2020-02-08,1.51913255
2020-02-09,1.54868397
2020-02-10,1.54465991
2020-02-11,1.4156621
2020-02-12,1.4261438
2020-02-13,1.38490354
2020-02-14,1.38617686
2020-02-15,1.37317875
2020-02-16,1.38398126
2020-02-17,1.3813739
2020-02-18,1.402284
2020-02-19,1.4087572
2020-02-20,1.41439829
2020-02-21,1.66267689
2020-02-22,1.66148625
2020-02-23,1.78992687
2020-02-24,1.69322449
2020-02-25,1.70458807
2020-02-26,1.58996886
2020-02-27,1.62827493
2020-02-28,1.62021011
2020-02-29,1.70363966
2020-03-01,1.70115902
2020-03-02,1.60477187
2020-03-03,1.58763106
2020-03-04,1.54456144
2020-03-05,1.48411883
2020-03-06,1.43800429
2020-03-07,1.39510805
2020-03-08,1.44055215
2020-03-09,1.38785848
2020-03-10,1.37387197
2020-03-11,1.25599649
2020-03-12,1.058605
2020-03-13,1.15243764
2020-03-14,1.10627781
2020-03-15,1.10789366
2020-03-16,1.03813868
2020-03-17,1.0345915
2020-03-18,1.01540076
2020-03-19,1.00595887
2020-03-20,1.01441129
2020-03-21,0.96126553
2020-03-22,1.00455806
2020-03-23,0.97638727
2020-03-24,0.91811761
2020-03-25,0.93954025
2020-03-26,0.92622445
2020-03-27,0.91725523
2020-03-28,0.91777955
2020-03-29,0.95088539
2020-03-30,0.91945892
2020-03-31,0.9068889
2020-04-01,0.90707042
2020-04-02,0.90850891
2020-04-03,0.86278568
2020-04-04,0.85754377
2020-04-05,0.86502538
2020-04-06,0.86733542
2020-04-07,0.84349808
2020-04-08,0.8449381
2020-04-09,0.84704374
2020-04-10,0.82155526
2020-04-11,0.79716758
2020-04-12,0.79937799
2020-04-13,0.74623494
2020-04-14,0.72368323
2020-04-15,0.75628631
2020-04-16,0.74770679
2020-04-17,0.70267646
2020-04-18,0.70524044
2020-04-19,0.67457154
2020-04-20,0.6514989
2020-04-21,0.60877678
2020-04-22,0.5731371
2020-04-23,0.55599248
2020-04-24,0.55763226
2020-04-25,0.51546743
2020-04-26,0.48169492
2020-04-27,0.4574359
2020-04-28,0.44568627
2020-04-29,0.4797619
2020-04-30,0.47967737
2020-05-01,0.47213382
2020-05-02,0.43029168
2020-05-03,0.43482342
2020-05-04,0.38361499
2020-05-05,0.36795226
2020-05-06,0.340003
2020-05-07,0.3385305
2020-05-08,0.36148465
2020-05-09,0.36608505
2020-05-10,0.36288499
2020-05-11,0.40165326
2020-05-12,0.40510439
2020-05-13,0.35912093
2020-05-14,0.34878873
2020-05-15,0.35411464
2020-05-16,0.35000701
2020-05-17,0.34347862
2020-05-18,0.35353093
2020-05-19,0.34520433
2020-05-20,0.35890571
2020-05-21,0.36731836
2020-05-22,0.36310789
2020-05-23,0.361604
2020-05-24,0.35873867
2020-05-25,0.35200317
2020-05-26,0.36092105
2020-05-27,0.37
2020-05-28,1.40402
2020-05-29,9.54931795
2020-05-30,7.91247967
2020-05-31,7.27956522
2020-06-01,5.599475
2020-06-02,4.59400099
2020-06-03,4.61297429
2020-06-04,4.42947165
2020-06-05,4.43921112
2020-06-06,3.97204649
2020-06-07,3.79584709
2020-06-08,3.52904811
2020-06-09,3.13251488
2020-06-10,2.95889922
2020-06-11,2.77917526
2020-06-12,2.57393086
2020-06-13,2.58497865
2020-06-14,2.55921629
2020-06-15,2.46072642
2020-06-16,2.37208688
2020-06-17,2.34874473
2020-06-18,2.35417177
2020-06-19,3.14793939
2020-06-20,4.33418714
2020-06-21,4.54152552
2020-06-22,4.31218919
2020-06-23,3.78670548
2020-06-24,3.64357727
2020-06-25,3.62811616
2020-06-26,3.51463441
2020-06-27,3.2582973
2020-06-28,3.60078333
2020-06-29,3.54375806
2020-06-30,3.85409206
2020-07-01,3.35029825
2020-07-02,3.52927333
2020-07-03,2.86788281
2020-07-04,3.51577778
2020-07-05,3.397125
2020-07-06,3.10195714
2020-07-07,3.17176923
2020-07-08,3.24142857
2020-07-09,3.14792308
2020-07-10,3.166
2020-07-11,3.086
2020-07-12,3.039
2020-07-13,2.2115
2020-07-14,2.595
2020-07-15,2.46454545
2020-07-16,2.48111111
2020-07-17,2.752
2020-07-18,2.54205263
2020-07-19,2.41864773
2020-07-20,2.45947917
2020-07-21,2.56186111
2020-07-22,2.68774497
2020-07-23,2.33195833
2020-07-24,2.39348485
2020-07-25,2.29653846
2020-07-26,2.08761905
2020-07-27,2.12126667
2020-07-28,1.999875
2020-07-29,2.0191
2020-07-30,2.07071429
2020-07-31,1.96994203
2020-08-01,1.99990476
2020-08-02,1.99418519
2020-08-03,1.97224638
2020-08-04,1.93382353
2020-08-05,2.32484211
2020-08-06,1.81146667
2020-08-07,1.84289
2020-08-08,1.88922619
2020-08-09,2.02307895
2020-08-10,1.69219333
2020-08-11,1.7485
2020-08-12,1.7668881
2020-08-13,1.64819292
2020-08-14,1.88
2020-08-15,1.74866667
2020-08-16,1.75973333
2020-08-17,1.79288889
2020-08-18,1.67583333
2020-08-19,1.82333333
2020-08-20,1.766
2020-08-21,1.70466667
2020-08-22,1.63941176
2020-08-23,1.61785714
2020-08-24,1.72770833
2020-08-25,1.69111111
2020-08-26,1.34454545
2020-08-27,1.67
2020-08-28,1.95
2020-08-29,1.66555556
2020-08-30,1.57821429
2020-08-31,1.45833333
2020-09-01,1.5125
2020-09-02,1.59777778
2020-09-03,1.51
2020-09-04,1.4525
2020-09-05,1.55538462
2020-09-06,1.38416667
2020-09-07,1.38
2020-09-08,1.46666667
2020-09-09,1.54098039
2020-09-10,1.46
2020-09-11,1.60444444
2020-09-12,1.40125
2020-09-13,1.45691667
2020-09-14,1.35133333
2020-09-15,1.34
2020-09-16,1.41
2020-09-17,1.34208333
2020-09-18,1.53363636
2020-09-19,1.40181818
2020-09-20,1.408
2020-09-21,1.337
2020-09-22,1.27317647
2020-09-23,1.38479487
2020-09-24,1.41125
2020-09-25,1.44314286
2020-09-26,1.31421053
2020-09-27,1.28607143
2020-09-28,1.27309717
2020-09-29,1.27125
2020-09-30,1.36233333
2020-10-01,1.215
2020-10-02,1.27857143
2020-10-03,1.37988324
2020-10-04,1.30866667
2020-10-05,1.41857143
2020-10-06,1.4164
2020-10-07,1.4275
2020-10-08,1.28938519
2020-10-09,1.1918
2020-10-10,1.35128571
2020-10-11,1.28
2020-10-12,1.2769097
2020-10-13,1.37272727
2020-10-14,1.40636364
2020-10-15,1.22727273
2020-10-16,1.27009091
2020-10-17,1.20264286
2020-10-18,1.594
2020-10-19,1.364125
2020-10-20,1.16166667
2020-10-21,1.12666667
2020-10-22,1.10869231
2020-10-23,1.19968182
2020-10-24,1.43125
2020-10-25,1.22333333
2020-10-26,1.18295
2020-10-27,1.14
2020-10-28,1.17040909
2020-10-29,1.2804375
2020-10-30,1.41448148
2020-10-31,1.27061667
2020-11-01,1.23368681
2020-11-02,1.34973232
2020-11-03,1.29315556
2020-11-04,1.26545455
2020-11-05,1.26459524
2020-11-06,1.18152941
2020-11-07,1.21737037
2020-11-08,1.29291667
2020-11-09,1.18641667
2020-11-10,1.32828571
2020-11-11,1.58375
2020-11-12,1.15454545
2020-11-13,1.41968519
2020-11-14,1.17663333
2020-11-15,1.07333333
2020-11-16,0.99
2020-11-17,1.10824167
2020-11-18,1.1975
2020-11-19,1.56615385
2020-11-20,1.137
2020-11-21,1.17071429
2020-11-22,1.3475
2020-11-23,1.16811111
2020-11-24,1.28375
2020-11-25,1.366
2020-11-26,1.24218
2020-11-27,1.11226667
2020-11-28,1.02031515
2020-11-29,1.00493333
2020-11-30,1.0440625
2020-12-01,1.00289474
2020-12-02,0.91205882
2020-12-03,0.90085227
2020-12-04,0.9245
2020-12-05,0.81947302
2020-12-06,0.894
2020-12-07,0.85936
2020-12-08,0.93642857
2020-12-09,0.93391667
2020-12-10,0.80714286
2020-12-11,0.811
2020-12-12,0.85444444
2020-12-13,0.85384615
2020-12-14,0.84714286
2020-12-15,0.88941667
2020-12-16,0.86461538
2020-12-17,0.8556
2020-12-18,0.82
2020-12-19,0.87806452
2020-12-20,0.83276984
2020-12-21,0.8538
2020-12-22,0.82619298
2020-12-23,0.68
2020-12-24,1.81125
2020-12-25,3.281
2020-12-26,3.17818615
2020-12-27,3.37855556
2020-12-28,3.51236945
2020-12-29,3.22306977
2020-12-30,2.97766374
2020-12-31,3.11219859
2021-01-01,3.13174971
2021-01-02,3.38786491
2021-01-03,3.50318858
2021-01-04,3.19564632
2021-01-05,3.13007626
2021-01-06,3.19845543
2021-01-07,2.88821515
2021-01-08,2.783884
2021-01-09,2.71664
2021-01-10,2.72155583
2021-01-11,2.71562698
2021-01-12,2.63942714
2021-01-13,2.66792145
2021-01-14,2.36554779
2021-01-15,2.52502171
2021-01-16,2.54412487
2021-01-17,2.45257682
2021-01-18,2.5170104
2021-01-19,2.8371275
2021-01-20,2.45754762
2021-01-21,2.40892041
2021-01-22,2.40843796
2021-01-23,2.45980833
2021-01-24,2.07601167
2021-01-25,2.0135285
2021-01-26,2.09566569
2021-01-27,2.03678907
2021-01-28,2.01911248
2021-01-29,2.27891565
2021-01-30,1.99012354
2021-01-31,1.85832544
2021-02-01,2.00561434
2021-02-02,1.67823447
2021-02-03,1.86484045
2021-02-04,1.64551417
2021-02-05,1.616343
2021-02-06,1.48104596
2021-02-07,1.67900076
2021-02-08,1.74796883
2021-02-09,1.48571809
2021-02-10,1.35823443
2021-02-11,1.75046272
2021-02-12,1.67989595
2021-02-13,1.53089538
2021-02-14,1.41649113
2021-02-15,1.61825135
2021-02-16,1.39314866
2021-02-17,1.41252341
2021-02-18,1.40826935
2021-02-19,1.56403535
2021-02-20,1.24929057
2021-02-21,1.31323677
2021-02-22,1.25634238
2021-02-23,1.25460113
2021-02-24,1.147051
2021-02-25,1.21899052
2021-02-26,1.13798032
2021-02-27,1.16967917
2021-02-28,0.98671236
2021-03-01,1.06618428
2021-03-02,0.9975904
2021-03-03,0.92958266
2021-03-04,0.93992102
2021-03-05,0.97002213
2021-03-06,0.82113853
2021-03-07,0.85618375
2021-03-08,0.83713269
2021-03-09,0.91707204
2021-03-10,0.82023457
2021-03-11,0.87511276
2021-03-12,0.82833667
2021-03-13,0.84553329
2021-03-14,0.93969103
2021-03-15,0.90466752
2021-03-16,0.78215152
2021-03-17,0.97173833
2021-03-18,0.79979957
2021-03-19,0.80188158
2021-03-20,0.85684897
2021-03-21,0.89298413
2021-03-22,0.88872134
2021-03-23,0.64833091
2021-03-24,0.59095823
2021-03-25,0.6037873
2021-03-26,0.8873357
