date,price
2017-03-30,0.0462037
2017-03-31,0.04436111
2017-04-01,0.04591667
2017-04-02,0.03087684
2017-04-03,0.06462778
2017-04-04,0.05462821
2017-04-05,0.04368056
2017-04-06,0.03843056
2017-04-07,0.04582639
2017-04-08,0.15125
2017-04-09,0.03257692
2017-04-10,0.03797068
2017-04-11,0.03783154
2017-04-12,0.0446875
2017-04-13,0.025
2017-04-14,0.0428125
2017-04-15,0.0391125
2017-04-16,0.05442708
2017-04-17,0.03440476
2017-04-18,0.04637356
2017-04-19,0.05216667
2017-04-20,0.03252222
2017-04-21,0.03154412
2017-04-22,0.05925926
2017-04-23,0.055
2017-04-24,0.04032273
2017-04-25,0.01457157
2017-04-26,0.018005
2017-04-27,0.03917124
2017-04-28,0.04333333
2017-04-29,0.02747723
2017-04-30,0.01769769
2017-05-01,0.05427631
2017-05-02,0.03534615
2017-05-03,0.02490385
2017-05-04,0.0178479
2017-05-05,0.03069989
2017-05-06,0.03542735
2017-05-07,0.02255656
2017-05-08,0.01727098
2017-05-09,0.0531339
2017-05-10,0.02498611
2017-05-11,0.03035714
2017-05-12,0.01342857
2017-05-13,0.03472222
2017-05-14,0.02056122
2017-05-15,0.02457143
2017-05-16,0.0462751
2017-05-17,0.03004762
2017-05-18,0.03291667
2017-05-19,0.02719048
2017-05-20,0.02875
2017-05-21,0.02491071
2017-05-22,0.03151786
2017-05-23,0.02111328
2017-05-24,0.01398214
2017-05-25,0.04857143
2017-05-26,0.02352273
2017-05-27,0.02198143
2017-05-28,0.02673611
2017-05-29,0.05721667
2017-05-30,0.01875
2017-05-31,0.0154
2017-06-01,0.02075
2017-06-02,0.007125
2017-06-03,0.0071875
2017-06-04,0.03545833
2017-06-05,0.03125
2017-06-06,0.02056818
2017-06-07,0.03660606
2017-06-08,0.03184615
2017-06-09,0.05625
2017-06-10,0.015
2017-06-11,0.0556
2017-06-12,0.02677083
2017-06-13,0.01339699
2017-06-14,0.0313085
2017-06-15,0.02612115
2017-06-16,0.02888889
2017-06-17,0.01233108
2017-06-18,0.02504545
2017-06-19,0.03976974
2017-06-20,0.03484259
2017-06-21,0.00831731
2017-06-22,0.03691176
2017-06-23,0.02960526
2017-06-24,0.02406486
2017-06-25,0.01828947
2017-06-26,0.01087963
2017-06-27,0.01011905
2017-06-28,0.03307018
2017-06-29,0.01575
2017-06-30,0.0470625
2017-07-01,0.0307619
2017-07-02,0.04148148
2017-07-03,0.03282353
2017-07-04,0.03197059
2017-07-05,0.02557143
2017-07-06,0.02263158
2017-07-07,0.04058333
2017-07-08,0.03947368
2017-07-09,0.04
2017-07-10,0.02666667
2017-07-11,0.0405
2017-07-12,0.04666667
2017-07-13,0.05083333
2017-07-14,0.05157895
2017-07-15,0.069925
2017-07-16,0.05526914
2017-07-17,0.05796667
2017-07-18,0.03552083
2017-07-19,0.04
2017-07-20,0.04109467
2017-07-21,0.03844552
2017-07-22,0.05285088
2017-07-23,0.02476333
2017-07-24,0.05534853
2017-07-25,0.03317789
2017-07-26,0.0219225
2017-07-27,0.02282778
2017-07-28,0.0134375
2017-07-29,0.0275
2017-07-30,0.02369792
2017-07-31,0.02928571
2017-08-01,0.02854167
2017-08-02,0.04422154
2017-08-03,0.02865385
2017-08-04,0.35433333
2017-08-05,0.05230769
2017-08-06,0.03416667
2017-08-07,0.03285714
2017-08-08,0.01622222
2017-08-09,0.027083
2017-08-10,0.02650794
2017-08-11,0.01999963
2017-08-12,0.019
2017-08-13,0.03365942
2017-08-14,0.03415647
2017-08-15,0.04030303
2017-08-16,0.04583333
2017-08-17,0.277625
2017-08-18,0.03363158
2017-08-19,0.02986111
2017-08-20,0.02823529
2017-08-21,0.01347222
2017-08-22,0.02211067
2017-08-23,0.022
2017-08-24,0.03191176
2017-08-25,0.01936508
2017-08-26,0.01333333
2017-08-27,0.02391304
2017-08-28,0.01394737
2017-08-29,0.03293548
2017-08-30,0.01788596
2017-08-31,0.01892778
2017-09-01,0.02624639
2017-09-02,0.02453686
2017-09-03,0.03317361
2017-09-04,0.02516667
2017-09-05,0.03095588
2017-09-06,0.02986111
2017-09-07,0.01458333
2017-09-08,0.01701754
2017-09-09,0.01753333
2017-09-10,0.02235196
2017-09-11,0.010625
2017-09-12,0.0194375
2017-09-13,0.01093939
2017-09-14,0.0147619
2017-09-15,0.02255
2017-09-16,0.01794138
2017-09-17,0.022725
2017-09-18,0.04198485
2017-09-19,0.01813175
2017-09-20,0.01952222
2017-09-21,0.02005217
2017-09-22,0.02807895
2017-09-23,0.03053846
2017-09-24,0.02594203
2017-09-25,0.00915789
2017-09-26,0.00961538
2017-09-27,0.028
2017-09-28,0.01913158
2017-09-29,0.01
2017-09-30,0.00960714
2017-10-01,0.01769565
2017-10-02,0.01806818
2017-10-03,0.02117647
2017-10-04,0.023783
2017-10-05,0.02261905
2017-10-06,0.01025
2017-10-07,0.02434568
2017-10-08,0.01893229
2017-10-09,0.02109375
2017-10-10,0.03115
2017-10-11,0.02053333
2017-10-12,0.01043478
2017-10-13,0.02285714
2017-10-14,0.01352
2017-10-15,0.0094913
2017-10-16,0.01441176
2017-10-17,0.01554
2017-10-18,0.02193182
2017-10-19,0.01653846
2017-10-20,0.020125
2017-10-21,0.01891053
2017-10-22,0.03138421
2017-10-23,0.05020909
2017-10-24,0.02074348
2017-10-25,0.02762778
2017-10-26,0.01859375
2017-10-27,0.02073529
2017-10-28,0.01598039
2017-10-29,0.01839286
2017-10-30,0.01582381
2017-10-31,0.02193571
2017-11-01,0.00910625
2017-11-02,0.01027778
2017-11-03,0.02321429
2017-11-04,0.01835
2017-11-05,0.01943548
2017-11-06,0.01235294
2017-11-07,0.013
2017-11-08,0.02252667
2017-11-09,0.019
2017-11-10,0.02085185
2017-11-11,0.02506522
2017-11-12,0.02227
2017-11-13,0.02415417
2017-11-14,0.02229167
2017-11-15,0.0225
2017-11-16,0.0125
2017-11-17,0.0173913
2017-11-18,0.02020968
2017-11-19,0.0176
2017-11-20,0.0318125
2017-11-21,0.02779412
2017-11-22,0.03325
2017-11-23,0.01414706
2017-11-24,0.0571893
2017-11-25,0.01983333
2017-11-26,0.01755357
2017-11-27,0.04660943
2017-11-28,0.0345
2017-11-29,0.01209259
2017-11-30,0.07266818
2017-12-01,0.07943961
2017-12-02,0.03382143
2017-12-03,0.01881818
2017-12-04,0.01073529
2017-12-05,0.03083333
2017-12-06,0.0125
2017-12-07,0.01631818
2017-12-08,0.03064286
2017-12-09,0.01972
2017-12-10,0.02422619
2017-12-11,0.02076923
2017-12-12,0.02023457
2017-12-13,0.01638889
2017-12-14,0.03054175
2017-12-15,0.02672268
2017-12-16,0.02142707
2017-12-17,0.02272464
2017-12-18,0.02024348
2017-12-19,0.02864773
2017-12-20,0.02461548
2017-12-21,0.02182042
2017-12-22,0.0258477
2017-12-23,0.0230728
2017-12-24,0.02950234
2017-12-25,0.03537933
2017-12-26,0.02613708
2017-12-27,0.01915137
2017-12-28,0.01863021
2017-12-29,0.0227066
2017-12-30,0.02168421
2017-12-31,0.01612505
2018-01-01,0.02165214
2018-01-02,0.01652179
2018-01-03,0.02304268
2018-01-04,0.02265351
2018-01-05,0.0273869
2018-01-06,0.02912813
2018-01-07,0.02641509
2018-01-08,0.02731897
2018-01-09,0.02148125
2018-01-10,0.02289674
2018-01-11,0.02883537
2018-01-12,0.20056019
2018-01-13,0.02875926
2018-01-14,0.02087755
2018-01-15,0.02571354
2018-01-16,0.02845161
2018-01-17,0.02897222
2018-01-18,0.02164103
2018-01-19,0.0246
2018-01-20,0.0305
2018-01-21,0.02465
2018-01-22,0.03438889
2018-01-23,0.04256034
2018-01-24,0.02972143
2018-01-25,0.03167593
2018-01-26,0.0486
2018-01-27,0.0350473
2018-01-28,0.03772727
2018-01-29,0.03733333
2018-01-30,0.02414773
2018-01-31,0.02732143
2018-02-01,0.02769231
2018-02-02,0.03529412
2018-02-03,0.02635
2018-02-04,0.01891667
2018-02-05,0.02329762
2018-02-06,0.02278704
2018-02-07,0.0188587
2018-02-08,0.02053571
2018-02-09,0.02023148
2018-02-10,0.02719531
2018-02-11,0.02125806
2018-02-12,0.01730157
2018-02-13,0.02001136
2018-02-14,0.026634
2018-02-15,0.0219381
2018-02-16,0.02296667
2018-02-17,0.01545
2018-02-18,0.01307436
2018-02-19,0.01687931
2018-02-20,0.02122105
2018-02-21,0.01758095
2018-02-22,0.0144
2018-02-23,0.01
2018-02-24,0.01457143
2018-02-25,0.01661515
2018-02-26,0.02
2018-02-27,0.023
2018-02-28,0.0202
2018-03-01,0.01552632
2018-03-02,0.0215
2018-03-03,0.015
2018-03-04,0.01946774
2018-03-05,0.02583333
2018-03-06,0.03027778
2018-03-07,0.03147368
2018-03-08,0.02608333
2018-03-09,0.0290625
2018-03-10,0.0146
2018-03-11,0.03745455
2018-03-12,0.0170625
2018-03-13,0.0196
2018-03-14,0.02390909
2018-03-15,0.0148125
2018-03-16,0.02
2018-03-17,0.04617647
2018-03-18,0.0365
2018-03-19,0.05333333
2018-03-20,0.01133333
2018-03-21,0.01615217
2018-03-22,0.02065455
2018-03-23,0.01592593
2018-03-24,0.022128
2018-03-25,0.03602029
2018-03-26,0.02563218
2018-03-27,0.01133846
2018-03-28,0.022
2018-03-29,0.0256679
2018-03-30,0.0105
2018-03-31,0.03182133
2018-04-01,0.13382353
2018-04-02,0.01810526
2018-04-03,0.028375
2018-04-04,0.1956679
2018-04-05,0.04821429
2018-04-06,0.13496
2018-04-07,0.01443556
2018-04-08,0.022475
2018-04-09,0.1094451
2018-04-10,0.47823556
2018-04-11,0.514375
2018-04-12,0.20350303
2018-04-13,0.15607143
2018-04-14,0.01716667
2018-04-15,0.32311538
2018-04-16,0.10497971
2018-04-17,0.02538462
2018-04-18,0.20041667
2018-04-19,0.2546963
2018-04-20,0.206
2018-04-21,0.25648148
2018-04-22,0.25288462
2018-04-23,0.11826087
2018-04-24,0.01875
2018-04-25,0.31657692
2018-04-26,0.20270455
2018-04-27,0.01572222
2018-04-28,0.02434242
2018-04-29,0.12455263
2018-04-30,0.1821
2018-05-01,0.03752941
2018-05-02,0.23578947
2018-05-03,0.02108333
2018-05-04,0.33828571
2018-05-05,0.2326
2018-05-06,0.1236875
2018-05-07,0.31709643
2018-05-08,0.02285111
2018-05-09,0.16226877
2018-05-10,0.28592816
2018-05-11,0.017
2018-05-12,0.16810404
2018-05-13,0.07617667
2018-05-14,0.11105556
2018-05-15,0.01215632
2018-05-16,0.08758611
2018-05-17,0.01430769
2018-05-18,0.18172092
2018-05-19,0.01152632
2018-05-20,0.17319231
2018-05-21,0.12694444
2018-05-22,0.04575
2018-05-23,0.07686957
2018-05-24,0.03809091
2018-05-25,0.13527778
2018-05-26,0.39514286
2018-05-27,0.07954444
2018-05-28,0.13538095
2018-05-29,0.19027273
2018-05-30,0.0265037
2018-05-31,0.0268
2018-06-01,0.34936364
2018-06-02,0.1119
2018-06-03,0.53655333
2018-06-04,0.18791667
2018-06-05,0.24222222
2018-06-06,0.31042667
2018-06-07,0.70269231
2018-06-08,0.22542857
2018-06-09,0.192
2018-06-10,0.2344
2018-06-11,0.2135
2018-06-12,0.07842857
2018-06-13,0.61875
2018-06-14,0.32225
2018-06-15,0.273
2018-06-16,0.05383333
2018-06-17,0.03404615
2018-06-18,0.13179444
2018-06-19,0.03255556
2018-06-20,0.15056875
2018-06-21,0.2209
2018-06-22,0.09735
2018-06-23,0.14450196
2018-06-24,0.0476
2018-06-25,0.2765
2018-06-26,0.0290625
2018-06-27,0.3242381
2018-06-28,0.2156875
2018-06-29,0.25957895
2018-06-30,0.28376923
2018-07-01,0.03323542
2018-07-02,0.09073725
2018-07-03,0.11875
2018-07-04,0.07068519
2018-07-05,0.16531111
2018-07-06,0.13110345
2018-07-07,0.14636
2018-07-08,0.18905104
2018-07-09,0.17590513
2018-07-10,0.02555882
2018-07-11,0.2054
2018-07-12,0.14885938
2018-07-13,0.08568929
2018-07-14,0.08771034
2018-07-15,0.23182
2018-07-16,0.29455528
2018-07-17,0.15022157
