date,price
2017-03-29,1.18639727
2017-03-30,1.15501756
2017-03-31,1.20843611
2017-04-01,1.22670846
2017-04-02,1.24706707
2017-04-03,1.2379035
2017-04-04,1.19779306
2017-04-05,1.19146906
2017-04-06,1.75711216
2017-04-07,1.23085292
2017-04-08,1.15780331
2017-04-09,1.15055683
2017-04-10,1.14920654
2017-04-11,1.15791685
2017-04-12,1.18568347
2017-04-13,1.18056704
2017-04-14,1.18075787
2017-04-15,1.15878377
2017-04-16,1.09116538
2017-04-17,1.13509841
2017-04-18,1.14769953
2017-04-19,1.10924197
2017-04-20,1.16462461
2017-04-21,1.62048549
2017-04-22,1.15402027
2017-04-23,1.18641623
2017-04-24,1.15648316
2017-04-25,1.23125125
2017-04-26,1.16149336
2017-04-27,1.18670735
2017-04-28,1.25326537
2017-04-29,1.19906013
2017-04-30,1.14157769
2017-05-01,1.1610006
2017-05-02,1.18269793
2017-05-03,1.1555742
2017-05-04,1.16785996
2017-05-05,1.20233917
2017-05-06,1.18326228
2017-05-07,1.14015735
2017-05-08,1.16301773
2017-05-09,1.18288508
2017-05-10,1.15536474
2017-05-11,1.17085003
2017-05-12,1.2173165
2017-05-13,1.20986313
2017-05-14,1.27181945
2017-05-15,1.20541916
2017-05-16,1.19273492
2017-05-17,1.2089276
2017-05-18,1.20847645
2017-05-19,1.68629955
2017-05-20,1.1727989
2017-05-21,1.17889609
2017-05-22,1.1631805
2017-05-23,1.17449199
2017-05-24,1.16848859
2017-05-25,1.22940053
2017-05-26,1.2631464
2017-05-27,1.28661939
2017-05-28,1.21215051
2017-05-29,1.21288016
2017-05-30,1.2128846
2017-05-31,1.23921922
2017-06-01,1.2432171
2017-06-02,1.32907275
2017-06-03,1.29747938
2017-06-04,1.25820419
2017-06-05,1.26634673
2017-06-06,1.2945721
2017-06-07,1.24903516
2017-06-08,1.24729008
2017-06-09,1.23062527
2017-06-10,1.22518167
2017-06-11,1.20155239
2017-06-12,1.23652763
2017-06-13,1.23168703
2017-06-14,1.21673555
2017-06-15,1.23614534
2017-06-16,1.27199696
2017-06-17,1.21170003
2017-06-18,1.17492042
2017-06-19,1.20200314
2017-06-20,1.19936383
2017-06-21,1.22737866
2017-06-22,1.23706964
2017-06-23,1.24891285
2017-06-24,1.23942225
2017-06-25,1.20962115
2017-06-26,1.21080064
2017-06-27,1.19527838
2017-06-28,1.19533454
2017-06-29,1.19808776
2017-06-30,1.21546318
2017-07-01,1.22007338
2017-07-02,1.1869198
2017-07-03,1.19712873
2017-07-04,1.14347815
2017-07-05,1.13877647
2017-07-06,1.09512571
2017-07-07,1.12605677
2017-07-08,1.10927154
2017-07-09,1.12708771
2017-07-10,1.10746969
2017-07-11,1.11465169
2017-07-12,1.11062047
2017-07-13,1.17431738
2017-07-14,1.13184373
2017-07-15,1.14752158
2017-07-16,1.09967317
2017-07-17,1.119446
2017-07-18,1.12726269
2017-07-19,1.13521926
2017-07-20,1.12902759
2017-07-21,1.12146173
2017-07-22,1.13802204
2017-07-23,1.12815619
2017-07-24,1.11382887
2017-07-25,1.12984942
2017-07-26,1.13631026
2017-07-27,1.15586518
2017-07-28,1.15887545
2017-07-29,1.20519682
2017-07-30,1.14683497
2017-07-31,1.15285061
2017-08-01,1.25725903
2017-08-02,1.24267254
2017-08-03,1.21580532
2017-08-04,1.24685521
2017-08-05,1.2033314
2017-08-06,1.24258521
2017-08-07,1.23362313
2017-08-08,1.22511494
2017-08-09,1.2080612
2017-08-10,1.20701956
2017-08-11,1.22168859
2017-08-12,1.24967556
2017-08-13,1.26620809
2017-08-14,1.22720462
2017-08-15,1.27723208
2017-08-16,1.28886912
2017-08-17,1.28100749
2017-08-18,1.30174817
2017-08-19,1.27034686
2017-08-20,1.30350508
2017-08-21,1.23584766
2017-08-22,1.26164344
2017-08-23,1.25595462
2017-08-24,1.23872454
2017-08-25,1.25407196
2017-08-26,1.23723385
2017-08-27,1.23549612
2017-08-28,1.23538493
2017-08-29,1.2086266
2017-08-30,1.20678958
2017-08-31,1.2440092
2017-09-01,1.29217397
2017-09-02,1.34490959
2017-09-03,1.28152196
2017-09-04,1.25134123
2017-09-05,1.25119712
2017-09-06,1.21261628
2017-09-07,1.27428772
2017-09-08,1.26800892
2017-09-09,1.2485916
2017-09-10,1.25545572
2017-09-11,1.269633
2017-09-12,1.34478326
2017-09-13,1.32118153
2017-09-14,1.32046872
2017-09-15,1.31971721
2017-09-16,1.30433509
2017-09-17,1.25695778
2017-09-18,1.26746311
2017-09-19,1.25122915
2017-09-20,1.25514882
2017-09-21,1.28010162
2017-09-22,1.26597703
2017-09-23,1.24226817
2017-09-24,1.20494344
2017-09-25,1.19407329
2017-09-26,1.18352838
2017-09-27,1.19735375
2017-09-28,1.16619817
2017-09-29,1.18096394
2017-09-30,1.18092678
2017-10-01,1.48471555
2017-10-02,1.17680878
2017-10-03,1.18117936
2017-10-04,1.18674334
2017-10-05,1.31418583
2017-10-06,1.1940571
2017-10-07,1.17589124
2017-10-08,1.18041067
2017-10-09,1.16624187
2017-10-10,1.1635405
2017-10-11,1.13095293
2017-10-12,1.14877268
2017-10-13,1.18372859
2017-10-14,1.16459656
2017-10-15,1.15950774
2017-10-16,1.13433778
2017-10-17,1.09144516
2017-10-18,1.0945881
2017-10-19,1.08256841
2017-10-20,1.11442683
2017-10-21,1.09685894
2017-10-22,1.08764001
2017-10-23,1.08151826
2017-10-24,1.10638557
2017-10-25,1.07922708
2017-10-26,1.05406572
2017-10-27,1.09279911
2017-10-28,1.04017855
2017-10-29,1.06351548
2017-10-30,1.04672133
2017-10-31,1.08308607
2017-11-01,1.06720299
2017-11-02,1.06079033
2017-11-03,1.0645382
2017-11-04,1.08092143
2017-11-05,1.06846131
2017-11-06,1.0572925
2017-11-07,1.09976695
2017-11-08,1.02369288
2017-11-09,1.01270619
2017-11-10,1.02388163
2017-11-11,1.0482714
2017-11-12,1.04170552
2017-11-13,0.99350774
2017-11-14,0.99433666
2017-11-15,0.97719804
2017-11-16,0.97621628
2017-11-17,0.99924358
2017-11-18,0.99361634
2017-11-19,0.98211292
2017-11-20,0.99535351
2017-11-21,0.98720491
2017-11-22,1.01735603
2017-11-23,1.05826008
2017-11-24,1.08533106
2017-11-25,1.03880978
2017-11-26,1.0111582
2017-11-27,1.04199096
2017-11-28,1.04207383
2017-11-29,1.06306849
2017-11-30,1.07244133
2017-12-01,1.09716046
2017-12-02,1.0966844
2017-12-03,1.09891023
2017-12-04,1.0777407
2017-12-05,1.03118878
2017-12-06,1.00217967
2017-12-07,1.04234502
2017-12-08,1.03050177
2017-12-09,1.03409107
2017-12-10,1.02778532
2017-12-11,1.00662378
2017-12-12,1.03648636
2017-12-13,1.03855215
2017-12-14,1.03724221
2017-12-15,1.03795872
2017-12-16,1.04643324
2017-12-17,1.04030427
2017-12-18,1.00961477
2017-12-19,1.01669137
2017-12-20,1.04617486
2017-12-21,1.06745517
2017-12-22,1.09427259
2017-12-23,1.10379244
2017-12-24,1.11314734
2017-12-25,1.1464016
2017-12-26,1.13755064
2017-12-27,1.11897096
2017-12-28,1.11369342
2017-12-29,1.12576654
2017-12-30,1.12705505
2017-12-31,1.14133353
2018-01-01,1.14678126
2018-01-02,1.16193133
2018-01-03,1.18770618
2018-01-04,1.24396155
2018-01-05,1.31262175
2018-01-06,1.29840317
2018-01-07,1.26709184
2018-01-08,1.21334786
2018-01-09,1.27128703
2018-01-10,1.28559058
2018-01-11,1.25276369
2018-01-12,1.27115608
2018-01-13,1.28545297
2018-01-14,1.29819436
2018-01-15,1.25831583
2018-01-16,1.22491259
2018-01-17,1.18600561
2018-01-18,1.22831044
2018-01-19,1.21898234
2018-01-20,1.22093405
2018-01-21,1.20548528
2018-01-22,1.65578983
2018-01-23,1.20103801
2018-01-24,1.22217206
2018-01-25,1.25565077
2018-01-26,1.32434703
2018-01-27,1.28872141
2018-01-28,1.28291776
2018-01-29,1.29811781
2018-01-30,1.60487025
2018-01-31,1.29896
2018-02-01,1.29744484
2018-02-02,1.28817208
2018-02-03,1.3100008
2018-02-04,1.30351933
2018-02-05,1.28111025
2018-02-06,1.22658398
2018-02-07,1.23844391
2018-02-08,1.22342368
2018-02-09,1.23458662
2018-02-10,1.23004964
2018-02-11,1.18512662
2018-02-12,1.19650321
2018-02-13,1.18173801
2018-02-14,1.19786348
2018-02-15,1.19112739
2018-02-16,1.23957973
2018-02-17,1.22328587
2018-02-18,1.39444115
2018-02-19,1.11686952
2018-02-20,1.12750324
2018-02-21,1.15898911
2018-02-22,1.16470404
2018-02-23,1.2011898
2018-02-24,1.19622057
2018-02-25,1.20553902
2018-02-26,1.22711784
2018-02-27,1.17685209
2018-02-28,1.17511633
2018-03-01,1.16594618
2018-03-02,1.15402796
2018-03-03,1.07495067
2018-03-04,1.09129388
2018-03-05,1.0855459
2018-03-06,1.11434373
2018-03-07,1.06289457
