date,price
2021-03-01,1.31279
2021-03-02,1.29678
2021-03-03,1.22281
2021-03-04,1.21315
2021-03-05,1.11261
2021-03-06,1.15907
2021-03-07,1.12901
2021-03-08,1.13073
2021-03-09,1.11836
2021-03-10,1.19734
2021-03-11,1.13226
2021-03-12,1.12417
2021-03-13,1.03207
2021-03-14,1.10016
2021-03-15,1.05241
2021-03-16,1.03071
2021-03-17,1.24974
2021-03-18,1.3775
2021-03-19,1.22966
2021-03-20,1.29499
2021-03-21,1.20048
2021-03-22,1.18561
2021-03-23,1.1015
2021-03-24,1.11563
2021-03-25,1.06879
2021-03-26,1.09596
2021-03-27,1.21419
2021-03-28,1.17646
2021-03-29,1.18983
2021-03-30,1.2024
2021-03-31,1.212
2021-04-01,1.19172
2021-04-02,1.1833
2021-04-03,1.18998
2021-04-04,1.16245
2021-04-05,1.18205
2021-04-06,1.21172
2021-04-07,1.25217
2021-04-08,1.17356
2021-04-09,1.21896
2021-04-10,1.20201
2021-04-11,1.21753
2021-04-12,1.26376
2021-04-13,1.31452
2021-04-14,1.41246
2021-04-15,1.4514
2021-04-16,1.47845
2021-04-17,1.40989
2021-04-18,1.36861
2021-04-19,1.27655
2021-04-20,1.19451
2021-04-21,1.26665
2021-04-22,1.20312
2021-04-23,1.14443
2021-04-24,1.15872
2021-04-25,1.103
2021-04-26,1.091
2021-04-27,1.2377
2021-04-28,1.3063
2021-04-29,1.3373
2021-04-30,1.3066
2021-05-01,1.353
2021-05-02,1.3516
2021-05-03,1.3267
2021-05-04,1.3627
2021-05-05,1.2699
2021-05-06,1.4799
2021-05-07,1.6491
2021-05-08,1.6529
2021-05-09,1.6206
2021-05-10,1.7662
2021-05-11,1.6418
2021-05-12,1.7633
2021-05-13,1.5669
2021-05-14,1.9289
2021-05-15,2.0073
2021-05-16,2.1754
2021-05-17,2.3002
2021-05-18,2.0301
2021-05-19,2.0036
2021-05-20,1.4676
2021-05-21,1.8002
2021-05-22,1.5493
2021-05-23,1.4636
2021-05-24,1.3135
2021-05-25,1.5497
2021-05-26,1.5525
2021-05-27,1.7788
2021-05-28,1.6552
2021-05-29,1.5133
2021-05-30,1.4035
2021-05-31,1.5751
2021-06-01,1.7376
2021-06-02,1.7362
2021-06-03,1.7534
2021-06-04,1.8454
2021-06-05,1.708
2021-06-06,1.6555
2021-06-07,1.6771
2021-06-08,1.5659
2021-06-09,1.5818
2021-06-10,1.6282
2021-06-11,1.5328
2021-06-12,1.4368
2021-06-13,1.4789
2021-06-14,1.5563
2021-06-15,1.5769
2021-06-16,1.555
2021-06-17,1.4851
2021-06-18,1.4825
2021-06-19,1.4164
2021-06-20,1.384
2021-06-21,1.4262
2021-06-22,1.1738
2021-06-23,1.1563
2021-06-24,1.2513
2021-06-25,1.3604
